,Unnamed: 0,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
37,515,GJ 1214 b,GJ 1214,Gaia DR2 4393265392167891712,1,1,1,Transit,2009,MEarth Project,Published Confirmed,0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,1.58040453,0.01505,2.733,0.244,0.02646,0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,,3101.0,0.22,0.18,0.24,[Fe/H],5.03,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h15m19.54s,258.8313991,+04d57m38.45s,4.9606795,948.0511007,580.447,-749.588,14.6427,15.1,8.782,13.0089,2024-03-25,2024-03,25/03/2024
167,33796,TOI-2134 b,TOI-2134,Gaia DR2 4610267648427698816,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,9.2292005,0.078,2.69,0.24,0.02873,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,K5 V,4580.0,0.71,0.74,0.12,[Fe/H],4.8,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,288.224734,54.3709,-283.05,22.6202,8.933,6.091,8.5077,2023-11-28,2023-10,28/11/2023
50,571,GJ 3090 b,GJ 3090,Gaia DR2 4933912198893332224,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.8531054,0.03165,2.13,0.19,0.01051,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,M2 V,3556.0,0.52,0.52,-0.06,[Fe/H],4.73,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h21m45.22s,20.4384281,-46d42m53.00s,-46.7147234,136.8908631,-111.206,-79.8269,22.4751,11.403,7.294,10.5521,2023-11-28,2022-07,28/11/2023
169,33877,TOI-244 b,TOI-244,Gaia DR2 5001098681543159040,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,7.397225,0.0559,1.52,0.136,0.00843,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,M2.5 V,3433.0,0.43,0.43,-0.39,[Fe/H],4.66,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h42m16.74s,10.5697537,-36d43m04.71s,-36.7179743,161.7031424,-155.186,45.4446,22.0337,12.861,7.97,11.553,2023-10-09,2023-05,9/10/2023
96,2112,HD 140901 c,HD 140901,Gaia DR2 6009538585839374336,1,1,2,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,14386.0,11.8,,,1.8,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,G7 IV,,,1.06,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h47m28.56s,236.8689866,-37d55m02.04s,-37.9172333,467.152936,-415.238,-214.031,15.2528,6.01,4.323,5.83135,2023-10-09,2023-08,9/10/2023
31,213,BD-210397 c,BD-210397,Gaia DR2 5124636303346779008,1,1,2,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,6240.0,5.9,,,4.8,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,K7 V,,,0.69,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,379.6005102,375.476,55.8061,23.7324,9.84,6.504,9.25962,2023-09-05,2023-08,5/09/2023
127,3755,HIP 70849 b,HIP 70849,Gaia DR2 6099000589942631424,1,2,1,Radial Velocity,2009,La Silla Observatory,Published Confirmed,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,3649.0,3.99,,,4.5,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,K7 V,,,0.65,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m18.50s,217.3270762,-46d27m52.86s,-46.464684,206.4980686,-43.9813,-201.76,24.0572,10.421,6.79,9.69796,2023-09-05,2023-08,5/09/2023
88,1927,HD 114783 c,HD 114783,Gaia DR2 3684934540986187776,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,4352.0,5.0,,,1.9,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,K1 V,,,0.9,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h12m43.64s,198.1818436,-02d15m53.97s,-2.2649921,138.7804107,-138.403,10.228,21.0628,7.56,5.475,7.31783,2023-09-05,2023-08,5/09/2023
44,532,GJ 1252 b,GJ 1252,Gaia DR2 6468968316900356736,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,0.5182331,,1.193,0.106,0.00415,0,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,M3,3458.0,0.39,0.38,0.1,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,1301.74991,424.414,-1230.62,20.373,12.68,7.915,11.2364,2023-07-10,2022-09,10/07/2023
71,750,GJ 832 b,GJ 832,Gaia DR2 6562924609150908416,0,1,1,Radial Velocity,2008,Anglo-Australian Telescope,Published Confirmed,0,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>,3610.0,3.53,,,0.8,0,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>,M1 V,3472.0,,0.45,-0.3,[Fe/H],4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h33m33.90s,323.3912616,-49d00m45.06s,-49.0125169,817.8892865,-45.8344,-816.604,4.96435,8.66,4.501,7.73761,2023-06-12,2023-05,12/06/2023
