,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
68,51 Peg b,51 Peg,Gaia DR2 2835207319109249920,0,1,1,Radial Velocity,1995,Haute-Provence Observatory,Published Confirmed,0,<a refstr=MARTINS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A.134M/abstract target=ref>Martins et al. 2015</a>,4.231,0.052,,,0.46,0,<a refstr=MARTINS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A.134M/abstract target=ref>Martins et al. 2015</a>,,,,1.04,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,216.4603396,207.363,62.094,15.4614,5.45309,3.911,5.28647,26/08/2015,2015-04,27/08/2015
71,55 Cnc b,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=NELSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..442N/abstract target=ref> Nelson et al. 2014</a>,14.465314,0.11339,,,0.84,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,0.96,0.9,0.35,[M/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2014-06,21/08/2014
72,55 Cnc b,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,14.65152,0.115227,,,0.8306,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,,,,0.95,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2015-01,29/10/2014
81,55 Cnc b,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,14.6,0.113,,,0.8,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,K0 IV-V,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2015-04,12/02/2015
82,55 Cnc c,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,44.4175,0.241376,,,0.1714,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,,,,0.95,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2015-01,29/10/2014
88,55 Cnc c,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=NELSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..442N/abstract target=ref> Nelson et al. 2014</a>,44.373,0.23735,,,0.1784,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,0.96,0.9,0.35,[M/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2014-06,21/08/2014
94,55 Cnc d,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2002,Lick Observatory,Published Confirmed,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,4825.0,5.503,,,3.878,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,,,,0.95,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2015-01,29/10/2014
99,55 Cnc d,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2002,Lick Observatory,Published Confirmed,0,<a refstr=NELSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..442N/abstract target=ref> Nelson et al. 2014</a>,4867.0,5.446,,,3.86,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,0.96,0.9,0.35,[M/H],4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2014-06,21/08/2014
102,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,1,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,0.01544,1.875,0.167,0.02514,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2018-10,11/02/2021
104,55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>,0.737,,1.897,0.169,0.02435,0,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>,,5172.0,0.95,0.87,0.35,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,539.1329986,-485.872,-233.651,12.5855,5.95084,4.015,5.72973,5/02/2021,2019-09,29/08/2019
