,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
986,HAT-P-20 b,HAT-P-20,Gaia DR2 869913435026514688,1,1,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,2.875317,0.0361,9.718,0.867,7.246,0,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,K3,4595.0,0.69,0.76,0.35,[Fe/H],4.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h27m39.94s,111.9164295,+24d20m10.03s,24.3361185,96.3636397,-4.98526,-96.2346,71.0374,11.231,8.601,10.9903,14/05/2014,2011-12,14/05/2014
988,HAT-P-20 b,HAT-P-20,Gaia DR2 869913435026514688,0,1,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=ESPOSITO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A..53E/abstract target=ref>Esposito et al. 2017</a>,2.87531694,0.03593,11.489,1.025,7.22,0,<a refstr=ESPOSITO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A..53E/abstract target=ref>Esposito et al. 2017</a>,,4595.0,0.68,0.74,0.22,[Fe/H],4.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h27m39.94s,111.9164295,+24d20m10.03s,24.3361185,96.3636397,-4.98526,-96.2346,71.0374,11.231,8.601,10.9903,2/12/2019,2017-05,5/12/2019
990,HAT-P-20 b,HAT-P-20,Gaia DR2 869913435026514688,0,1,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,2.9,0.036,9.75,0.87,7.3,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,K3 V,4600.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h27m39.94s,111.9164295,+24d20m10.03s,24.3361185,96.3636397,-4.98526,-96.2346,71.0374,11.231,8.601,10.9903,12/02/2015,2015-04,12/02/2015
992,HAT-P-20 b,HAT-P-20,Gaia DR2 869913435026514688,0,1,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,2.8753186,0.03617,9.718,0.867,7.27,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,4595.0,0.69,0.76,0.35,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h27m39.94s,111.9164295,+24d20m10.03s,24.3361185,96.3636397,-4.98526,-96.2346,71.0374,11.231,8.601,10.9903,18/03/2019,2017-06,21/03/2019
2525,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,2.2185752,0.031,12.756,1.138,1.123,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5040.0,0.76,0.81,-0.03,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,18/03/2019,2017-06,21/03/2019
2526,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,2.2,0.031,12.3,1.1,1.1,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,K0-2 V,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,25/04/2018,2015-04,12/02/2015
2531,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,2.21857578,0.03142,12.902,1.151,1.15,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,,5050.0,0.75,0.84,-0.03,[Fe/H],4.61,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,25/04/2018,2010-11,14/01/2016
2533,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,2.218573,0.03099,12.756,1.138,1.144,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,,5040.0,0.76,0.81,-0.03,[Fe/H],4.59,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,25/04/2018,2008-04,21/08/2014
2538,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=BOUCHY_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...444L..15B/abstract target=ref> Bouchy et al. 2005 </a>,2.219,0.0313,14.12,1.26,1.15,0,<a refstr=BOUCHY_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...444L..15B/abstract target=ref> Bouchy et al. 2005 </a>,,5050.0,0.76,0.82,-0.03,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,25/04/2018,2005-12,21/08/2014
2540,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,1,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.21857567,,12.666,1.13,1.13,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5052.0,0.75,0.79,-0.02,[Fe/H],4.49,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,3/12/2018,2017-03,6/12/2018
