Unnamed: 0.1,Unnamed: 0,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate,ra_corrected,dec_corrected,epoch
14,5253,K2-417 b,K2-417,Gaia DR2 2437684039751295744,1,1,1,Transit,2023,K2,Published Confirmed,0,<a refstr=INCHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..474I/abstract target=ref>Incha et al. 2023</a>,6.535,0.063,3.31,0.295,2.2,0,<a refstr=INCHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..474I/abstract target=ref>Incha et al. 2023</a>,M V,3861.0,0.58,0.57,,,4.67,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h20m34.02s,350.1417675,-10d02m11.72s,-10.0365901,196.5622902,133.632,-144.15,94.0424,13.909,10.06,13.1533,2023-07-10,2023-07,10/07/2023,350.14208853126433,-10.036931099166353,60316.38413194445
16,34103,TOI-5205 b,TOI-5205,Gaia DR2 1842656663520849024,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KANODIA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..120K/abstract target=ref>Kanodia et al. 2023</a>,1.630757,0.0199,11.6,1.03,1.08,0,<a refstr=KANODIA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..120K/abstract target=ref>Kanodia et al. 2023</a>,M4.0,3430.0,0.39,0.39,0.0,[Fe/H],4.84,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h55m04.96s,313.7706819,+24d21m39.52s,24.360977,66.8252463,41.7717,52.1607,86.4493,15.899,11.006,14.9317,2023-03-15,2023-03,15/03/2023,313.7707752033719,24.361083135267247,59881.40003472223
17,34927,WASP-189 b,WASP-189,Gaia DR2 6339097679918871168,1,1,1,Transit,2020,CHaracterising ExOPlanets Satellite (CHEOPS),Published Confirmed,0,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,2.724033,0.05053,18.147,1.619,1.99,0,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,,8000.0,2.36,2.03,0.29,[Fe/H],3.9,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h02m44.82s,225.686732,-03d01m53.35s,-3.0314874,55.8801238,-50.5642,-23.7876,99.731,6.59776,6.06,6.55369,2022-03-16,2020-11,16/03/2022,225.68661142553017,-3.031544044090208,60336.97288194444
15,33890,TOI-251 b,TOI-251,Gaia DR2 6539037542941988736,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,4.93777,0.05741,2.74,0.244,1.0,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,,5875.0,0.88,1.04,-0.106,[Fe/H],4.56,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h32m14.90s,353.0620655,-37d15m21.11s,-37.2558629,44.6798041,44.6393,1.90205,99.523,9.887,8.426,9.75411,2020-12-10,2021-01,17/12/2020,353.0621926413448,-37.25585858800162,60186.74078703704
13,3734,HIP 65 A b,HIP 65 A,Gaia DR2 4923860051276772608,1,2,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,0.9809734,0.01782,22.754,2.03,3.213,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,K4 V,4590.0,0.72,0.78,0.18,[Fe/H],4.61,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h00m44.55s,0.1856063,-54d49m50.96s,-54.8308228,215.0550558,-202.815,-71.5175,61.7856,11.0,8.29,10.5895,2020-07-17,2020-07,23/07/2020,0.18372,-54.8312,
4,2525,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,2.2185752,0.031,12.756,1.138,1.123,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5040.0,0.76,0.81,-0.03,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,2019-03-18,2017-06,21/03/2019,300.1821150332134,22.709266750757436,59881.38759259259
18,35180,WASP-43 b,WASP-43,Gaia DR2 3767805209112436736,0,1,1,Transit,2011,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,0.81347437,0.01528,11.613,1.036,2.05,1,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,4400.0,0.67,0.72,-0.05,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h19m37.96s,154.9081869,-09d48m23.20s,-9.8064431,56.8007302,-42.0435,-38.1925,86.7467,12.305,9.267,11.907,2019-03-18,2017-06,21/03/2019,154.90809216296597,-9.806527902065561,60125.459282407406
12,3544,HD 88133 b,HD 88133,Gaia DR2 623408253837371392,0,1,1,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=PISKORZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...832..131P/abstract target=ref>Piskorz et al. 2016</a>,3.4148674,0.04691,,,1.02,0,<a refstr=PISKORZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...832..131P/abstract target=ref>Piskorz et al. 2016</a>,,5438.0,1.94,1.18,0.33,[Fe/H],3.94,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h10m07.66s,152.5319349,+18d11m08.62s,18.1857284,265.3912437,-11.0764,-265.16,73.6123,8.01852,6.199,7.80979,2018-12-03,2016-12,13/10/2016,152.53191706047042,18.185322667151688,59217.85987268519
22,35874,tau Boo b,tau Boo,Gaia DR2 1244571953471006720,0,2,1,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=BROGI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.486..502B/abstract target=ref> Brogi et al. 2012 </a>,3.312433,,,,5.95,0,<a refstr=BROGI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.486..502B/abstract target=ref> Brogi et al. 2012 </a>,,6400.0,1.46,1.34,0.5,[Fe/H],4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h47m15.23s,206.8134593,+17d27m25.79s,17.4571647,472.3602962,-467.909,64.6948,15.6521,4.48635,3.507,4.36617,2015-03-26,2012-06,26/03/2015,206.8122980183353,17.457317864236966,60318.95413194445
0,986,HAT-P-20 b,HAT-P-20,Gaia DR2 869913435026514688,1,1,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,2.875317,0.0361,9.718,0.867,7.246,0,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1008.3388B/abstract target=ref> Bakos et al. 2010 </a>,K3,4595.0,0.69,0.76,0.35,[Fe/H],4.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h27m39.94s,111.9164295,+24d20m10.03s,24.3361185,96.3636397,-4.98526,-96.2346,71.0374,11.231,8.601,10.9903,2014-05-14,2011-12,14/05/2014,111.91642109550716,24.33597067689513,59225.65295138889
