Unnamed: 0,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate,epoch,ra_corrected,dec_corrected
515,GJ 1214 b,GJ 1214,Gaia DR2 4393265392167891712,1,1,1,Transit,2009,MEarth Project,Published Confirmed,0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,1.58040453,0.01505,2.733,0.244,0.02646,0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,,3101.0,0.22,0.18,0.24,[Fe/H],5.03,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h15m19.54s,258.8313991,+04d57m38.45s,4.9606795,948.0511007,580.447,-749.588,14.6427,15.1,8.782,13.0089,2024-03-25,2024-03,25/03/2024,60243.34230324074,258.83274499206897,4.9589479223663915
34323,Teegarden's Star b,Teegarden's Star,Gaia DR2 35227046884571776,1,1,3,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240200923D/abstract target=ref>Dreizler et al. 2024</a>,4.90634,0.0259,,,,0,<a refstr=DREIZLER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240200923D/abstract target=ref>Dreizler et al. 2024</a>,,3034.0,0.12,0.1,-0.11,[Fe/H],5.19,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,5123.33192,3429.53,-3806.16,3.83078,15.13,7.585,12.2746,2024-03-05,2024-02,5/03/2024,60305.57050925926,43.27759248043627,16.855929727364273
3303,HD 63433 b,HD 63433,Gaia DR2 875071278432954240,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CAPISTRANT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240104785C/abstract target=ref>Capistrant et al. 2024</a>,7.1079379,0.0714,2.112,0.188,,0,<a refstr=CAPISTRANT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240104785C/abstract target=ref>Capistrant et al. 2024</a>,G5 V,5688.0,0.91,0.99,0.03,[Fe/H],4.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h49m55.05s,117.4793699,+27d21m47.28s,27.3631342,15.1178736,-10.0268,-11.3143,22.4035,6.92035,5.258,6.71831,2024-01-05,2024-02,5/01/2024,60301.78047453704,117.47934331786084,27.36310756069992
571,GJ 3090 b,GJ 3090,Gaia DR2 4933912198893332224,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.8531054,0.03165,2.13,0.19,0.01051,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,M2 V,3556.0,0.52,0.52,-0.06,[Fe/H],4.73,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h21m45.22s,20.4384281,-46d42m53.00s,-46.7147234,136.8908631,-111.206,-79.8269,22.4751,11.403,7.294,10.5521,2023-11-28,2022-07,28/11/2023,60379.45136574074,20.43803663272402,-46.714916065563514
33796,TOI-2134 b,TOI-2134,Gaia DR2 4610267648427698816,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,9.2292005,0.078,2.69,0.24,0.02873,0,<a refstr=RESCIGNO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3121R/abstract target=ref>Rescigno et al. 2023</a>,K5 V,4580.0,0.71,0.74,0.12,[Fe/H],4.8,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,288.224734,54.3709,-283.05,22.6202,8.933,6.091,8.5077,2023-11-28,2023-10,28/11/2023,60298.24481481482,271.9356662050274,39.07226122530609
742,GJ 724 b,GJ 724,Gaia DR2 4105386718001211392,1,1,1,Radial Velocity,2023,Calar Alto Observatory,Published Confirmed,0,<a refstr=GORRINI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231005599G/abstract target=ref>Gorrini et al. 2023</a>,5.101284,0.04685,,,,0,<a refstr=GORRINI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231005599G/abstract target=ref>Gorrini et al. 2023</a>,M1.0 V,3799.0,0.52,0.53,-0.02,[Fe/H],4.88,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h40m57.21s,280.238365,-13d22m57.00s,-13.3824997,677.8415697,-94.3221,-671.247,16.9658,10.638,6.546,9.76915,2023-10-21,2023-10,21/10/2023,60143.69306712963,280.23814837724086,-13.383999435325803
795,GJ 9404 b,GJ 9404,Gaia DR2 4010201828880793984,1,1,1,Radial Velocity,2023,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=BAYCROFT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RNAAS...7..175B/abstract target=ref>Baycroft et al. 2023</a>,13.4586,0.0943,,,,0,<a refstr=BAYCROFT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RNAAS...7..175B/abstract target=ref>Baycroft et al. 2023</a>,,,,0.62,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h19m23.33s,184.8472095,+28d22m57.77s,28.3827126,652.5197868,-647.719,79.0074,23.8839,10.62,6.796,9.87021,2023-09-05,2023-08,5/09/2023,60300.96993055556,184.8454765392309,28.3828985617116
33741,TOI-198 b,TOI-198,Gaia DR2 2333676738049780352,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,10.2152,0.1,1.44,0.128,,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,M0 V,3650.0,0.44,0.47,-0.7,[Fe/H],4.75,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h09m05.16s,2.2715087,-27d07m18.28s,-27.1217452,698.0992388,692.255,90.1419,23.7262,11.688,7.856,10.9187,2023-08-22,2023-03,22/08/2023,,,
32759,LTT 1445 A b,LTT 1445 A,Gaia DR2 5153091836072107136,1,3,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,5.35876,0.022,1.18,0.105,,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,M3.0,3340.0,0.27,0.26,-0.34,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,456.5121099,-369.196,-268.51,6.86929,10.59,6.496,10.0469,2023-08-22,2023-03,22/08/2023,59224.5297337963,45.46188667012931,-16.59490782001596
33876,TOI-244 b,TOI-244,Gaia DR2 5001098681543159040,0,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,7.39726,0.073,1.03,0.092,,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,M2,3450.0,0.4,0.42,0.0,[Fe/H],4.75,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h42m16.74s,10.5697537,-36d43m04.71s,-36.7179743,161.7031424,-155.186,45.4446,22.0337,12.861,7.97,11.553,2023-08-22,2023-03,22/08/2023,59945.66693287037,10.569350309455606,-36.71787960863206
