Unnamed: 0,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate,epoch,ra_corrected,dec_corrected
33862,TOI-238 b,TOI-238,Gaia DR2 2405081733281425280,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,1.273114,0.0212,1.612,0.144,,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,5080.0,0.75,0.79,-0.05,[Fe/H],4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h16m55.46s,349.2310814,-18d36m23.93s,-18.6066463,53.2380588,-53.2377,-0.195451,80.5407,10.748,8.598,10.4883,2024-04-15,2023-11,15/04/2024,59237.30546296296,349.2309946152493,-18.606646601938657
34212,TOI-771 b,TOI-771,Gaia DR2 5229384714547758720,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,2.326021,0.0207,1.422,0.127,,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,3201.0,0.24,0.22,0.12,[Fe/H],5.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h56m27.33s,164.1138903,-72d59m06.62s,-72.9851736,86.0053774,39.4753,-76.4109,25.2788,14.888,9.664,13.3671,2024-04-15,2023-11,15/04/2024,60321.84978009259,164.1142099895859,-72.9853546739755
34060,TOI-4559 b,TOI-4559,Gaia DR2 6173120554255287808,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,3.965991,0.0359,1.415,0.126,,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,3558.0,0.37,0.39,-0.09,[Fe/H],4.88,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h04m03.25s,211.0135378,-30d00m50.85s,-30.0141252,248.9391439,37.1535,-246.151,31.6354,13.115,8.619,12.0797,2024-04-15,2023-11,15/04/2024,60102.78450231482,211.01363233130013,-30.01466750536434
34244,TOI-871 b,TOI-871,Gaia DR2 4783664690873269888,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,14.362565,0.1054,1.664,0.148,,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,4929.0,0.72,0.76,-0.07,[Fe/H],4.6,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h58m57.03s,74.7376264,-50d37m38.70s,-50.6274153,145.292372,-79.3554,-121.707,68.0473,10.569,8.38,10.3452,2024-04-15,2023-11,15/04/2024,60131.15719907408,74.73734809700497,-50.627686063542654
32781,Luhman 16 b,Luhman 16 A,Gaia DR2 5353625852001928960,1,1,1,Imaging,2017,Multiple Observatories,Published Confirmed,0,<a refstr=BEDIN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AN....34530158B/abstract target=ref>Bedin et al. 2024</a>,9697.0,3.52,,,29.4,0,<a refstr=BEDIN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AN....34530158B/abstract target=ref>Bedin et al. 2024</a>,,,,0.03,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h49m18.78s,162.3282594,-53d19m09.74s,-53.3193715,,,,,,8.841,,2024-04-10,2024-01,10/04/2024,60224.31511574074,,
32932,NGTS-30 b,NGTS-30,Gaia DR2 3533836281547278848,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,,9.93,0.886,,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5427.9,0.91,,,,4.49,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h34m51.57s,173.714867,-24d36m19.73s,-24.6054801,54.8914865,23.7908,-49.4679,238.377,12.537,10.501,12.1755,2024-04-07,2017-07,7/04/2024,60313.89721064815,173.71492885051177,-24.60559702703241
34133,TOI-559 b,TOI-559,Gaia DR2 5057924844082070016,0,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,6.9839072,,12.24,1.092,,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5972.0,1.21,,,,4.31,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h07m16.47s,46.8186159,-31d09m46.78s,-31.1629951,73.4375995,-23.1362,-69.6979,233.266,11.091,9.638,10.9777,2024-04-07,2017-07,7/04/2024,59628.5180787037,46.81856608402628,-31.163123515224143
219,CI Tau c,CI Tau,Gaia DR2 145203159127518336,1,1,1,Radial Velocity,2024,Multiple Observatories,Published Confirmed,0,<a refstr=MANICK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240303706M/abstract target=ref>Manick et al. 2024</a>,25.2,0.17,,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,19.2503713,8.90416,-17.0673,157.998,13.642,7.793,12.1454,2024-04-05,2024-03,5/04/2024,60305.62834490741,68.46679127684888,22.841578965430028
34258,TOI-908 b,TOI-908,Gaia DR2 4619238087059206784,0,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,3.18377892,,3.108,0.277,,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5500.0,1.05,,,,4.99,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m38.26s,53.1594266,-81d15m02.68s,-81.250745,5.8472927,5.83923,-0.306961,175.748,11.316,9.637,11.1061,2024-03-25,2017-07,25/03/2024,60321.50152777778,53.15951755971767,-81.25074572732665
34040,TOI-4438 b,TOI-4438,Gaia DR2 4606416269652179328,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,7.44630338,,2.405,0.215,,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3353.0,0.38,,,,4.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h01m16.14s,270.3172389,+35d35m41.64s,35.5948992,572.2108933,29.1092,-571.47,30.0346,13.69,8.869,12.5196,2024-03-25,2017-07,25/03/2024,60302.1958912037,270.3173231954772,35.59355350451323
