,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
7482,SB55689_island_393,SB55689_component_393a,J231333+382502,23:13:33.2,+38:25:02,348.388266,38.417324,0.1,0.24,943.5,22.115,0.371,25.883,0.722,30.13,13.53,167.33,0.57,0.2,0.01,7.75,0.0,68.59,1.13,0.0,65.23,70.439,709.321,-99.0,-99.0,0.0,0.0,0.458,0,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
7873,SB55689_island_727,SB55689_component_727a,J231346+380523,23:13:46.2,+38:05:23,348.44239,38.089828,0.18,0.33,943.5,11.064,0.245,15.921,0.547,34.48,14.54,156.42,0.84,0.29,0.01,17.9,0.0,-51.9,1.69,0.0,360.0,34.462,527.178,-99.0,-99.0,0.0,0.0,0.397,0,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
8279,SB55689_island_1087,SB55689_component_1087b,J231346+384213,23:13:46.8,+38:42:13,348.44487,38.703777,1.59,3.96,943.5,2.612,0.885,2.042,1.324,32.31,8.43,168.39,9.5,3.29,0.15,9.28,0.0,1.83,46.06,0.0,360.0,23.218,342.438,-99.0,-99.0,0.0,0.0,0.671,1,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
8278,SB55689_island_1087,SB55689_component_1087a,J231347+384217,23:13:47.6,+38:42:17,348.4483,38.704782,0.41,0.1,943.5,5.265,0.057,25.373,0.379,43.78,38.34,81.8,0.97,0.2,0.03,42.29,22.49,78.06,1.5,1.06,56.46,23.218,342.438,-99.0,-99.0,0.0,0.0,0.671,1,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
7825,SB55689_island_682,SB55689_component_682a,J231350+383808,23:13:50.7,+38:38:08,348.461271,38.635682,0.29,0.73,943.5,10.814,0.489,16.411,1.13,37.92,13.94,169.98,1.74,0.62,0.03,21.97,7.56,-2.23,4.39,4.37,163.97,110.611,895.282,-99.0,-99.0,0.0,0.0,0.851,0,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
7326,SB55689_island_258,SB55689_component_258a,J231354+383830,23:13:54.3,+38:38:30,348.476203,38.641849,0.11,0.27,943.5,34.595,0.645,41.705,1.273,31.55,13.31,167.66,0.64,0.23,0.01,8.1,3.77,45.46,0.39,5.0,360.0,103.15,692.654,-99.0,-99.0,0.0,0.0,0.823,0,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
8738,SB55689_island_1502,SB55689_component_1502b,J231359+381230,23:13:59.9,+38:12:30,348.499466,38.208519,0.83,1.87,943.5,3.885,0.473,5.473,1.039,35.5,13.82,165.02,4.53,1.61,0.08,17.16,8.02,-18.87,13.98,10.67,255.13,3.555,172.118,-99.0,-99.0,0.0,0.0,0.744,1,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
8737,SB55689_island_1502,SB55689_component_1502a,J231401+381238,23:14:01.0,+38:12:38,348.50435,38.210765,0.92,1.72,943.5,4.506,0.567,5.552,1.134,36.72,11.69,158.14,4.31,1.57,0.07,20.69,0.0,-36.76,10.48,0.0,360.0,3.555,172.118,-99.0,-99.0,0.0,0.0,0.744,1,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
8778,SB55689_island_1540,SB55689_component_1540a,J231405+364528,23:14:05.2,+36:45:28,348.521466,36.758034,1.13,2.36,943.5,4.578,0.875,4.334,1.466,32.41,10.18,161.96,5.79,2.08,0.1,10.64,0.0,-41.4,20.92,0.0,360.0,0.113,57.777,-99.0,-99.0,0.0,0.0,0.82,0,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
7896,SB55689_island_749,SB55689_component_749a,J231407+382604,23:14:07.6,+38:26:04,348.531594,38.434601,0.33,0.76,943.5,10.38,0.542,13.142,1.102,34.92,12.63,166.31,1.83,0.66,0.03,15.88,5.83,-12.82,6.03,5.87,20.82,22.007,419.595,-99.0,-99.0,0.0,0.0,0.736,0,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
7253,SB55689_island_197,SB55689_component_197a,J231414+362949,23:14:14.8,+36:29:49,348.561501,36.497139,0.09,0.21,943.5,44.35,0.673,50.1,1.272,30.64,12.84,168.95,0.5,0.18,0.01,7.64,0.0,52.49,0.39,0.0,360.0,144.111,778.144,-1.55,-99.0,0.0,0.0,0.79,1,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
7254,SB55689_island_197,SB55689_component_197b,J231415+362900,23:14:15.8,+36:29:00,348.565681,36.483502,1.47,3.35,943.5,3.339,0.93,2.923,1.475,29.05,10.5,165.75,8.1,2.92,0.16,0.0,0.0,78.34,0.0,0.0,214.73,144.111,778.144,-99.0,-99.0,0.0,0.0,0.79,1,0,1,0,,selavy-image.i.RACS_2333+37.SB55689.cont.taylor.0.restored.conv.components.xml
