,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
3661,SB55784_island_237,SB55784_component_237a,J084146+290834,08:41:46.3,+29:08:34,130.442713,29.142925,0.0,0.0,943.5,51.291,0.018,76.818,0.042,23.4,16.06,145.75,0.01,0.0,0.0,14.46,0.0,-77.06,0.01,0.0,0.0,180679.92,45571.71,-1.67,-99.0,0.0,0.0,0.031,0,0,1,1,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
4383,SB55784_island_825,SB55784_component_825a,J084221+273337,08:42:21.5,+27:33:37,130.589586,27.560497,0.32,0.23,943.5,11.927,0.3,23.813,0.875,25.51,19.63,120.04,0.83,0.38,0.05,20.85,0.0,-86.14,1.13,0.0,164.98,45.211,574.461,-99.0,-99.0,0.0,0.0,0.797,0,0,1,0,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
4641,SB55784_island_1047,SB55784_component_1047a,J084230+284818,08:42:30.3,+28:48:18,130.626142,28.805189,0.52,0.89,943.5,8.587,0.806,9.406,1.484,22.88,12.01,164.66,2.16,1.12,0.1,6.4,3.57,-27.74,10.91,7.73,347.98,2.097,195.274,-99.0,-99.0,0.0,0.0,0.904,0,0,1,0,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
4994,SB55784_island_1350,SB55784_component_1350a,J084232+274105,08:42:32.2,+27:41:05,130.634135,27.684958,0.69,0.86,943.5,6.139,0.529,8.89,1.186,24.68,14.72,145.75,2.31,1.17,0.1,15.3,0.0,-65.26,3.61,0.0,360.0,2.569,218.095,-99.0,-99.0,0.0,0.0,0.865,0,0,1,0,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
5149,SB55784_island_1486,SB55784_component_1486a,J084233+285500,08:42:33.3,+28:55:00,130.638599,28.916645,0.53,0.83,943.5,5.453,0.405,8.725,0.976,29.54,13.59,159.92,2.04,1.09,0.07,19.89,6.9,-25.88,4.5,5.26,185.18,7.115,356.453,-99.0,-99.0,0.0,0.0,0.762,0,0,1,0,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
3619,SB55784_island_208,SB55784_component_208a,J084238+292111,08:42:38.3,+29:21:11,130.659542,29.353097,0.08,0.15,943.5,56.173,0.872,59.426,1.57,21.61,12.28,165.99,0.35,0.18,0.02,4.58,0.0,72.56,1.1,0.0,10.62,22.992,417.35,-1.74,-99.0,0.0,0.0,0.937,0,0,1,0,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
5199,SB55784_island_1532,SB55784_component_1532a,J084241+282852,08:42:41.9,+28:28:52,130.674761,28.481234,2.88,5.25,943.5,5.464,3.255,4.982,5.304,21.42,10.68,169.33,12.52,6.48,0.57,1.58,0.0,38.18,68.27,0.0,360.0,0.009,18.359,-99.0,-99.0,0.0,0.0,2.905,0,0,1,0,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
4796,SB55784_island_1176,SB55784_component_1176a,J084245+292357,08:42:45.5,+29:23:57,130.689465,29.399287,0.62,1.01,943.5,7.352,0.77,8.497,1.477,22.01,13.17,160.47,2.49,1.28,0.13,7.66,0.0,-79.81,2.22,0.0,360.0,1.032,145.128,-99.0,-99.0,0.0,0.0,0.93,0,0,1,0,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
5175,SB55784_island_1509,SB55784_component_1509a,J084246+293451,08:42:46.8,+29:34:51,130.694822,29.580998,0.81,1.57,943.5,5.455,0.828,6.64,1.639,23.66,12.9,2.46,3.69,1.9,0.16,12.89,0.0,34.08,6.44,0.0,360.0,0.159,74.056,-99.0,-99.0,0.0,0.0,1.067,0,0,1,0,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
5129,SB55784_island_1469,SB55784_component_1469a,J084248+294129,08:42:48.4,+29:41:29,130.701623,29.691553,0.9,1.35,943.5,5.55,0.744,7.309,1.557,24.14,13.68,155.82,3.4,1.74,0.15,12.04,3.32,-55.37,6.58,6.98,360.0,0.557,129.905,-99.0,-99.0,0.0,0.0,1.066,0,0,1,0,,selavy-image.i.RACS_0900+28.SB55784.cont.taylor.0.restored.conv.components.xml
