,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
7030,SB56416_island_422,SB56416_component_422a,J050616-095101,05:06:16.9,-09:51:01,76.570447,-9.850423,0.15,0.13,943.5,22.32,0.624,25.014,1.169,13.5,10.72,71.42,0.36,0.31,0.09,5.6,2.06,65.09,1.32,2.65,18.54,14.287,519.198,-99.0,-99.0,0.0,0.0,0.722,0,0,1,0,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
8288,SB56416_island_1511,SB56416_component_1511a,J050626-094016,05:06:26.3,-09:40:16,76.609491,-9.671247,0.74,0.65,943.5,4.962,0.62,6.572,1.311,15.6,10.97,90.55,1.75,1.53,0.27,9.79,2.47,-82.87,4.18,11.3,69.14,0.295,128.119,-99.0,-99.0,0.0,0.0,0.9,0,0,1,0,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
7592,SB56416_island_885,SB56416_component_885a,J050628-075210,05:06:28.8,-07:52:10,76.620148,-7.869445,0.25,0.22,943.5,9.896,0.46,10.781,0.844,13.02,10.81,68.23,0.6,0.51,0.18,4.55,2.02,48.82,2.21,3.66,360.0,4.835,394.927,-99.0,-99.0,0.0,0.0,0.513,0,0,1,0,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
7483,SB56416_island_791,SB56416_component_791a,J050634-075532,05:06:34.3,-07:55:32,76.642862,-7.925588,0.35,0.3,943.5,10.929,0.671,13.016,1.32,15.03,10.24,100.5,0.82,0.71,0.12,9.18,0.0,-70.33,1.97,0.0,53.22,9.228,492.786,-99.0,-99.0,0.0,0.0,0.847,0,0,1,0,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
6624,SB56416_island_129,SB56416_component_129b,J050643-110853,05:06:43.1,-11:08:53,76.679438,-11.148174,0.19,0.18,943.5,21.992,0.743,27.799,1.512,14.48,11.27,58.05,0.46,0.4,0.1,8.05,3.23,45.22,1.19,2.13,360.0,64.962,674.003,-99.0,-99.0,0.0,0.0,1.008,1,0,1,0,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
7784,SB56416_island_1058,SB56416_component_1058a,J050643-093244,05:06:43.2,-09:32:44,76.679902,-9.545607,0.49,0.42,943.5,8.165,0.757,8.56,1.356,13.31,10.17,84.95,1.17,1.0,0.25,5.31,0.0,-84.7,4.28,0.0,61.17,0.961,185.26,-99.0,-99.0,0.0,0.0,0.805,0,0,1,0,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
6623,SB56416_island_129,SB56416_component_129a,J050643-110833,05:06:43.2,-11:08:33,76.679961,-11.142711,0.07,0.06,943.5,64.317,0.84,74.146,1.602,13.65,10.91,82.01,0.17,0.15,0.04,6.03,2.73,-88.79,0.58,0.94,8.26,64.962,674.003,-1.8,-99.0,0.0,0.0,1.008,1,0,1,0,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
8404,SB56416_island_1616,SB56416_component_1616a,J050643-081932,05:06:43.7,-08:19:32,76.68225,-8.325567,0.84,0.79,943.5,4.76,0.786,4.931,1.397,13.32,10.05,121.47,2.06,1.77,0.44,7.23,0.0,-44.62,5.35,0.0,360.0,0.056,61.273,-99.0,-99.0,0.0,0.0,0.824,0,0,1,0,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
6617,SB56416_island_124,SB56416_component_124a,J050644-110013,05:06:44.2,-11:00:13,76.684055,-11.003869,0.01,0.01,943.5,65.392,0.096,96.788,0.218,14.39,13.28,135.96,0.02,0.02,0.01,9.6,5.46,-26.85,0.04,0.06,3.52,25641.4,10971.881,-1.62,-99.0,0.0,0.0,0.161,1,0,1,1,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
7813,SB56416_island_1087,SB56416_component_1087a,J050644-101137,05:06:44.9,-10:11:37,76.687066,-10.193695,0.42,0.38,943.5,7.663,0.531,10.721,1.183,17.08,10.58,78.15,0.98,0.88,0.12,11.85,1.25,78.9,2.16,13.08,6.23,3.212,311.96,-99.0,-99.0,0.0,0.0,0.841,0,0,1,0,,selavy-image.i.RACS_0522-09.SB56416.cont.taylor.0.restored.conv.components.xml
