,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4688,SB56832_island_974,SB56832_component_974a,J015958-251139,01:59:58.4,-25:11:39,29.993318,-25.194249,0.15,0.14,943.5,7.996,0.197,13.208,0.49,16.69,11.59,92.22,0.36,0.33,0.05,12.31,4.99,-81.98,0.73,1.27,13.66,86.528,1508.994,-99.0,-99.0,0.0,0.0,0.39,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
3918,SB56832_island_353,SB56832_component_353a,J015959-221134,01:59:59.8,-22:11:34,29.999016,-22.192985,0.04,0.04,943.5,29.391,0.239,32.816,0.446,12.75,10.26,74.66,0.1,0.09,0.03,5.44,1.31,84.34,0.34,1.07,4.81,59.713,1061.446,-2.37,-99.0,0.0,0.0,0.275,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
3980,SB56832_island_396,SB56832_component_396a,J020000-251142,02:00:00.4,-25:11:42,30.001795,-25.19506,0.09,0.08,943.5,25.689,0.431,32.123,0.869,13.12,11.17,76.82,0.22,0.19,0.07,6.36,4.46,-86.09,0.61,0.66,18.46,37.788,814.22,-99.0,-99.0,0.0,0.0,0.575,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
5522,SB56832_island_1686,SB56832_component_1686a,J020007-234605,02:00:07.8,-23:46:05,30.032421,-23.768294,0.74,0.68,943.5,4.374,0.638,4.877,1.215,14.64,8.92,70.85,1.77,1.57,0.24,8.95,0.0,72.25,4.41,0.0,17.34,0.143,91.805,-99.0,-99.0,0.0,0.0,0.75,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
4126,SB56832_island_509,SB56832_component_509a,J020009-215007,02:00:09.8,-21:50:07,30.040665,-21.83535,0.15,0.13,943.5,18.427,0.558,18.102,0.958,12.2,9.44,82.92,0.35,0.3,0.09,4.37,0.0,-82.75,1.36,0.0,23.26,10.929,529.365,-99.0,-99.0,0.0,0.0,0.547,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
5337,SB56832_island_1524,SB56832_component_1524a,J020016-245451,02:00:16.3,-24:54:51,30.067945,-24.91427,2.0,1.91,943.5,4.909,1.744,6.976,3.857,14.65,11.36,123.75,4.87,4.32,1.05,10.26,1.38,-47.94,10.36,56.92,360.0,0.031,42.992,-99.0,-99.0,0.0,0.0,2.777,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
4443,SB56832_island_774,SB56832_component_774a,J020017-233342,02:00:17.0,-23:33:42,30.07102,-23.561734,0.23,0.24,943.5,11.479,0.507,15.19,1.069,14.51,10.68,35.98,0.58,0.52,0.11,9.32,1.14,26.27,1.34,7.75,50.74,4.773,318.686,-99.0,-99.0,0.0,0.0,0.734,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
3586,SB56832_island_114,SB56832_component_114a,J020020-251257,02:00:20.1,-25:12:57,30.083855,-25.216068,0.05,0.04,943.5,80.845,0.739,93.681,1.413,12.61,10.77,70.38,0.11,0.1,0.04,5.01,3.64,81.52,0.42,0.45,6.52,51.207,758.528,-1.61,-99.0,0.0,0.0,0.892,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
3623,SB56832_island_139,SB56832_component_139a,J020022-251332,02:00:22.7,-25:13:32,30.09442,-25.225831,0.05,0.05,943.5,67.909,0.719,77.411,1.361,12.12,11.02,63.42,0.13,0.11,0.08,4.44,3.47,-13.3,0.42,0.66,9.3,8.741,324.521,-1.19,-99.0,0.0,0.0,0.85,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
4660,SB56832_island_951,SB56832_component_951a,J020022-251830,02:00:22.8,-25:18:30,30.094864,-25.30835,0.38,0.36,943.5,8.935,0.662,10.583,1.308,14.7,9.44,60.85,0.92,0.83,0.14,9.05,0.0,58.95,2.29,0.0,21.13,0.629,140.202,-99.0,-99.0,0.0,0.0,0.837,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
4090,SB56832_island_479,SB56832_component_479a,J020024-235021,02:00:24.0,-23:50:21,30.100099,-23.839254,0.15,0.13,943.5,20.222,0.55,25.119,1.106,13.64,10.67,66.62,0.35,0.31,0.08,7.18,3.44,66.78,1.02,1.59,1.44,10.14,429.368,-99.0,-99.0,0.0,0.0,0.729,0,0,1,0,,selavy-image.i.RACS_0217-23.SB56832.cont.taylor.0.restored.conv.components.xml
