,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5207,SB56114_island_1608,SB56114_component_1608a,J041701+241540,04:17:01.9,+24:15:40,64.25782,24.261314,0.73,1.04,943.5,4.525,0.528,6.285,1.156,24.49,12.24,162.66,2.51,1.62,0.12,16.14,2.95,-23.54,5.66,14.06,187.35,0.419,120.2,-99.0,-99.0,0.0,0.0,0.819,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
5040,SB56114_island_1458,SB56114_component_1458a,J041708+240502,04:17:08.4,+24:05:02,64.284828,24.083975,0.32,0.51,943.5,5.043,0.339,4.7,0.562,17.21,11.69,175.46,1.21,0.75,0.12,2.68,0.0,65.74,4.68,0.0,198.38,0.848,192.039,-99.0,-99.0,0.0,0.0,0.312,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
3757,SB56114_island_356,SB56114_component_356a,J041710+241957,04:17:10.0,+24:19:57,64.291856,24.332707,0.15,0.23,943.5,25.105,0.697,28.5,1.317,18.92,12.94,163.4,0.55,0.34,0.05,6.93,0.0,-70.2,0.59,0.0,128.93,201.088,1328.13,-99.0,-99.0,0.0,0.0,0.821,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
3979,SB56114_island_538,SB56114_component_538a,J041716+225421,04:17:16.6,+22:54:21,64.319009,22.906051,0.26,0.4,943.5,16.866,0.833,17.855,1.499,18.68,12.23,168.69,0.95,0.59,0.08,4.1,1.04,-81.04,2.48,21.55,119.51,1.563,144.36,-99.0,-99.0,0.0,0.0,0.895,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
3442,SB56114_island_126,SB56114_component_126b,J041723+244503,04:17:23.1,+24:45:03,64.346042,24.750883,0.07,0.1,943.5,34.463,0.323,67.608,0.901,27.12,15.61,15.74,0.24,0.15,0.01,21.15,7.17,28.06,0.44,0.6,47.75,340.322,1219.066,-99.0,-99.0,0.0,0.0,0.815,1,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
3441,SB56114_island_126,SB56114_component_126a,J041723+244508,04:17:23.4,+24:45:08,64.347602,24.752243,0.12,0.17,943.5,37.701,0.86,36.109,1.448,18.82,10.98,163.08,0.42,0.26,0.03,5.14,0.0,-47.33,1.5,0.0,360.0,340.322,1219.066,-99.0,-99.0,0.0,0.0,0.815,1,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
4419,SB56114_island_905,SB56114_component_905a,J041729+245100,04:17:29.9,+24:51:00,64.374404,24.849845,0.37,0.59,943.5,9.302,0.64,10.853,1.232,18.94,13.29,173.9,1.39,0.86,0.13,6.86,2.77,61.07,2.13,11.39,352.98,2.115,187.735,-99.0,-99.0,0.0,0.0,0.781,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
4658,SB56114_island_1122,SB56114_component_1122a,J041732+244236,04:17:32.2,+24:42:36,64.383962,24.71027,0.51,0.82,943.5,7.1,0.753,6.792,1.27,16.95,12.18,175.2,1.93,1.2,0.21,4.11,0.0,70.92,5.77,0.0,199.49,1.215,170.053,-99.0,-99.0,0.0,0.0,0.715,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
4081,SB56114_island_626,SB56114_component_626a,J041732+222855,04:17:32.3,+22:28:55,64.384415,22.482169,0.24,0.39,943.5,13.954,0.614,17.37,1.245,18.66,14.39,173.87,0.92,0.56,0.11,8.63,0.66,72.77,1.59,37.59,80.01,13.642,405.413,-99.0,-99.0,0.0,0.0,0.822,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
5096,SB56114_island_1509,SB56114_component_1509a,J041732+243854,04:17:32.5,+24:38:54,64.385294,24.648337,0.86,1.31,943.5,4.804,0.903,3.825,1.353,17.96,9.57,166.17,3.15,1.93,0.21,0.0,0.0,-40.47,0.0,0.0,360.0,0.268,101.565,-99.0,-99.0,0.0,0.0,0.689,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
3686,SB56114_island_300,SB56114_component_300a,J041735+212015,04:17:35.5,+21:20:15,64.398091,21.337522,0.07,0.11,943.5,30.815,0.428,32.744,0.773,18.82,12.18,169.36,0.27,0.17,0.02,3.86,2.67,-79.47,0.72,2.33,35.79,117.124,1134.493,-1.53,-99.0,0.0,0.0,0.462,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
4603,SB56114_island_1072,SB56114_component_1072a,J041736+212431,04:17:36.5,+21:24:31,64.402262,21.408824,1.63,2.44,943.5,7.643,2.271,8.605,4.292,21.83,11.13,166.52,5.83,3.68,0.32,11.52,0.0,-18.65,16.49,0.0,277.46,0.152,58.695,-99.0,-99.0,0.0,0.0,2.661,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
3547,SB56114_island_199,SB56114_component_199a,J041738+243045,04:17:38.0,+24:30:45,64.408261,24.512625,0.08,0.12,943.5,43.858,0.659,47.85,1.214,18.13,12.98,170.67,0.29,0.18,0.03,5.84,0.0,78.2,0.75,0.0,5.07,204.123,1190.597,-0.84,-99.0,0.0,0.0,0.738,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
3898,SB56114_island_465,SB56114_component_465a,J041739+251000,04:17:39.6,+25:10:00,64.415061,25.166583,0.36,0.54,943.5,17.84,0.935,32.226,2.466,27.22,14.32,4.86,1.28,0.84,0.06,20.4,7.01,13.12,2.5,3.38,107.02,18.62,358.349,-99.0,-99.0,0.0,0.0,2.098,0,0,1,0,,selavy-image.i.RACS_0434+23.SB56114.cont.taylor.0.restored.conv.components.xml
