,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
6574,SB57905_island_331,SB57905_component_331b,J121621+010658,12:16:21.7,+01:06:58,184.090621,1.116293,1.27,1.25,943.5,4.526,0.88,7.427,2.204,19.92,11.66,130.95,3.13,2.8,0.3,16.26,0.0,-43.82,5.77,0.0,360.0,6.257,274.561,-99.0,-99.0,0.0,0.0,1.746,1,0,1,0,,selavy-image.i.RACS_1232+00.SB57905.cont.taylor.0.restored.conv.components.xml
3409,SB56368_island_370,SB56368_component_370a,J121622-003809,12:16:22.9,-00:38:09,184.095285,-0.635991,0.09,0.08,943.5,22.81,0.281,38.694,0.726,21.95,11.6,66.08,0.21,0.18,0.02,17.07,3.91,63.46,0.41,1.0,7.29,187.012,2311.535,-99.0,-99.0,0.0,0.0,0.588,0,0,1,0,,selavy-image.i.RACS_1232+00.SB56368.cont.taylor.0.restored.conv.components.xml
6572,SB57905_island_330,SB57905_component_330a,J121622-003810,12:16:22.9,-00:38:10,184.09543,-0.636284,0.07,0.08,943.5,24.407,0.225,62.213,0.897,32.3,11.16,61.85,0.16,0.19,0.01,29.59,2.12,60.99,0.27,1.93,3.91,132.655,1736.345,-99.0,-99.0,0.0,0.0,0.949,0,0,1,0,,selavy-image.i.RACS_1232+00.SB57905.cont.taylor.0.restored.conv.components.xml
3354,SB56368_island_333,SB56368_component_333a,J121623+010656,12:16:23.2,+01:06:56,184.096787,1.115568,0.41,0.33,943.5,26.042,1.69,30.736,3.275,15.46,11.46,80.67,0.98,0.76,0.16,6.9,3.59,-88.09,3.17,3.9,61.35,1.971,171.517,-99.0,-99.0,0.0,0.0,2.09,0,0,1,0,,selavy-image.i.RACS_1232+00.SB56368.cont.taylor.0.restored.conv.components.xml
6573,SB57905_island_331,SB57905_component_331a,J121623+010658,12:16:23.3,+01:06:58,184.09693,1.11614,0.32,0.27,943.5,26.795,1.462,30.751,2.784,14.69,11.05,89.19,0.76,0.63,0.14,7.08,0.0,-76.36,2.21,0.0,65.91,6.257,274.561,-99.0,-99.0,0.0,0.0,1.746,1,0,1,0,,selavy-image.i.RACS_1232+00.SB57905.cont.taylor.0.restored.conv.components.xml
7961,SB57905_island_1380,SB57905_component_1380a,J121631+011258,12:16:31.9,+01:12:58,184.132942,1.216288,0.14,0.21,943.5,4.283,0.06,23.858,0.467,50.51,15.6,99.92,0.31,0.5,0.02,48.88,10.84,-79.56,0.49,1.29,6.8,8.131,434.853,-99.0,-99.0,0.0,0.0,0.926,0,0,1,0,,selavy-image.i.RACS_1232+00.SB57905.cont.taylor.0.restored.conv.components.xml
7726,SB57905_island_1183,SB57905_component_1183a,J121632+005729,12:16:32.6,+00:57:29,184.13571,0.9581,0.64,0.64,943.5,5.237,0.554,7.381,1.214,15.17,13.15,135.17,1.65,1.35,0.5,10.28,3.02,-29.78,3.39,8.58,278.6,1.383,185.925,-99.0,-99.0,0.0,0.0,0.869,1,0,1,0,,selavy-image.i.RACS_1232+00.SB57905.cont.taylor.0.restored.conv.components.xml
7727,SB57905_island_1183,SB57905_component_1183b,J121633+005740,12:16:33.4,+00:57:40,184.139207,0.961191,0.84,0.85,943.5,3.537,0.512,4.739,1.259,23.91,7.93,40.69,2.06,1.93,0.13,20.48,0.0,37.67,3.62,0.0,201.02,1.383,185.925,-99.0,-99.0,0.0,0.0,0.869,1,0,1,0,,selavy-image.i.RACS_1232+00.SB57905.cont.taylor.0.restored.conv.components.xml
2959,SB56368_island_64,SB56368_component_64a,J121636+010438,12:16:36.5,+01:04:38,184.152081,1.077406,0.06,0.05,943.5,101.811,1.0,107.504,1.797,14.44,10.98,74.52,0.14,0.11,0.03,3.94,1.91,66.92,0.77,1.04,8.19,32.983,494.288,-1.39,-99.0,0.0,0.0,1.071,1,0,1,0,,selavy-image.i.RACS_1232+00.SB56368.cont.taylor.0.restored.conv.components.xml
6167,SB57905_island_72,SB57905_component_72a,J121636+010439,12:16:36.6,+01:04:39,184.152338,1.077745,0.05,0.04,943.5,106.973,0.855,120.837,1.61,14.46,11.05,78.04,0.11,0.09,0.02,6.14,2.3,81.53,0.4,0.74,2.24,477.234,1887.181,-1.59,-99.0,0.0,0.0,1.0,0,0,1,0,,selavy-image.i.RACS_1232+00.SB57905.cont.taylor.0.restored.conv.components.xml
2960,SB56368_island_64,SB56368_component_64b,J121636+010436,12:16:36.6,+01:04:36,184.152688,1.076749,0.02,0.09,943.5,4.887,0.011,61.126,0.391,177.33,10.59,99.48,0.04,0.22,0.0,176.82,0.0,-80.47,0.07,0.0,9.49,32.983,494.288,-99.0,-99.0,0.0,0.0,1.071,1,0,1,0,,selavy-image.i.RACS_1232+00.SB56368.cont.taylor.0.restored.conv.components.xml
6614,SB57905_island_357,SB57905_component_357b,J121643-003238,12:16:43.9,-00:32:38,184.182974,-0.543899,0.46,0.4,943.5,22.7,1.541,35.964,3.702,18.2,12.32,101.18,1.09,0.94,0.14,13.14,4.7,-70.65,2.25,4.11,76.34,2.312,169.984,-99.0,-99.0,0.0,0.0,2.869,1,0,1,0,,selavy-image.i.RACS_1232+00.SB57905.cont.taylor.0.restored.conv.components.xml
6613,SB57905_island_357,SB57905_component_357a,J121645-003235,12:16:45.2,-00:32:35,184.188324,-0.543254,0.51,0.44,943.5,25.013,2.064,32.139,4.259,15.98,11.38,107.31,1.21,1.02,0.18,10.21,0.0,-59.75,2.7,0.0,183.67,2.312,169.984,-99.0,-99.0,0.0,0.0,2.869,1,0,1,0,,selavy-image.i.RACS_1232+00.SB57905.cont.taylor.0.restored.conv.components.xml
