,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5136,SB56524_island_1489,SB56524_component_1489a,J123741+084543,12:37:41.5,+08:45:43,189.422839,8.762133,0.85,0.79,943.5,5.586,0.942,4.395,1.401,12.78,10.16,93.99,2.0,1.85,0.56,2.05,0.0,88.32,18.92,0.0,57.45,0.046,57.469,-99.0,-99.0,0.0,0.0,0.71,0,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
4096,SB56524_island_585,SB56524_component_585c,J123745+090343,12:37:45.4,+09:03:43,189.439153,9.062115,1.41,1.36,943.5,3.994,1.016,3.97,1.833,17.14,9.57,117.62,3.35,3.17,0.38,11.29,0.0,-64.93,7.72,0.0,84.51,13.732,300.567,-99.0,-99.0,0.0,0.0,1.062,1,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
4095,SB56524_island_585,SB56524_component_585b,J123746+090323,12:37:46.4,+09:03:23,189.443292,9.056549,0.35,0.35,943.5,6.657,0.265,17.482,0.94,24.49,17.69,135.59,0.8,0.86,0.1,20.7,12.41,-45.73,1.47,2.0,360.0,13.732,300.567,-99.0,-99.0,0.0,0.0,1.062,1,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
4094,SB56524_island_585,SB56524_component_585a,J123746+090340,12:37:46.9,+09:03:40,189.445529,9.061199,0.28,0.27,943.5,16.414,0.715,22.139,1.527,16.48,13.51,109.56,0.66,0.64,0.17,10.4,3.91,-75.98,1.6,3.54,27.91,13.732,300.567,-99.0,-99.0,0.0,0.0,1.062,1,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
4727,SB56524_island_1127,SB56524_component_1127a,J123748+085756,12:37:48.4,+08:57:56,189.451527,8.965812,0.55,0.55,943.5,7.852,0.707,9.927,1.474,17.84,11.69,142.61,1.31,1.29,0.18,12.06,0.0,-38.96,2.97,0.0,71.31,0.681,141.516,-99.0,-99.0,0.0,0.0,0.983,0,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
3354,SB56524_island_32,SB56524_component_32b,J123802+072325,12:38:02.5,+07:23:25,189.510251,7.390301,0.03,0.03,943.5,65.046,0.376,55.356,0.59,13.59,10.33,88.64,0.07,0.07,0.02,5.15,0.0,84.91,0.29,0.0,1.44,846.576,2532.479,0.84,-99.0,0.01,0.0,0.312,1,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
3353,SB56524_island_32,SB56524_component_32a,J123802+072319,12:38:02.5,+07:23:19,189.510428,7.388775,0.01,0.01,943.5,167.023,0.319,163.834,0.546,13.56,11.94,90.94,0.02,0.02,0.01,5.06,0.0,84.15,0.1,0.0,0.97,846.576,2532.479,-1.4,-99.0,0.01,0.0,0.312,1,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
4434,SB56524_island_869,SB56524_component_869a,J123806+104316,12:38:06.0,+10:43:16,189.525169,10.721128,0.39,0.39,943.5,10.636,0.649,14.504,1.401,17.09,13.17,108.35,0.93,0.9,0.18,11.35,2.46,-75.81,2.14,7.87,30.11,1.507,167.031,-99.0,-99.0,0.0,0.0,0.981,0,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
5000,SB56524_island_1370,SB56524_component_1370a,J123807+070702,12:38:07.0,+07:07:02,189.529274,7.117443,0.44,0.44,943.5,6.091,0.438,7.624,0.902,17.39,11.87,147.27,1.04,1.02,0.16,11.36,0.0,-34.02,2.45,0.0,26.29,1.08,212.14,-99.0,-99.0,0.0,0.0,0.597,0,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
4698,SB56524_island_1102,SB56524_component_1102a,J123812+092514,12:38:12.4,+09:25:14,189.551708,9.420747,0.64,0.63,943.5,8.001,0.919,8.165,1.632,15.19,11.09,125.36,1.53,1.45,0.29,7.89,0.0,-59.27,4.49,0.0,87.8,0.561,149.851,-99.0,-99.0,0.0,0.0,0.955,0,0,1,0,,selavy-image.i.RACS_1253+09.SB56524.cont.taylor.0.restored.conv.components.xml
