,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
7773,SB58242_island_1326,SB58242_component_1326a,J171831-514314,17:18:31.1,-51:43:14,259.629487,-51.720696,0.7,0.68,943.5,5.793,0.767,6.399,1.427,14.2,10.51,51.61,1.72,1.52,0.34,7.71,0.0,62.75,4.59,0.0,174.83,0.317,122.794,-99.0,-99.0,0.0,0.0,0.875,0,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
7508,SB58242_island_1087,SB58242_component_1087a,J171832-510323,17:18:32.0,-51:03:23,259.633375,-51.056625,0.03,0.03,943.5,8.084,0.034,20.271,0.118,24.09,14.07,5.83,0.08,0.08,0.01,20.73,8.73,4.32,0.13,0.22,1.13,128.717,1529.804,-2.5,-99.0,0.01,0.0,0.128,1,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
7509,SB58242_island_1087,SB58242_component_1087b,J171833-510339,17:18:33.2,-51:03:39,259.638135,-51.060836,0.06,0.06,943.5,6.869,0.064,11.427,0.16,17.94,12.53,152.03,0.14,0.13,0.02,13.79,4.01,-33.67,0.28,0.69,14.63,128.717,1529.804,-0.58,-99.0,0.01,0.0,0.128,1,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
7552,SB58242_island_1127,SB58242_component_1127a,J171841-511101,17:18:41.9,-51:11:01,259.674733,-51.183718,0.69,0.62,943.5,7.135,0.965,6.821,1.623,11.81,10.94,69.93,1.64,1.44,1.22,3.78,0.0,-82.05,5.43,0.0,197.4,0.26,111.372,-99.0,-99.0,0.0,0.0,0.913,0,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
7745,SB58242_island_1301,SB58242_component_1301a,J171844-510644,17:18:44.4,-51:06:44,259.685113,-51.112281,0.6,0.61,943.5,6.089,0.658,7.664,1.333,13.69,12.42,40.83,1.51,1.32,0.77,6.76,4.86,78.61,2.37,2.74,253.58,0.283,106.33,-99.0,-99.0,0.0,0.0,0.886,0,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
6779,SB58242_island_453,SB58242_component_453a,J171845-512814,17:18:45.1,-51:28:14,259.687754,-51.470735,0.17,0.18,943.5,21.035,0.677,25.163,1.326,13.09,12.35,39.38,0.44,0.38,0.37,6.06,3.82,-82.75,0.73,1.41,63.39,19.297,557.886,-99.0,-99.0,0.0,0.0,0.853,0,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
8473,SB58242_island_1955,SB58242_component_1955a,J171851-530816,17:18:51.9,-53:08:16,259.716445,-53.137986,1.11,0.98,943.5,3.637,0.811,3.243,1.305,12.33,9.78,99.47,2.62,2.29,0.71,5.67,0.0,-75.79,8.68,0.0,67.93,0.105,90.019,-99.0,-99.0,0.0,0.0,0.706,0,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
8083,SB58242_island_1599,SB58242_component_1599a,J171857-530200,17:18:57.7,-53:02:00,259.740334,-53.03351,0.43,0.39,943.5,4.565,0.256,9.811,0.764,18.92,15.35,88.26,1.0,0.91,0.2,15.32,9.3,-86.75,1.89,2.43,37.89,2.891,279.54,-99.0,-99.0,0.0,0.0,0.741,0,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
6786,SB58242_island_459,SB58242_component_459a,J171900-513508,17:19:00.0,-51:35:08,259.750028,-51.585569,0.16,0.17,943.5,20.772,0.657,22.081,1.186,12.67,11.34,29.79,0.4,0.36,0.2,3.62,1.87,79.34,0.88,1.95,63.37,15.167,515.84,-99.0,-99.0,0.0,0.0,0.71,0,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
8179,SB58242_island_1691,SB58242_component_1691a,J171904-525551,17:19:04.5,-52:55:51,259.768908,-52.931057,0.76,0.84,943.5,4.436,0.72,4.385,1.238,12.04,11.1,19.18,2.0,1.76,1.39,2.14,0.0,-63.68,14.43,0.0,115.82,0.19,105.73,-99.0,-99.0,0.0,0.0,0.71,0,0,1,0,,selavy-image.i.RACS_1743-51.SB58242.cont.taylor.0.restored.conv.components.xml
