,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4736,SB55774_island_1184,SB55774_component_1184a,J061804+273200,06:18:04.4,+27:32:00,94.518414,27.533185,0.67,1.21,943.5,6.802,0.729,10.786,1.741,28.48,13.53,171.2,2.87,1.54,0.1,18.68,7.44,-9.2,6.58,6.92,15.41,1.094,137.32,-99.0,-99.0,0.0,0.0,1.351,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4385,SB55774_island_879,SB55774_component_879a,J061804+285502,06:18:04.6,+28:55:02,94.519193,28.917291,0.39,0.76,943.5,9.716,0.708,12.355,1.449,22.62,13.66,178.44,1.78,0.92,0.09,9.69,3.78,43.34,2.19,5.55,360.0,2.354,187.455,-99.0,-99.0,0.0,0.0,0.969,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
3883,SB55774_island_453,SB55774_component_453a,J061806+272403,06:18:06.9,+27:24:03,94.528672,27.401043,0.15,0.29,943.5,21.208,0.632,23.829,1.187,21.56,12.66,175.41,0.68,0.36,0.04,6.62,0.0,55.8,0.69,0.0,329.06,34.722,592.221,-99.0,-99.0,0.0,0.0,0.735,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
5051,SB55774_island_1465,SB55774_component_1465a,J061817+272737,06:18:17.8,+27:27:37,94.574163,27.460315,0.77,1.46,943.5,5.307,0.774,6.411,1.524,23.94,12.26,1.83,3.44,1.81,0.15,12.13,0.0,25.33,8.04,0.0,360.0,0.256,92.361,-99.0,-99.0,0.0,0.0,0.987,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
5046,SB55774_island_1460,SB55774_component_1460a,J061830+284431,06:18:30.4,+28:44:31,94.626491,28.742014,0.64,1.24,943.5,5.138,0.556,7.763,1.3,23.13,15.87,8.65,2.94,1.46,0.17,13.87,2.09,52.69,2.73,16.31,360.0,1.637,202.29,-99.0,-99.0,0.0,0.0,0.974,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4391,SB55774_island_884,SB55774_component_884a,J061832+290451,06:18:32.7,+29:04:51,94.636139,29.080994,0.21,0.31,943.5,9.619,0.226,23.284,0.74,34.0,17.3,155.28,0.78,0.42,0.02,27.08,11.47,-33.41,1.43,1.39,191.72,49.832,596.608,-99.0,-99.0,0.0,0.0,0.787,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4220,SB55774_island_733,SB55774_component_733a,J061833+292402,06:18:33.4,+29:24:02,94.638982,29.400761,0.32,0.6,943.5,11.524,0.725,12.829,1.35,22.56,11.99,175.17,1.43,0.75,0.07,7.62,2.12,21.14,4.72,5.07,326.23,59.702,869.324,-99.0,-99.0,0.0,0.0,0.831,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4236,SB55774_island_746,SB55774_component_746a,J061836+284153,06:18:36.7,+28:41:53,94.652826,28.698065,0.33,0.56,943.5,12.053,0.67,15.548,1.381,24.02,13.05,164.71,1.36,0.71,0.06,11.63,4.67,-37.39,3.42,2.86,360.0,10.829,370.231,-99.0,-99.0,0.0,0.0,0.932,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4194,SB55774_island_712,SB55774_component_712a,J061837+291627,06:18:37.7,+29:16:27,94.657233,29.27438,0.26,0.47,943.5,12.268,0.562,15.64,1.158,21.86,14.17,168.4,1.13,0.58,0.06,8.81,3.31,-84.9,1.55,9.95,133.0,22.367,493.073,-99.0,-99.0,0.0,0.0,0.776,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4247,SB55774_island_755,SB55774_component_755a,J061841+284253,06:18:41.0,+28:42:53,94.670979,28.714966,0.33,0.63,943.5,11.467,0.725,13.415,1.405,21.25,13.38,174.8,1.48,0.77,0.08,7.46,0.0,68.67,2.36,0.0,220.35,4.1,235.378,-99.0,-99.0,0.0,0.0,0.892,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
3590,SB55774_island_218,SB55774_component_218a,J061842+295848,06:18:42.7,+29:58:48,94.67781,29.980126,0.09,0.17,943.5,42.43,0.755,44.923,1.36,21.27,12.09,171.45,0.39,0.21,0.02,4.31,0.0,82.68,1.3,0.0,3.72,35.386,569.777,-0.94,-99.0,0.0,0.0,0.812,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4833,SB55774_island_1268,SB55774_component_1268a,J061849+255214,06:18:49.6,+25:52:14,94.706743,25.870735,0.75,1.36,943.5,6.347,0.89,7.354,1.704,24.03,11.71,170.41,3.24,1.71,0.13,10.76,3.0,-13.17,10.82,16.2,102.98,0.225,83.771,-99.0,-99.0,0.0,0.0,1.075,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
3614,SB55774_island_237,SB55774_component_237a,J061849+260934,06:18:49.7,+26:09:34,94.707134,26.159583,0.08,0.14,943.5,39.188,0.594,41.461,1.07,21.25,12.1,172.17,0.34,0.18,0.02,4.37,0.0,75.24,1.05,0.0,18.83,73.559,817.751,-0.65,-99.0,0.0,0.0,0.638,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
3863,SB55774_island_437,SB55774_component_437a,J061851+284842,06:18:51.8,+28:48:42,94.715759,28.811801,0.11,0.16,943.5,20.931,0.251,48.455,0.8,29.75,18.9,27.54,0.41,0.2,0.02,24.32,7.81,45.97,0.65,0.78,360.0,626.152,1839.73,-99.0,-99.0,0.0,0.0,0.82,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4885,SB55774_island_1315,SB55774_component_1315a,J061852+272139,06:18:52.2,+27:21:39,94.717398,27.360938,0.46,0.87,943.5,5.773,0.455,8.131,1.028,20.87,16.4,10.97,2.08,1.02,0.18,13.12,0.0,68.02,1.2,0.0,360.0,6.939,342.946,-99.0,-99.0,0.0,0.0,0.734,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4913,SB55774_island_1338,SB55774_component_1338a,J061853+291839,06:18:53.7,+29:18:39,94.72371,29.310846,0.57,1.03,943.5,6.08,0.647,7.087,1.254,25.87,10.95,171.04,2.45,1.31,0.09,14.39,0.0,-9.75,6.63,0.0,19.22,0.514,104.576,-99.0,-99.0,0.0,0.0,0.795,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4037,SB55774_island_580,SB55774_component_580a,J061854+285057,06:18:54.2,+28:50:57,94.725766,28.849254,0.22,0.42,943.5,15.966,0.694,18.143,1.316,21.23,13.0,174.36,1.0,0.52,0.06,6.73,0.0,68.0,1.73,0.0,153.84,9.233,316.801,-99.0,-99.0,0.0,0.0,0.821,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4696,SB55774_island_1147,SB55774_component_1147a,J061855+284821,06:18:55.2,+28:48:21,94.730197,28.806005,0.49,0.95,943.5,6.955,0.656,8.299,1.302,20.26,14.31,175.32,2.25,1.15,0.16,8.91,0.0,75.74,3.5,0.0,165.72,2.815,222.21,-99.0,-99.0,0.0,0.0,0.837,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
5324,SB55774_island_1712,SB55774_component_1712a,J061857+290506,06:18:57.2,+29:05:06,94.738254,29.085131,0.68,1.22,943.5,4.31,0.522,5.368,1.049,23.57,12.84,167.91,2.91,1.52,0.13,10.08,5.38,-29.92,8.95,6.22,360.0,1.051,166.322,-99.0,-99.0,0.0,0.0,0.693,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
3898,SB55774_island_465,SB55774_component_465a,J061902+284220,06:19:02.4,+28:42:20,94.760206,28.705679,0.14,0.28,943.5,19.99,0.522,26.252,1.097,22.42,14.23,174.91,0.65,0.33,0.04,9.11,5.67,59.73,0.63,2.94,220.67,15.728,345.185,-99.0,-99.0,0.0,0.0,0.75,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
3777,SB55774_island_367,SB55774_component_367a,J061904+280136,06:19:04.6,+28:01:36,94.769082,28.026856,0.15,0.28,943.5,26.593,0.808,27.312,1.425,21.69,11.5,173.34,0.66,0.35,0.03,4.13,0.0,32.71,2.44,0.0,322.3,10.671,318.797,-99.0,-99.0,0.0,0.0,0.835,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4729,SB55774_island_1178,SB55774_component_1178a,J061904+265151,06:19:04.9,+26:51:51,94.770224,26.864407,1.4,1.43,943.5,6.329,0.765,15.981,2.589,32.73,18.74,136.28,4.21,2.13,0.14,27.55,8.58,-57.43,6.96,8.97,360.0,1.297,115.031,-99.0,-99.0,0.0,0.0,2.846,1,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4730,SB55774_island_1178,SB55774_component_1178b,J061906+265152,06:19:06.5,+26:51:52,94.777067,26.864595,3.5,4.15,943.5,4.383,2.041,5.647,4.218,26.22,11.94,143.86,11.26,6.03,0.41,18.56,0.0,-55.06,20.55,0.0,360.0,1.297,115.031,-99.0,-99.0,0.0,0.0,2.846,1,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4187,SB55774_island_706,SB55774_component_706a,J061907+253707,06:19:07.7,+25:37:07,94.782095,25.618653,0.38,0.71,943.5,12.503,0.925,13.977,1.728,22.28,12.19,172.79,1.68,0.88,0.08,6.11,4.2,16.25,7.27,3.45,309.97,2.567,197.232,-99.0,-99.0,0.0,0.0,1.066,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
3687,SB55774_island_297,SB55774_component_297a,J061909+283901,06:19:09.2,+28:39:01,94.788398,28.65034,0.1,0.18,943.5,31.346,0.548,42.909,1.176,24.87,13.37,169.89,0.44,0.23,0.02,12.55,7.07,-15.3,1.3,0.99,21.88,87.727,574.284,-99.0,-99.0,0.0,0.0,0.826,1,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
3688,SB55774_island_297,SB55774_component_297b,J061911+283844,06:19:11.0,+28:38:44,94.795962,28.645651,0.24,0.47,943.5,12.232,0.526,17.106,1.161,22.4,15.17,178.61,1.12,0.56,0.07,10.93,4.73,60.01,0.82,5.5,360.0,87.727,574.284,-99.0,-99.0,0.0,0.0,0.826,1,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4560,SB55774_island_1035,SB55774_component_1035a,J061911+272615,06:19:11.6,+27:26:15,94.798501,27.437661,0.34,0.64,943.5,8.032,0.504,10.033,1.016,23.18,13.1,177.23,1.51,0.79,0.07,9.86,4.63,27.34,3.54,2.23,360.0,3.117,205.233,-99.0,-99.0,0.0,0.0,0.672,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
3552,SB55774_island_189,SB55774_component_189a,J061912+265116,06:19:12.0,+26:51:16,94.800012,26.854616,0.08,0.15,943.5,50.536,0.827,52.47,1.47,21.04,11.99,175.72,0.36,0.19,0.02,5.23,0.0,57.53,0.46,0.0,141.95,54.515,655.172,-0.63,-99.0,0.0,0.0,0.868,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4533,SB55774_island_1011,SB55774_component_1011b,J061913+272615,06:19:13.5,+27:26:15,94.806088,27.437574,0.59,1.12,943.5,5.22,0.615,5.634,1.126,20.62,12.72,177.33,2.64,1.38,0.15,6.7,0.0,64.23,3.49,0.0,360.0,14.077,308.408,-99.0,-99.0,0.0,0.0,0.68,1,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4532,SB55774_island_1011,SB55774_component_1011a,J061915+272619,06:19:15.2,+27:26:19,94.813189,27.438698,0.28,0.54,943.5,7.984,0.371,12.562,0.882,25.65,14.9,173.54,1.27,0.65,0.05,14.06,9.62,-0.07,3.43,2.19,68.89,14.077,308.408,-99.0,-99.0,0.0,0.0,0.68,1,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4539,SB55774_island_1017,SB55774_component_1017a,J061916+253442,06:19:16.5,+25:34:42,94.818753,25.578499,0.5,0.76,943.5,7.928,0.566,12.125,1.315,26.91,13.81,157.01,1.89,1.0,0.07,17.55,4.13,-39.99,3.87,6.02,360.0,7.981,353.136,-99.0,-99.0,0.0,0.0,0.996,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4517,SB55774_island_1000,SB55774_component_1000a,J061917+282906,06:19:17.2,+28:29:06,94.821868,28.485177,0.82,1.54,943.5,6.087,1.167,4.78,1.729,18.0,10.6,179.28,3.63,1.93,0.23,0.0,0.0,69.88,0.0,0.0,360.0,16.881,375.061,-99.0,-99.0,0.0,0.0,0.874,1,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4518,SB55774_island_1000,SB55774_component_1000b,J061917+282926,06:19:17.4,+28:29:26,94.82246,28.490579,0.25,0.31,943.5,4.51,0.091,19.598,0.527,63.47,16.63,168.71,0.73,0.59,0.01,59.73,12.17,-11.57,1.17,2.25,10.24,16.881,375.061,-99.0,-99.0,0.0,0.0,0.874,1,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
5509,SB55774_island_1883,SB55774_component_1883a,J061919+285420,06:19:19.7,+28:54:20,94.832107,28.905616,0.76,1.39,943.5,3.905,0.585,4.139,1.06,24.44,10.54,171.39,3.3,1.75,0.12,11.62,0.0,-8.96,10.46,0.0,14.08,0.329,101.358,-99.0,-99.0,0.0,0.0,0.634,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
5045,SB55774_island_1459,SB55774_component_1459a,J061923+253006,06:19:23.5,+25:30:06,94.847731,25.501857,0.76,1.21,943.5,5.24,0.651,6.566,1.316,25.35,12.01,160.46,2.97,1.58,0.11,14.56,0.0,-36.44,6.9,0.0,360.0,0.904,158.424,-99.0,-99.0,0.0,0.0,0.873,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4461,SB55774_island_946,SB55774_component_946a,J061925+254842,06:19:25.0,+25:48:42,94.854217,25.811756,0.47,0.86,943.5,9.37,0.957,8.162,1.513,19.86,10.65,171.02,2.05,1.08,0.11,0.0,0.0,84.33,0.0,0.0,45.86,1.181,153.679,-99.0,-99.0,0.0,0.0,0.808,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
4651,SB55774_island_1111,SB55774_component_1111a,J061926+261346,06:19:26.1,+26:13:46,94.858685,26.229657,0.57,1.07,943.5,7.487,0.866,7.732,1.542,19.89,12.62,2.97,2.53,1.33,0.16,7.52,0.0,62.48,2.2,0.0,360.0,0.846,137.093,-99.0,-99.0,0.0,0.0,0.908,0,0,1,0,,selavy-image.i.RACS_0636+28.SB55774.cont.taylor.0.restored.conv.components.xml
