,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4416,SB56721_island_732,SB56721_component_732a,J064214-283113,06:42:14.6,-28:31:13,100.560847,-28.520303,0.29,0.26,943.5,11.293,0.594,13.911,1.186,13.07,11.37,79.31,0.68,0.61,0.27,6.38,4.09,-82.54,1.84,2.31,63.06,7.624,416.265,-99.0,-99.0,0.0,0.0,0.777,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
4850,SB56721_island_1108,SB56721_component_1108a,J064216-281029,06:42:16.6,-28:10:29,100.569098,-28.174862,0.42,0.4,943.5,6.694,0.504,9.215,1.089,14.23,11.67,61.42,1.02,0.93,0.28,8.25,5.29,60.35,2.71,3.35,13.53,2.148,267.601,-99.0,-99.0,0.0,0.0,0.767,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
3884,SB56721_island_308,SB56721_component_308b,J064217-270047,06:42:17.5,-27:00:47,100.572764,-27.013091,0.22,0.25,943.5,3.848,0.203,3.588,0.335,11.59,9.7,172.77,0.59,0.53,0.22,4.94,0.0,-14.96,2.09,0.0,24.15,170.783,1584.778,-99.0,-99.0,0.0,0.0,0.186,1,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
3883,SB56721_island_308,SB56721_component_308a,J064218-270057,06:42:18.1,-27:00:57,100.575485,-27.016048,0.03,0.02,943.5,30.376,0.153,35.239,0.294,13.39,10.45,58.88,0.06,0.06,0.02,6.71,0.91,56.39,0.19,1.08,2.16,170.783,1584.778,-1.67,-99.0,0.0,0.0,0.186,1,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
5044,SB56721_island_1286,SB56721_component_1286a,J064225-293634,06:42:25.6,-29:36:34,100.606831,-29.609697,0.46,0.51,943.5,5.767,0.465,9.495,1.14,15.1,13.15,1.38,1.2,1.08,0.42,10.75,6.53,-7.42,2.51,3.4,66.03,1.208,197.408,-99.0,-99.0,0.0,0.0,0.909,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
4766,SB56721_island_1039,SB56721_component_1039a,J064225-265611,06:42:25.8,-26:56:11,100.607415,-26.936544,0.52,0.53,943.5,7.581,0.867,7.319,1.47,12.01,9.7,39.67,1.31,1.17,0.4,4.06,0.0,24.22,5.33,0.0,137.36,0.276,109.472,-99.0,-99.0,0.0,0.0,0.832,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
5176,SB56721_island_1398,SB56721_component_1398a,J064230-281611,06:42:30.1,-28:16:11,100.625583,-28.269921,0.62,0.63,943.5,5.36,0.728,5.178,1.232,11.72,9.94,43.64,1.55,1.39,0.59,3.01,0.0,22.41,7.56,0.0,198.94,0.494,157.197,-99.0,-99.0,0.0,0.0,0.697,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
3607,SB56721_island_108,SB56721_component_108a,J064232-280129,06:42:32.5,-28:01:29,100.635496,-28.024993,0.04,0.04,943.5,76.516,0.625,87.321,1.183,12.65,10.88,66.51,0.1,0.09,0.04,5.08,3.16,72.31,0.38,0.5,3.67,37.028,652.384,-1.08,-99.0,0.0,0.0,0.739,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
4422,SB56721_island_737,SB56721_component_737a,J064235-270525,06:42:35.4,-27:05:25,100.647661,-27.090444,0.28,0.26,943.5,11.714,0.591,15.172,1.238,15.08,10.36,67.03,0.66,0.61,0.11,9.65,0.0,68.14,1.57,0.0,6.44,9.113,460.368,-99.0,-99.0,0.0,0.0,0.838,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
4569,SB56721_island_859,SB56721_component_859a,J064237-280036,06:42:37.1,-28:00:36,100.65479,-28.010009,0.17,0.17,943.5,9.216,0.224,21.104,0.713,19.88,13.9,156.59,0.41,0.4,0.06,16.94,7.66,-23.82,0.74,1.22,3.29,35.379,726.663,-99.0,-99.0,0.0,0.0,0.723,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
4492,SB56721_island_795,SB56721_component_795a,J064245-284541,06:42:45.4,-28:45:41,100.68905,-28.761549,0.3,0.28,943.5,10.402,0.589,12.731,1.175,13.81,10.69,66.69,0.72,0.66,0.17,7.51,2.44,68.59,2.04,4.77,10.46,3.931,313.472,-99.0,-99.0,0.0,0.0,0.767,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
3982,SB56721_island_384,SB56721_component_384a,J064247-291111,06:42:47.5,-29:11:11,100.697797,-29.186512,0.13,0.12,943.5,24.715,0.615,29.826,1.21,12.65,11.51,64.0,0.32,0.28,0.18,5.06,4.91,81.24,1.07,0.92,28.19,25.925,674.401,-99.0,-99.0,0.0,0.0,0.783,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
5531,SB56721_island_1712,SB56721_component_1712a,J064248-284324,06:42:48.4,-28:43:24,100.701704,-28.72342,0.78,0.84,943.5,3.911,0.657,4.181,1.194,12.84,10.04,157.54,2.01,1.81,0.51,7.52,0.0,-23.76,5.28,0.0,21.05,0.093,87.827,-99.0,-99.0,0.0,0.0,0.717,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
4177,SB56721_island_535,SB56721_component_535a,J064250-264837,06:42:50.2,-26:48:37,100.709011,-26.810458,0.17,0.15,943.5,16.572,0.518,20.393,1.034,12.74,11.66,78.15,0.4,0.36,0.25,5.88,4.56,-64.34,0.68,0.75,94.01,11.2,447.207,-99.0,-99.0,0.0,0.0,0.677,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
4118,SB56721_island_488,SB56721_component_488a,J064253-274622,06:42:53.0,-27:46:22,100.721027,-27.772837,0.24,0.22,943.5,18.43,0.884,19.099,1.568,11.87,10.53,70.32,0.57,0.51,0.28,2.92,0.76,-81.45,2.43,7.39,68.7,2.956,265.277,-99.0,-99.0,0.0,0.0,0.925,0,0,1,0,,selavy-image.i.RACS_0700-28.SB56721.cont.taylor.0.restored.conv.components.xml
