,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
8117,SB58992_island_1566,SB58992_component_1566a,J162912-751846,16:29:12.5,-75:18:46,247.302107,-75.312947,0.45,0.68,943.5,4.927,0.397,6.324,0.815,20.48,12.87,177.7,1.61,1.06,0.12,10.32,5.54,-5.78,4.81,4.71,40.72,0.577,143.553,-99.0,-99.0,0.0,0.0,0.549,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
7814,SB58992_island_1306,SB58992_component_1306a,J162913-751027,16:29:13.7,-75:10:27,247.307147,-75.174274,0.54,0.66,943.5,6.344,0.558,7.371,1.07,19.3,12.36,149.86,1.68,1.1,0.14,11.74,0.0,-55.31,3.14,0.0,360.0,0.854,184.852,-99.0,-99.0,0.0,0.0,0.676,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
7428,SB58992_island_970,SB58992_component_970a,J162916-750911,16:29:16.9,-75:09:11,247.320308,-75.153137,0.27,0.39,943.5,8.717,0.357,14.775,0.894,23.91,14.55,173.0,0.93,0.62,0.06,16.2,8.56,-12.82,2.06,2.01,49.61,7.772,359.896,-99.0,-99.0,0.0,0.0,0.727,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
7454,SB58992_island_994,SB58992_component_994a,J162923-750100,16:29:23.6,-75:01:00,247.348257,-75.016588,0.08,0.12,943.5,8.234,0.115,11.019,0.244,22.09,12.44,173.4,0.28,0.19,0.02,13.36,4.05,-12.99,0.69,1.13,15.05,203.118,1976.391,-99.0,-99.0,0.0,0.0,0.169,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
7264,SB58992_island_835,SB58992_component_835a,J162924-750930,16:29:24.5,-75:09:30,247.352018,-75.1586,0.38,0.56,943.5,10.517,0.709,13.224,1.435,20.09,12.85,170.36,1.34,0.88,0.1,10.19,4.12,-28.86,3.39,3.97,310.93,6.894,367.67,-99.0,-99.0,0.0,0.0,0.953,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
7303,SB58992_island_864,SB58992_component_864a,J162954-751157,16:29:54.0,-75:11:57,247.47514,-75.199349,0.39,0.61,943.5,10.073,0.697,13.444,1.474,19.46,14.08,177.78,1.43,0.92,0.14,8.31,7.75,-41.56,2.37,1.59,360.0,19.204,556.543,-99.0,-99.0,0.0,0.0,1.018,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
7077,SB58992_island_681,SB58992_component_681a,J163034-752543,16:30:34.7,-75:25:43,247.644762,-75.428795,0.14,0.15,943.5,13.581,0.189,39.595,0.773,40.44,14.8,151.96,0.37,0.32,0.01,36.93,6.57,-31.2,0.6,1.55,34.44,72.692,651.996,-99.0,-99.0,0.0,0.0,0.93,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
8048,SB58992_island_1506,SB58992_component_1506a,J163047-752127,16:30:47.0,-75:21:27,247.695716,-75.357685,0.61,0.9,943.5,5.217,0.557,6.722,1.148,20.99,12.61,169.72,2.13,1.41,0.15,11.79,3.54,-23.91,5.31,8.54,301.56,0.396,104.88,-99.0,-99.0,0.0,0.0,0.775,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
7451,SB58992_island_991,SB58992_component_991a,J163048-753317,16:30:48.7,-75:33:17,247.703076,-75.554997,0.44,0.65,943.5,8.615,0.703,9.961,1.346,17.97,13.21,167.96,1.56,1.01,0.17,7.74,0.0,-64.04,1.59,0.0,360.0,4.121,281.522,-99.0,-99.0,0.0,0.0,0.848,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
6658,SB58992_island_349,SB58992_component_349a,J163101-752412,16:31:01.3,-75:24:12,247.755356,-75.4034,0.12,0.18,943.5,32.603,0.768,35.029,1.397,17.9,12.32,169.59,0.43,0.28,0.04,6.45,0.0,-55.44,0.66,0.0,218.55,17.756,413.198,-99.0,-99.0,0.0,0.0,0.841,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
6945,SB58992_island_575,SB58992_component_575a,J163123-750642,16:31:23.7,-75:06:42,247.848706,-75.111916,0.11,0.12,943.5,14.974,0.138,60.637,0.735,48.21,17.25,168.23,0.27,0.26,0.01,44.92,12.48,-12.79,0.44,0.75,5.93,305.988,1207.098,-99.0,-99.0,0.0,0.0,1.16,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
6167,SB58992_island_19,SB58992_component_19c,J163130-751008,16:31:30.7,-75:10:08,247.877869,-75.168895,0.01,0.01,943.5,71.836,0.051,631.816,0.522,70.68,25.55,170.91,0.03,0.03,0.0,68.46,22.68,-9.44,0.05,0.07,0.58,8461.619,2385.455,-99.0,-99.0,0.0,0.0,1.672,1,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
7712,SB58992_island_1217,SB58992_component_1217a,J163131-745508,16:31:31.8,-74:55:08,247.882321,-74.919066,0.52,0.74,943.5,7.047,0.659,8.279,1.274,19.95,12.09,164.47,1.79,1.18,0.13,10.65,0.0,-36.69,4.16,0.0,360.0,3.451,276.919,-99.0,-99.0,0.0,0.0,0.811,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
6165,SB58992_island_19,SB58992_component_19a,J163132-750917,16:31:32.1,-75:09:17,247.883942,-75.154914,0.01,0.02,943.5,271.6,0.456,678.551,1.535,30.02,17.09,22.41,0.05,0.03,0.0,24.99,11.0,29.87,0.08,0.09,6.91,8461.619,2385.455,-0.55,-99.0,0.0,0.0,1.672,1,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
6166,SB58992_island_19,SB58992_component_19b,J163134-750910,16:31:34.8,-75:09:10,247.894803,-75.152871,0.03,0.05,943.5,222.882,1.319,267.061,2.594,17.94,13.72,6.28,0.12,0.07,0.01,7.78,1.19,72.32,0.16,2.03,19.29,8461.619,2385.455,-0.26,-99.0,0.0,0.0,1.672,1,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
6168,SB58992_island_19,SB58992_component_19d,J163144-751023,16:31:44.7,-75:10:23,247.936307,-75.173072,0.05,0.03,943.5,16.163,0.029,195.172,0.376,55.13,44.97,92.22,0.12,0.07,0.01,53.89,41.35,-88.24,0.19,0.13,1.33,8461.619,2385.455,-99.0,-99.0,0.0,0.0,1.672,1,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
6558,SB58992_island_273,SB58992_component_273a,J163147-744948,16:31:47.5,-74:49:48,247.947851,-74.830274,0.09,0.13,943.5,41.016,0.666,46.527,1.256,19.23,12.11,165.11,0.31,0.2,0.02,9.37,0.0,-40.95,0.7,0.0,326.96,155.324,1042.201,-0.16,-99.0,0.0,0.0,0.782,0,0,1,0,,selavy-image.i.RACS_1726-73.SB58992.cont.taylor.0.restored.conv.components.xml
