,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5366,SB55821_island_1473,SB55821_component_1473a,J210604-300804,21:06:04.9,-30:08:04,316.520623,-30.134708,0.31,0.27,943.5,4.944,0.268,6.35,0.553,14.44,11.01,96.81,0.73,0.65,0.15,8.78,1.69,-72.14,1.74,6.57,53.87,1.875,342.357,-99.0,-99.0,0.0,0.0,0.373,0,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
5358,SB55821_island_1467,SB55821_component_1467a,J210606-280336,21:06:06.1,-28:03:36,316.525218,-28.06012,0.38,0.34,943.5,5.154,0.358,6.156,0.704,14.33,10.31,102.04,0.9,0.8,0.16,8.76,0.0,-68.11,2.15,0.0,65.38,0.78,192.735,-99.0,-99.0,0.0,0.0,0.453,0,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
4871,SB55821_island_1035,SB55821_component_1035a,J210609-294416,21:06:09.5,-29:44:16,316.539632,-29.738009,1.0,0.95,943.5,7.467,1.31,10.318,2.897,16.61,10.3,63.96,2.39,2.2,0.3,11.59,0.0,62.86,5.22,0.0,31.14,0.367,108.737,-99.0,-99.0,0.0,0.0,2.044,0,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
5288,SB55821_island_1404,SB55821_component_1404a,J210612-283920,21:06:12.5,-28:39:20,316.5521,-28.655562,0.7,0.61,943.5,5.287,0.765,4.87,1.258,12.17,9.36,79.85,1.66,1.44,0.41,3.03,0.0,-88.38,9.62,0.0,89.1,0.769,206.675,-99.0,-99.0,0.0,0.0,0.693,0,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
5572,SB55821_island_1655,SB55821_component_1655a,J210613-264833,21:06:13.6,-26:48:33,316.556493,-26.80925,1.98,1.76,943.5,4.192,1.653,4.219,2.88,12.56,9.92,75.57,4.71,4.11,1.23,4.14,0.0,84.04,21.27,0.0,196.32,0.001,10.157,-99.0,-99.0,0.0,0.0,1.669,0,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
4646,SB55821_island_840,SB55821_component_840a,J210618-275550,21:06:18.6,-27:55:50,316.577509,-27.930583,0.16,0.14,943.5,9.553,0.27,12.477,0.562,13.21,12.24,107.52,0.39,0.33,0.25,7.47,4.31,-41.78,0.67,0.93,360.0,11.987,561.643,-99.0,-99.0,0.0,0.0,0.382,0,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
5565,SB55821_island_1649,SB55821_component_1649a,J210620-295039,21:06:20.6,-29:50:39,316.58576,-29.844335,0.97,1.0,943.5,4.211,0.92,3.808,1.499,12.38,9.04,38.23,2.48,2.15,0.53,4.88,0.0,24.32,8.85,0.0,235.67,0.015,38.487,-99.0,-99.0,0.0,0.0,0.818,0,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
4856,SB55821_island_1022,SB55821_component_1022a,J210620-263837,21:06:20.9,-26:38:37,316.587284,-26.64371,0.2,0.2,943.5,7.512,0.192,21.065,0.723,23.51,14.76,93.77,0.47,0.48,0.05,20.43,10.16,-83.87,0.83,1.18,10.49,18.763,529.193,-99.0,-99.0,0.0,0.0,0.858,0,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
4499,SB55821_island_717,SB55821_component_717a,J210623-302125,21:06:23.5,-30:21:25,316.59778,-30.357013,0.38,0.35,943.5,11.475,0.775,14.865,1.614,14.99,10.69,66.1,0.9,0.81,0.16,9.12,2.47,65.06,2.27,5.92,9.35,3.502,288.75,-99.0,-99.0,0.0,0.0,1.093,0,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
3631,SB55821_island_72,SB55821_component_72a,J210624-301029,21:06:24.6,-30:10:29,316.602538,-30.174952,0.03,0.03,943.5,103.358,0.676,115.677,1.263,12.59,11.0,60.35,0.08,0.07,0.03,4.51,3.07,30.71,0.23,0.26,21.49,118.733,927.567,-1.45,-99.0,0.0,0.0,0.78,1,0,1,0,,selavy-image.i.RACS_2124-28.SB55821.cont.taylor.0.restored.conv.components.xml
