,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4651,SB56785_island_988,SB56785_component_988a,J104704-185719,10:47:04.6,-18:57:19,161.76937,-18.955424,0.45,0.45,943.5,8.671,0.693,12.536,1.573,16.19,10.66,43.89,1.1,1.01,0.16,11.48,1.71,38.41,2.34,10.55,159.35,1.049,193.56,-99.0,-99.0,0.0,0.0,1.144,0,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
3681,SB56785_island_185,SB56785_component_185b,J104707-192255,10:47:07.9,-19:22:55,161.782878,-19.382001,0.07,0.06,943.5,45.562,0.507,65.827,1.132,14.4,11.98,101.86,0.16,0.14,0.04,9.21,5.0,-62.85,0.34,0.48,22.23,245.186,1318.676,-1.32,-99.0,0.0,0.0,0.824,1,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
3680,SB56785_island_185,SB56785_component_185a,J104708-192301,10:47:08.9,-19:23:01,161.787091,-19.383664,0.06,0.05,943.5,50.491,0.483,75.273,1.109,15.66,11.36,81.16,0.13,0.12,0.02,10.52,4.77,85.93,0.3,0.48,3.88,245.186,1318.676,-1.41,-99.0,0.0,0.0,0.824,1,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
4639,SB56785_island_978,SB56785_component_978a,J104713-205650,10:47:13.1,-20:56:50,161.804765,-20.947276,0.1,0.09,943.5,8.607,0.151,11.326,0.322,15.71,9.99,64.23,0.23,0.21,0.03,10.49,0.0,63.15,0.53,0.0,2.75,35.623,1148.646,-99.0,-99.0,0.0,0.0,0.22,0,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
4524,SB56785_island_874,SB56785_component_874a,J104717-203016,10:47:17.2,-20:30:16,161.821573,-20.504647,0.25,0.26,943.5,9.392,0.324,23.903,1.104,19.23,15.79,141.8,0.64,0.57,0.13,16.24,10.7,-34.81,1.16,1.38,47.72,10.171,455.595,-99.0,-99.0,0.0,0.0,1.222,0,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
3479,SB56785_island_45,SB56785_component_45a,J104717-192650,10:47:17.7,-19:26:50,161.823607,-19.447229,0.02,0.02,943.5,193.597,0.829,242.344,1.673,13.2,11.32,75.47,0.06,0.05,0.02,6.25,4.73,-89.24,0.16,0.17,4.31,164.882,1213.325,-1.21,-99.0,0.0,0.0,1.108,0,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
4501,SB56785_island_858,SB56785_component_858a,J104729-173522,10:47:29.2,-17:35:22,161.8718,-17.589517,0.39,0.36,943.5,10.14,0.795,10.762,1.435,12.54,10.1,64.16,0.94,0.82,0.26,4.56,0.0,58.69,3.95,0.0,54.91,2.057,253.518,-99.0,-99.0,0.0,0.0,0.858,0,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
5213,SB56785_island_1486,SB56785_component_1486a,J104730-204158,10:47:30.6,-20:41:58,161.877622,-20.699652,0.6,0.55,943.5,5.139,0.489,8.67,1.225,16.36,12.3,74.4,1.42,1.28,0.26,11.47,6.84,76.87,3.11,3.85,25.24,0.322,133.737,-99.0,-99.0,0.0,0.0,0.993,0,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
4337,SB56785_island_716,SB56785_component_716a,J104731-192041,10:47:31.8,-19:20:41,161.882607,-19.344853,0.39,0.38,943.5,12.642,0.998,13.609,1.823,12.97,9.91,52.18,0.96,0.84,0.22,5.96,0.0,41.06,3.03,0.0,360.0,1.262,198.581,-99.0,-99.0,0.0,0.0,1.1,0,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
4429,SB56785_island_797,SB56785_component_797a,J104732-175453,10:47:32.9,-17:54:53,161.887059,-17.914844,0.23,0.21,943.5,10.639,0.36,20.338,0.99,17.44,13.08,90.22,0.54,0.49,0.09,13.16,7.82,-83.85,1.07,1.34,21.92,21.023,642.034,-99.0,-99.0,0.0,0.0,0.879,0,0,1,0,,selavy-image.i.RACS_1103-18.SB56785.cont.taylor.0.restored.conv.components.xml
