,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4249,SB57992_island_570,SB57992_component_570a,J142731-140133,14:27:31.1,-14:01:33,216.879449,-14.025839,0.11,0.11,943.5,15.647,0.288,26.637,0.726,16.36,12.79,136.52,0.28,0.26,0.06,12.4,5.5,-38.86,0.56,0.97,38.9,23.414,582.521,-99.0,-99.0,0.0,0.0,0.592,0,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
4883,SB57992_island_1095,SB57992_component_1095b,J142735-124100,14:27:35.3,-12:41:00,216.897093,-12.683502,0.21,0.2,943.5,4.648,0.101,18.656,0.505,26.61,18.53,37.51,0.47,0.49,0.05,24.07,14.99,35.54,0.81,1.01,31.62,14.453,388.013,-99.0,-99.0,0.0,0.0,0.812,1,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
4566,SB57992_island_813,SB57992_component_813a,J142735-124207,14:27:35.5,-12:42:07,216.898075,-12.7022,0.28,0.26,943.5,10.303,0.479,15.355,1.101,15.81,11.58,91.69,0.65,0.61,0.12,10.83,4.43,-83.03,1.44,2.61,21.68,26.485,727.8,-99.0,-99.0,0.0,0.0,0.818,0,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
5371,SB57992_island_1518,SB57992_component_1518a,J142735-141516,14:27:35.9,-14:15:16,216.8995,-14.254587,0.27,0.3,943.5,4.458,0.163,11.751,0.609,24.89,13.01,73.55,0.62,0.7,0.06,21.97,7.68,73.74,1.07,2.05,4.87,11.18,522.184,-99.0,-99.0,0.0,0.0,0.679,0,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
4882,SB57992_island_1095,SB57992_component_1095a,J142736-124036,14:27:36.1,-12:40:36,216.900509,-12.676941,0.31,0.34,943.5,6.918,0.354,12.72,0.941,15.55,14.53,15.72,0.82,0.72,0.52,11.24,8.91,-0.44,1.55,1.66,80.86,14.453,388.013,-99.0,-99.0,0.0,0.0,0.812,1,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
4116,SB57992_island_461,SB57992_component_461a,J142746-135319,14:27:46.0,-13:53:19,216.941787,-13.888613,0.07,0.07,943.5,19.735,0.259,25.132,0.53,13.78,11.35,77.32,0.17,0.16,0.05,7.32,4.24,82.32,0.5,0.68,4.92,139.389,1511.645,-1.01,-99.0,0.01,0.0,0.355,0,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
4176,SB57992_island_510,SB57992_component_510a,J142746-131127,14:27:46.5,-13:11:27,216.943561,-13.19084,0.1,0.12,943.5,14.377,0.217,35.327,0.831,27.74,10.88,74.12,0.23,0.29,0.02,25.16,2.84,74.27,0.39,2.04,2.2,399.152,2105.948,-99.0,-99.0,0.0,0.0,0.858,0,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
5492,SB57992_island_1630,SB57992_component_1630a,J142749-125600,14:27:49.5,-12:56:00,216.956182,-12.933518,0.73,0.77,943.5,4.409,0.708,4.361,1.218,11.84,10.26,149.56,1.87,1.68,0.81,5.42,0.0,-25.67,6.26,0.0,68.64,0.144,97.965,-99.0,-99.0,0.0,0.0,0.699,0,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
5144,SB57992_island_1319,SB57992_component_1319a,J142751-144849,14:27:51.8,-14:48:49,216.96581,-14.813616,0.98,0.88,943.5,6.332,1.559,4.022,2.029,10.48,7.45,65.19,2.36,2.01,0.55,0.0,0.0,60.15,0.0,0.0,92.18,0.104,93.072,-99.0,-99.0,0.0,0.0,0.927,0,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
3484,SB57992_island_29,SB57992_component_29a,J142752-144909,14:27:52.1,-14:49:09,216.967158,-14.819378,0.02,0.02,943.5,251.307,0.836,274.249,1.536,12.58,10.65,70.09,0.04,0.04,0.01,4.63,1.81,69.35,0.17,0.35,0.25,201.8,1348.339,-1.02,-99.0,0.0,0.0,0.934,0,0,1,0,,selavy-image.i.RACS_1443-14.SB57992.cont.taylor.0.restored.conv.components.xml
