,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
3998,SB55837_island_641,SB55837_component_641a,J012950+285715,01:29:50.8,+28:57:15,22.461781,28.954217,0.04,0.08,943.5,13.518,0.112,13.784,0.196,21.92,11.72,168.38,0.18,0.1,0.01,2.25,0.81,82.67,1.14,7.38,5.9,171.865,1381.886,-1.52,-99.0,0.0,0.0,0.115,1,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
3999,SB55837_island_641,SB55837_component_641b,J012951+285700,01:29:51.5,+28:57:00,22.464504,28.950092,0.18,0.34,943.5,3.251,0.123,2.931,0.208,27.43,8.28,173.32,0.8,0.41,0.02,16.66,0.0,-1.79,1.95,0.0,34.67,171.865,1381.886,-99.0,-99.0,0.0,0.0,0.115,1,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
5020,SB55837_island_1545,SB55837_component_1545a,J012954+291013,01:29:54.0,+29:10:13,22.475026,29.170339,0.47,0.58,943.5,4.197,0.197,10.68,0.695,43.01,14.9,148.68,1.5,0.94,0.04,37.66,6.42,-35.94,2.55,5.86,312.45,5.373,391.803,-99.0,-99.0,0.0,0.0,0.759,0,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
3872,SB55837_island_543,SB55837_component_543a,J012958+285223,01:29:58.6,+28:52:23,22.494302,28.873109,0.2,0.33,943.5,16.514,0.604,16.374,1.043,20.21,12.36,163.38,0.8,0.42,0.05,5.24,0.0,-89.01,1.63,0.0,89.46,18.56,490.963,-99.0,-99.0,0.0,0.0,0.6,0,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
4931,SB55837_island_1463,SB55837_component_1463a,J013008+292140,01:30:08.4,+29:21:40,22.535148,29.361197,0.7,1.33,943.5,4.818,0.605,6.124,1.251,21.45,14.92,7.43,3.15,1.6,0.2,12.0,0.0,57.23,2.3,0.0,360.0,1.411,203.694,-99.0,-99.0,0.0,0.0,0.837,0,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
5066,SB55837_island_1585,SB55837_component_1585a,J013009+291452,01:30:09.8,+29:14:52,22.540951,29.247918,0.84,1.52,943.5,4.504,0.709,4.949,1.311,21.98,12.59,169.77,3.62,1.9,0.18,5.36,1.05,61.7,7.4,99.82,360.0,0.582,134.815,-99.0,-99.0,0.0,0.0,0.801,0,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
4182,SB55837_island_799,SB55837_component_799a,J013012+293420,01:30:12.7,+29:34:20,22.552933,29.572394,0.37,0.62,943.5,10.184,0.677,11.064,1.243,24.25,11.28,163.43,1.51,0.8,0.06,10.87,0.0,-30.06,4.71,0.0,315.55,4.884,300.743,-99.0,-99.0,0.0,0.0,0.754,0,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
4449,SB55837_island_1041,SB55837_component_1041a,J013013+273021,01:30:13.9,+27:30:21,22.557891,27.50604,0.54,1.0,943.5,7.632,0.799,8.138,1.448,23.9,11.24,173.61,2.36,1.25,0.09,10.16,0.0,9.18,7.56,0.0,290.92,3.722,270.146,-99.0,-99.0,0.0,0.0,0.869,0,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
3633,SB55837_island_348,SB55837_component_348a,J013016+293527,01:30:16.1,+29:35:27,22.567111,29.591058,0.06,0.09,943.5,23.151,0.144,72.54,0.622,51.95,15.19,169.54,0.21,0.15,0.0,47.11,9.92,-10.28,0.34,0.64,1.96,2361.029,2858.26,-99.0,-99.0,0.0,0.0,0.793,0,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
4521,SB55837_island_1106,SB55837_component_1106a,J013021+273505,01:30:21.2,+27:35:05,22.588284,27.584957,0.39,0.77,943.5,7.081,0.478,10.314,1.076,25.05,14.64,1.26,1.8,0.93,0.08,14.33,4.97,29.41,3.32,2.93,360.0,9.513,254.387,-99.0,-99.0,0.0,0.0,0.787,1,0,1,0,,selavy-image.i.RACS_0148+28.SB55837.cont.taylor.0.restored.conv.components.xml
