,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4238,SB56179_island_785,SB56179_component_785a,J004829+102252,00:48:29.9,+10:22:52,12.124401,10.381335,0.22,0.22,943.5,11.133,0.305,24.059,0.931,22.66,15.85,80.88,0.51,0.53,0.06,18.92,8.56,79.53,0.95,1.61,7.17,23.005,500.053,-99.0,-99.0,0.0,0.0,0.902,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
4637,SB56179_island_1120,SB56179_component_1120a,J004832+084423,00:48:32.7,+08:44:23,12.136336,8.739794,0.63,0.6,943.5,7.57,0.786,8.837,1.512,14.16,13.7,59.37,1.51,1.39,2.16,6.83,2.86,63.36,4.85,10.57,61.28,0.333,100.4,-99.0,-99.0,0.0,0.0,0.959,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
5614,SB56179_island_1975,SB56179_component_1975a,J004835+090616,00:48:35.3,+09:06:16,12.146919,9.104676,0.9,0.85,943.5,3.689,0.525,4.64,1.065,15.96,13.1,99.26,2.12,1.99,0.54,9.71,0.0,-87.96,5.28,0.0,98.34,0.857,207.015,-99.0,-99.0,0.0,0.0,0.708,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
4682,SB56179_island_1159,SB56179_component_1159a,J004836+104716,00:48:36.0,+10:47:16,12.149954,10.787927,0.5,0.52,943.5,7.139,0.576,9.518,1.235,17.95,12.34,161.23,1.22,1.18,0.18,11.96,0.0,-17.74,2.82,0.0,12.25,0.578,88.405,-99.0,-99.0,0.0,0.0,0.852,1,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
4683,SB56179_island_1159,SB56179_component_1159b,J004836+104728,00:48:36.5,+10:47:28,12.152066,10.791293,0.82,0.82,943.5,5.409,0.781,5.794,1.416,14.14,12.58,133.52,2.0,1.85,0.89,5.2,0.0,-65.35,7.14,0.0,315.55,0.578,88.405,-99.0,-99.0,0.0,0.0,0.852,1,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
3283,SB56179_island_42,SB56179_component_42a,J004840+084430,00:48:40.0,+08:44:30,12.166512,8.74171,0.02,0.02,943.5,164.205,0.622,223.08,1.332,16.64,13.57,155.55,0.06,0.06,0.01,9.86,5.51,-24.37,0.15,0.22,0.32,386.483,1544.571,-1.37,-99.0,0.0,0.0,0.93,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
4923,SB56179_island_1377,SB56179_component_1377a,J004843+103949,00:48:43.6,+10:39:49,12.181762,10.66378,0.63,0.63,943.5,5.814,0.601,7.17,1.201,14.58,14.05,133.38,1.54,1.42,1.94,6.89,5.41,82.88,2.24,3.09,279.18,1.468,204.794,-99.0,-99.0,0.0,0.0,0.788,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
4985,SB56179_island_1430,SB56179_component_1430a,J004847+102502,00:48:47.5,+10:25:02,12.198018,10.417292,0.58,0.56,943.5,5.744,0.529,7.35,1.094,17.03,12.48,109.49,1.38,1.31,0.23,11.18,0.0,-75.92,3.18,0.0,56.0,0.817,144.695,-99.0,-99.0,0.0,0.0,0.735,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
5105,SB56179_island_1534,SB56179_component_1534a,J004848+083443,00:48:48.4,+08:34:43,12.201769,8.578776,0.7,0.71,943.5,5.135,0.596,6.347,1.225,18.03,11.39,152.83,1.7,1.63,0.21,12.06,0.0,-27.55,3.88,0.0,13.93,0.342,110.51,-99.0,-99.0,0.0,0.0,0.805,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
4611,SB56179_island_1098,SB56179_component_1098a,J004850+084849,00:48:50.0,+08:48:49,12.208221,8.813651,0.48,0.49,943.5,7.74,0.65,8.465,1.196,14.29,12.72,38.21,1.18,1.09,0.52,6.85,0.0,48.21,3.64,0.0,360.0,3.757,299.1,-99.0,-99.0,0.0,0.0,0.728,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
5509,SB56179_island_1888,SB56179_component_1888a,J004853+101308,00:48:53.1,+10:13:08,12.22126,10.219119,0.77,0.77,943.5,4.003,0.477,5.605,1.089,20.15,11.55,98.07,1.82,1.82,0.19,15.66,0.0,-84.3,3.56,0.0,33.65,0.199,92.975,-99.0,-99.0,0.0,0.0,0.774,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
5102,SB56179_island_1531,SB56179_component_1531a,J004854+095814,00:48:54.3,+09:58:14,12.226287,9.970759,0.39,0.37,943.5,5.224,0.326,6.576,0.664,16.47,12.69,100.5,0.93,0.88,0.19,10.5,0.0,-85.27,2.21,0.0,35.29,5.287,434.527,-99.0,-99.0,0.0,0.0,0.441,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
5462,SB56179_island_1849,SB56179_component_1849a,J004857+110306,00:48:57.2,+11:03:06,12.238202,11.051932,0.99,0.97,943.5,4.116,0.719,4.334,1.289,14.03,12.47,125.37,2.4,2.22,1.06,5.26,0.0,-73.65,8.39,0.0,292.88,0.036,46.316,-99.0,-99.0,0.0,0.0,0.767,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
4965,SB56179_island_1412,SB56179_component_1412a,J004857+070609,00:48:57.5,+07:06:09,12.239743,7.102569,0.67,0.65,943.5,5.756,0.576,8.255,1.293,18.07,13.19,71.34,1.57,1.52,0.25,13.13,0.0,70.47,3.33,0.0,14.71,0.421,122.646,-99.0,-99.0,0.0,0.0,0.936,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
4022,SB56179_island_605,SB56179_component_605a,J004858+092131,00:48:58.3,+09:21:31,12.242824,9.358778,0.21,0.21,943.5,13.965,0.405,23.894,1.034,19.8,14.36,40.86,0.49,0.49,0.07,15.3,5.54,43.6,0.98,2.08,220.35,175.091,1329.887,-99.0,-99.0,0.0,0.0,0.845,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
3875,SB56179_island_487,SB56179_component_487a,J004858+085942,00:48:58.7,+08:59:42,12.244657,8.99512,0.1,0.1,943.5,18.063,0.222,40.59,0.73,26.17,14.27,126.09,0.22,0.25,0.02,22.62,6.58,-55.25,0.4,0.93,9.46,397.576,1709.78,-99.0,-99.0,0.0,0.0,0.72,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
4105,SB56179_island_670,SB56179_component_670a,J004901+092147,00:49:01.1,+09:21:47,12.254602,9.363229,0.24,0.24,943.5,13.291,0.462,20.922,1.098,17.34,15.08,53.78,0.58,0.54,0.18,12.09,6.98,56.77,1.29,1.9,31.52,40.035,707.413,-99.0,-99.0,0.0,0.0,0.848,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
5399,SB56179_island_1791,SB56179_component_1791a,J004903+092505,00:49:03.2,+09:25:05,12.263413,9.418125,0.52,0.55,943.5,4.33,0.296,8.659,0.959,28.34,11.73,52.06,1.14,1.36,0.08,25.45,0.0,52.54,1.93,0.0,39.8,0.682,148.275,-99.0,-99.0,0.0,0.0,0.856,0,0,1,0,,selavy-image.i.RACS_0104+09.SB56179.cont.taylor.0.restored.conv.components.xml
