,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
8621,SB55735_island_961,SB55735_component_961a,J192028+340220,19:20:28.6,+34:02:20,290.11921,34.038925,0.32,0.55,943.5,7.972,0.292,19.162,1.004,51.12,13.72,166.81,1.31,0.72,0.02,44.25,7.59,-13.73,2.27,4.82,16.04,47.67,649.503,-99.0,-99.0,0.0,0.0,1.045,0,0,1,0,,selavy-image.i.RACS_1939+32.SB55735.cont.taylor.0.restored.conv.components.xml
4331,SB60326_island_957,SB60326_component_957a,J192028+340219,19:20:28.9,+34:02:19,290.120305,34.038772,0.74,1.51,943.5,8.944,1.201,9.974,2.275,23.03,14.02,167.44,3.63,1.6,0.16,8.19,0.0,73.87,6.49,0.0,117.08,0.819,136.423,-99.0,-99.0,0.0,0.0,1.403,0,0,1,0,,selavy-image.i.RACS_1939+32.SB60326.cont.taylor.0.restored.conv.components.xml
4470,SB60326_island_1080,SB60326_component_1080a,J192029+335513,19:20:29.3,+33:55:13,290.122176,33.920424,0.7,1.42,943.5,7.702,0.832,11.856,1.943,31.32,14.23,168.1,3.41,1.53,0.09,18.38,8.42,-8.18,8.69,7.33,135.3,0.652,132.762,-99.0,-99.0,0.0,0.0,1.478,0,0,1,0,,selavy-image.i.RACS_1939+32.SB60326.cont.taylor.0.restored.conv.components.xml
7421,SB55735_island_11,SB55735_component_11a,J192035+334710,19:20:35.8,+33:47:10,290.149104,33.786246,0.01,0.03,943.5,413.704,0.753,751.305,2.144,25.4,20.87,172.31,0.07,0.03,0.0,17.52,0.0,76.4,0.07,0.0,3.85,37170.55,9864.335,-1.57,-99.0,0.0,0.0,1.807,0,0,1,1,,selavy-image.i.RACS_1939+32.SB55735.cont.taylor.0.restored.conv.components.xml
3147,SB60326_island_11,SB60326_component_11a,J192036+334705,19:20:36.1,+33:47:05,290.150603,33.78494,0.02,0.04,943.5,422.082,1.226,777.721,3.499,25.85,20.64,163.47,0.11,0.04,0.01,17.24,4.69,78.56,0.11,0.9,5.18,15274.119,6250.139,-1.7,-99.0,0.0,0.0,2.983,0,0,1,1,,selavy-image.i.RACS_1939+32.SB60326.cont.taylor.0.restored.conv.components.xml
8069,SB55735_island_487,SB55735_component_487a,J192051+323139,19:20:51.0,+32:31:39,290.212551,32.527572,0.2,0.41,943.5,16.581,0.527,23.054,1.154,27.23,14.9,166.78,0.98,0.42,0.03,10.35,8.42,-62.23,1.0,2.04,360.0,157.816,757.545,-99.0,-99.0,0.0,0.0,0.819,1,0,1,0,,selavy-image.i.RACS_1939+32.SB55735.cont.taylor.0.restored.conv.components.xml
3789,SB60326_island_488,SB60326_component_488a,J192051+323136,19:20:51.4,+32:31:36,290.214098,32.526758,0.13,0.26,943.5,17.1,0.373,21.37,0.752,27.13,13.34,165.08,0.62,0.28,0.02,9.66,6.75,-27.22,2.47,1.28,113.32,213.583,965.752,-99.0,-99.0,0.0,0.0,0.498,1,0,1,0,,selavy-image.i.RACS_1939+32.SB60326.cont.taylor.0.restored.conv.components.xml
4670,SB60326_island_1253,SB60326_component_1253a,J192052+331624,19:20:52.3,+33:16:24,290.217847,33.273406,0.91,2.02,943.5,6.533,1.232,6.466,2.134,22.83,12.55,1.83,4.76,2.14,0.19,9.54,0.0,54.8,3.37,0.0,360.0,0.013,20.507,-99.0,-99.0,0.0,0.0,1.226,0,0,1,0,,selavy-image.i.RACS_1939+32.SB60326.cont.taylor.0.restored.conv.components.xml
8281,SB55735_island_663,SB55735_component_663a,J192052+340100,19:20:52.6,+34:01:00,290.219039,34.016641,0.39,0.83,943.5,13.987,1.09,13.538,1.856,23.13,12.21,172.16,1.96,0.88,0.07,4.91,0.0,69.76,4.85,0.0,235.56,1.974,162.253,-99.0,-99.0,0.0,0.0,1.052,0,0,1,0,,selavy-image.i.RACS_1939+32.SB55735.cont.taylor.0.restored.conv.components.xml
4147,SB60326_island_794,SB60326_component_794a,J192052+340056,19:20:52.8,+34:00:56,290.220081,34.015766,0.48,0.95,943.5,11.21,0.868,15.292,1.859,29.49,13.39,166.57,2.3,1.03,0.06,14.98,7.03,-12.29,6.8,5.64,28.73,2.638,181.598,-99.0,-99.0,0.0,0.0,1.303,0,0,1,0,,selavy-image.i.RACS_1939+32.SB60326.cont.taylor.0.restored.conv.components.xml
8070,SB55735_island_487,SB55735_component_487b,J192052+323152,19:20:52.8,+32:31:52,290.220088,32.531126,0.08,0.28,943.5,5.253,0.042,34.361,0.337,49.17,38.83,176.56,0.65,0.19,0.01,42.24,36.82,6.21,1.1,0.48,102.14,157.816,757.545,-99.0,-99.0,0.0,0.0,0.819,1,0,1,0,,selavy-image.i.RACS_1939+32.SB55735.cont.taylor.0.restored.conv.components.xml
3790,SB60326_island_488,SB60326_component_488b,J192053+323144,19:20:53.4,+32:31:44,290.222654,32.529096,0.13,0.15,943.5,5.288,0.033,30.275,0.23,47.25,35.09,40.5,0.45,0.14,0.01,44.46,26.68,51.85,0.68,0.43,326.76,213.583,965.752,-99.0,-99.0,0.0,0.0,0.498,1,0,1,0,,selavy-image.i.RACS_1939+32.SB60326.cont.taylor.0.restored.conv.components.xml
7555,SB55735_island_103,SB55735_component_103a,J192053+314806,19:20:53.5,+31:48:06,290.222822,31.801746,0.04,0.1,943.5,79.413,0.559,122.258,1.322,28.11,15.99,0.5,0.23,0.1,0.01,15.43,4.69,38.45,0.31,0.43,260.51,3414.657,2441.16,-1.2,-99.0,0.0,0.0,1.004,1,0,1,0,,selavy-image.i.RACS_1939+32.SB55735.cont.taylor.0.restored.conv.components.xml
3272,SB60326_island_99,SB60326_component_99a,J192053+314802,19:20:53.9,+31:48:02,290.224582,31.800582,0.04,0.09,943.5,80.756,0.506,132.54,1.252,28.8,16.5,177.28,0.21,0.09,0.01,16.39,7.62,31.09,0.33,0.19,113.02,4901.504,2914.585,-1.02,-99.0,0.0,0.0,0.994,1,0,1,0,,selavy-image.i.RACS_1939+32.SB60326.cont.taylor.0.restored.conv.components.xml
9427,SB55735_island_1670,SB55735_component_1670a,J192054+333138,19:20:54.4,+33:31:38,290.226714,33.527377,0.94,2.08,943.5,4.306,0.836,4.217,1.459,21.1,13.54,175.52,4.91,2.19,0.25,7.78,0.0,72.36,7.5,0.0,360.0,0.068,49.112,-99.0,-99.0,0.0,0.0,0.835,0,0,1,0,,selavy-image.i.RACS_1939+32.SB55735.cont.taylor.0.restored.conv.components.xml
9083,SB55735_island_1362,SB55735_component_1362a,J192054+335833,19:20:54.9,+33:58:33,290.228581,33.97605,0.85,1.91,943.5,5.725,0.989,5.938,1.755,26.75,11.32,178.36,4.5,2.01,0.13,11.27,0.0,29.45,10.33,0.0,360.0,0.142,62.738,-99.0,-99.0,0.0,0.0,1.036,0,0,1,0,,selavy-image.i.RACS_1939+32.SB55735.cont.taylor.0.restored.conv.components.xml
