,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4259,SB55733_island_1023,SB55733_component_1023a,J185146+382647,18:51:46.8,+38:26:47,282.944904,38.446496,0.47,1.07,943.5,7.595,0.583,9.184,1.15,32.33,13.01,167.17,2.59,0.96,0.05,11.84,3.71,-37.79,8.08,5.03,360.0,3.661,239.165,-99.0,-99.0,0.0,0.0,0.746,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
3592,SB55733_island_460,SB55733_component_460a,J185153+382629,18:51:53.1,+38:26:29,282.97107,38.441391,0.23,0.6,943.5,21.155,0.945,22.608,1.713,30.62,12.14,173.62,1.41,0.53,0.03,7.34,0.0,40.59,2.59,0.0,360.0,18.164,376.709,-99.0,-99.0,0.0,0.0,1.029,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
4000,SB55733_island_799,SB55733_component_799a,J185223+385906,18:52:23.2,+38:59:06,283.096532,38.985196,2.78,7.13,943.5,10.516,5.659,11.102,10.191,29.48,12.45,173.53,16.89,6.29,0.37,6.28,0.0,61.36,22.83,0.0,360.0,0.03,22.181,-99.0,-99.0,0.0,0.0,6.076,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
4988,SB55733_island_1683,SB55733_component_1683a,J185225+382019,18:52:25.5,+38:20:19,283.106197,38.338674,0.97,2.58,943.5,3.916,0.801,3.725,1.351,27.0,12.25,177.63,6.07,2.28,0.15,6.91,0.0,65.46,7.09,0.0,360.0,0.193,77.75,-99.0,-99.0,0.0,0.0,0.759,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
3570,SB55733_island_445,SB55733_component_445a,J185226+381929,18:52:26.4,+38:19:29,283.110095,38.324851,0.12,0.31,943.5,19.549,0.353,33.967,0.899,40.67,14.85,5.63,0.72,0.27,0.01,28.78,0.0,19.82,1.41,0.0,167.93,2139.311,2657.147,-99.0,-99.0,0.0,0.0,0.744,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
5002,SB55733_island_1697,SB55733_component_1697a,J185227+365308,18:52:27.5,+36:53:08,283.114759,36.885571,0.96,2.14,943.5,3.955,0.629,4.538,1.197,34.6,11.53,166.37,5.17,1.95,0.09,16.84,0.0,-25.4,15.07,0.0,360.0,0.129,54.713,-99.0,-99.0,0.0,0.0,0.751,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
4186,SB55733_island_960,SB55733_component_960a,J185230+362429,18:52:30.9,+36:24:29,283.128884,36.408101,0.26,0.68,943.5,8.457,0.403,10.195,0.793,32.03,13.09,172.61,1.6,0.59,0.03,10.37,5.4,14.85,6.0,2.68,360.0,3.31,202.153,-99.0,-99.0,0.0,0.0,0.513,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
3728,SB55733_island_572,SB55733_component_572a,J185231+375818,18:52:31.0,+37:58:18,283.128969,37.971771,0.26,0.65,943.5,16.264,0.762,18.84,1.457,33.19,12.13,172.55,1.54,0.58,0.03,13.3,3.46,2.01,5.55,7.2,153.39,11.387,295.965,-99.0,-99.0,0.0,0.0,0.919,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
3688,SB55733_island_542,SB55733_component_542a,J185235+385457,18:52:35.0,+38:54:57,283.145686,38.916008,0.26,0.68,943.5,17.183,0.823,20.839,1.625,34.4,12.26,175.16,1.6,0.6,0.03,16.53,0.2,8.85,4.64,116.71,246.59,138.173,979.558,-99.0,-99.0,0.0,0.0,1.055,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
4337,SB55733_island_1092,SB55733_component_1092a,J185236+385627,18:52:36.0,+38:56:27,283.14997,38.940958,0.42,1.06,943.5,6.959,0.406,14.028,1.157,44.65,15.7,5.82,2.5,0.95,0.03,33.99,4.92,16.3,4.72,10.78,360.0,3.849,197.176,-99.0,-99.0,0.0,0.0,1.069,0,0,1,0,,selavy-image.i.RACS_1912+37.SB55733.cont.taylor.0.restored.conv.components.xml
