,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5532,SB57250_island_1482,SB57250_component_1482a,J224529-621802,22:45:29.0,-62:18:02,341.370877,-62.300747,0.73,0.75,943.5,4.288,0.363,11.793,1.529,35.49,11.83,52.36,1.63,1.85,0.08,32.86,2.2,54.0,2.65,19.83,115.38,0.596,128.63,-99.0,-99.0,0.0,0.0,1.716,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
4340,SB57250_island_496,SB57250_component_496a,J224539-620207,22:45:39.4,-62:02:07,341.414156,-62.03537,0.67,0.82,943.5,16.629,2.275,17.667,4.103,14.52,11.17,18.56,1.97,1.54,0.37,4.65,0.0,-11.3,6.19,0.0,286.44,0.834,123.17,-99.0,-99.0,0.0,0.0,2.455,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
5847,SB57250_island_1763,SB57250_component_1763a,J224650-622302,22:46:50.7,-62:23:02,341.711259,-62.384027,0.27,0.22,943.5,3.184,0.071,14.004,0.375,30.0,22.37,90.91,0.64,0.51,0.05,27.74,17.78,-85.34,1.06,1.1,27.39,8.088,467.53,-99.0,-99.0,0.0,0.0,0.656,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
5436,SB57250_island_1402,SB57250_component_1402a,J224653-615135,22:46:53.2,-61:51:35,341.721606,-61.859885,0.77,0.93,943.5,4.978,0.809,4.866,1.398,15.96,9.35,159.91,2.25,1.75,0.24,10.34,0.0,-32.29,4.94,0.0,348.54,0.242,110.035,-99.0,-99.0,0.0,0.0,0.798,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
4295,SB57250_island_455,SB57250_component_455a,J224706-622739,22:47:06.6,-62:27:39,341.777705,-62.460905,0.13,0.14,943.5,18.132,0.382,26.286,0.861,18.7,11.83,41.66,0.35,0.28,0.04,12.73,3.57,49.51,0.76,1.61,115.91,40.647,675.803,-99.0,-99.0,0.0,0.0,0.628,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
4904,SB57250_island_951,SB57250_component_951a,J224709-601545,22:47:09.0,-60:15:45,341.787478,-60.262633,0.53,0.6,943.5,8.035,0.844,8.209,1.484,13.5,11.55,31.29,1.49,1.16,0.45,3.96,0.0,-72.82,5.04,0.0,126.63,1.904,243.919,-99.0,-99.0,0.0,0.0,0.868,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
5057,SB57250_island_1077,SB57250_component_1077a,J224714-604915,22:47:14.0,-60:49:15,341.808448,-60.821045,0.4,0.38,943.5,6.575,0.385,10.325,0.913,16.76,14.3,51.68,1.04,0.79,0.25,10.9,7.2,84.07,1.48,1.47,175.76,6.223,363.861,-99.0,-99.0,0.0,0.0,0.704,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
4806,SB57250_island_868,SB57250_component_868a,J224738-610723,22:47:38.2,-61:07:23,341.909011,-61.123249,0.45,0.45,943.5,8.784,0.72,9.379,1.303,14.3,11.4,45.41,1.19,0.92,0.25,5.93,0.0,82.04,2.29,0.0,182.08,2.396,254.473,-99.0,-99.0,0.0,0.0,0.782,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
5610,SB57250_island_1547,SB57250_component_1547a,J224738-623903,22:47:38.2,-62:39:03,341.909012,-62.650987,0.39,0.42,943.5,4.009,0.215,8.283,0.657,25.72,12.26,2.38,0.99,0.91,0.07,21.9,4.18,-1.13,1.76,5.01,31.7,12.063,501.311,-99.0,-99.0,0.0,0.0,0.61,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
3741,SB57250_island_62,SB57250_component_62a,J224739-601143,22:47:39.9,-60:11:43,341.916052,-60.195371,0.03,0.04,943.5,123.504,0.743,138.703,1.393,14.34,11.95,30.49,0.09,0.07,0.02,5.1,2.77,-80.7,0.21,0.58,9.96,107.274,922.704,-1.04,-99.0,0.0,0.0,0.862,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
6030,SB57250_island_1921,SB57250_component_1921a,J224750-622201,22:47:50.6,-62:22:01,341.960729,-62.367092,0.67,0.69,943.5,3.12,0.337,4.406,0.739,16.72,12.89,41.18,1.79,1.4,0.29,9.8,5.9,61.09,3.91,4.11,360.0,1.083,204.079,-99.0,-99.0,0.0,0.0,0.53,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
4787,SB57250_island_850,SB57250_component_850a,J224751-612639,22:47:51.2,-61:26:39,341.963327,-61.444174,0.37,0.41,943.5,8.986,0.599,11.088,1.198,16.14,11.67,32.97,1.03,0.81,0.15,8.2,3.8,43.45,2.95,4.04,360.0,2.061,213.994,-99.0,-99.0,0.0,0.0,0.786,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
4401,SB57250_island_542,SB57250_component_542a,J224804-601911,22:48:04.7,-60:19:11,342.019595,-60.319754,0.15,0.17,943.5,14.789,0.366,22.15,0.837,17.31,13.2,26.6,0.42,0.33,0.06,10.18,7.45,27.74,1.1,1.01,5.94,66.81,650.266,-99.0,-99.0,0.0,0.0,0.625,1,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
4402,SB57250_island_542,SB57250_component_542b,J224805-601849,22:48:05.9,-60:18:49,342.024702,-60.313825,0.19,0.23,943.5,10.51,0.327,17.032,0.793,17.5,14.13,159.49,0.56,0.43,0.1,12.76,5.32,-38.0,1.02,1.62,249.49,66.81,650.266,-99.0,-99.0,0.0,0.0,0.625,1,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
4252,SB57250_island_420,SB57250_component_420a,J224807-624326,22:48:07.8,-62:43:26,342.032587,-62.724058,0.13,0.15,943.5,19.719,0.453,24.814,0.918,16.27,11.8,25.4,0.36,0.28,0.05,8.29,4.52,24.61,1.08,1.28,3.04,27.435,543.142,-99.0,-99.0,0.0,0.0,0.61,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
4378,SB57250_island_525,SB57250_component_525a,J224809-612846,22:48:09.6,-61:28:46,342.040063,-61.479653,0.18,0.23,943.5,15.757,0.531,20.946,1.118,15.84,12.81,2.73,0.55,0.42,0.11,9.09,4.18,-26.74,0.97,1.32,134.62,9.589,372.791,-99.0,-99.0,0.0,0.0,0.77,0,0,1,0,,selavy-image.i.RACS_2318-60.SB57250.cont.taylor.0.restored.conv.components.xml
