,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4299,SB58245_island_665,SB58245_component_665a,J164619-865718,16:46:19.4,-86:57:18,251.58065,-86.955032,0.4,0.51,943.5,15.345,0.796,14.87,1.352,25.41,15.61,152.38,1.27,0.84,0.08,9.0,0.0,-56.2,3.73,0.0,360.0,6.669,230.973,-99.0,-99.0,0.0,0.0,0.767,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
4111,SB58245_island_503,SB58245_component_503a,J164729-865021,16:47:29.2,-86:50:21,251.87171,-86.839209,0.25,0.26,943.5,21.107,0.498,30.477,1.111,28.83,20.5,135.87,0.71,0.46,0.05,19.02,1.45,-70.3,1.19,7.45,211.2,130.818,739.835,-99.0,-99.0,0.0,0.0,0.808,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
4860,SB58245_island_1151,SB58245_component_1151a,J164736-865329,16:47:36.2,-86:53:29,251.9008,-86.891566,0.71,0.85,943.5,8.018,0.645,9.638,1.299,32.92,14.94,149.34,2.15,1.48,0.08,22.42,0.0,-38.95,4.62,0.0,360.0,5.132,226.549,-99.0,-99.0,0.0,0.0,0.839,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5279,SB58245_island_1529,SB58245_component_1529b,J164839-864650,16:48:39.8,-86:46:50,252.165773,-86.78078,0.72,0.81,943.5,4.673,0.294,9.197,0.89,47.18,17.07,150.95,1.99,1.6,0.06,40.4,0.0,-31.68,3.49,0.0,187.35,7.625,209.946,-99.0,-99.0,0.0,0.0,0.793,1,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5278,SB58245_island_1529,SB58245_component_1529a,J164850-864613,16:48:50.9,-86:46:13,252.212165,-86.770374,1.36,1.57,943.5,4.739,0.774,4.81,1.361,27.34,15.19,146.07,4.08,2.72,0.2,14.18,0.0,-53.94,9.98,0.0,360.0,7.625,209.946,-99.0,-99.0,0.0,0.0,0.793,1,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5428,SB58245_island_1671,SB58245_component_1671a,J164918-871137,16:49:18.0,-87:11:37,252.324924,-87.193832,1.44,1.86,943.5,4.898,0.937,4.623,1.563,23.66,16.33,155.62,4.61,3.07,0.35,4.65,0.0,-79.28,9.81,0.0,360.0,0.294,81.731,-99.0,-99.0,0.0,0.0,0.873,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
3668,SB58245_island_157,SB58245_component_157a,J165113-870306,16:51:13.7,-87:03:06,252.807204,-87.0519,0.09,0.1,943.5,67.554,0.604,97.878,1.369,26.28,22.56,139.18,0.27,0.17,0.04,16.97,4.92,89.69,0.21,1.0,74.07,1652.82,2136.774,-0.2,-99.0,0.0,0.0,0.997,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5488,SB58245_island_1729,SB58245_component_1729a,J165344-870034,16:53:44.6,-87:00:34,253.435651,-87.009689,1.39,1.59,943.5,4.789,0.813,4.632,1.38,25.94,15.26,145.44,4.14,2.75,0.23,11.89,0.0,-60.15,10.19,0.0,360.0,0.826,128.513,-99.0,-99.0,0.0,0.0,0.782,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
4187,SB58245_island_567,SB58245_component_567a,J165453-870916,16:54:53.3,-87:09:16,253.721975,-87.154501,0.35,0.42,943.5,18.443,0.769,19.76,1.395,25.49,17.2,150.31,1.07,0.71,0.07,10.56,0.0,-65.95,2.08,0.0,360.0,44.767,524.066,-99.0,-99.0,0.0,0.0,0.839,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
3933,SB58245_island_363,SB58245_component_363a,J165514-865654,16:55:14.3,-86:56:54,253.809464,-86.948461,0.12,0.16,943.5,29.814,0.354,52.087,0.906,32.23,22.18,159.28,0.39,0.26,0.02,20.72,14.63,-28.17,0.9,0.7,58.91,527.609,1219.108,-99.0,-99.0,0.0,0.0,0.753,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
4544,SB58245_island_869,SB58245_component_869a,J165733-864627,16:57:33.7,-86:46:27,254.390276,-86.774428,0.34,0.51,943.5,11.202,0.457,15.663,1.002,27.23,21.01,174.12,1.21,0.79,0.1,14.44,9.34,44.09,1.07,2.45,360.0,37.515,353.623,-99.0,-99.0,0.0,0.0,0.713,1,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
4658,SB58245_island_968,SB58245_component_968a,J165807-862131,16:58:07.1,-86:21:31,254.529536,-86.358821,0.49,0.64,943.5,9.618,0.487,15.383,1.181,35.09,18.65,160.91,1.55,1.08,0.06,24.86,8.6,-20.99,3.3,4.72,48.76,35.257,503.638,-99.0,-99.0,0.0,0.0,0.921,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
4545,SB58245_island_869,SB58245_component_869b,J165808-864626,16:58:08.7,-86:46:26,254.536204,-86.773893,0.62,0.89,943.5,6.25,0.449,8.882,0.99,28.71,20.26,167.05,2.13,1.41,0.14,14.65,11.51,0.54,5.87,4.02,281.08,37.515,353.623,-99.0,-99.0,0.0,0.0,0.713,1,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5943,SB58245_island_2148,SB58245_component_2148a,J165914-864117,16:59:14.5,-86:41:17,254.810602,-86.688085,0.81,1.03,943.5,3.659,0.296,6.216,0.775,40.51,17.16,162.09,2.47,1.85,0.08,32.04,4.66,-18.54,4.71,14.79,33.92,1.049,113.124,-99.0,-99.0,0.0,0.0,0.627,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
3856,SB58245_island_300,SB58245_component_300a,J165920-860213,16:59:20.9,-86:02:13,254.837239,-86.036966,0.48,0.73,943.5,35.96,1.828,66.267,4.869,32.58,23.14,174.39,1.73,1.13,0.1,21.79,15.34,9.76,3.54,2.66,308.61,26.164,285.05,-99.0,-99.0,0.0,0.0,4.208,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5327,SB58245_island_1576,SB58245_component_1576a,J170020-872953,17:00:20.0,-87:29:53,255.083478,-87.498302,1.3,1.19,943.5,5.131,0.622,6.8,1.316,31.56,17.18,127.94,3.41,2.34,0.15,23.26,0.0,-66.42,6.41,0.0,360.0,2.395,190.494,-99.0,-99.0,0.0,0.0,0.904,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5824,SB58245_island_2034,SB58245_component_2034a,J170237-864408,17:02:37.1,-86:44:08,255.65474,-86.735614,0.96,0.67,943.5,3.59,0.237,7.083,0.664,35.41,22.8,101.64,2.29,1.54,0.1,30.47,0.0,-86.81,3.91,0.0,237.16,9.986,325.939,-99.0,-99.0,0.0,0.0,0.604,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5677,SB58245_island_1903,SB58245_component_1903a,J170238-864456,17:02:38.3,-86:44:56,255.65947,-86.748907,0.97,0.73,943.5,4.094,0.297,7.059,0.755,30.72,22.97,114.31,2.4,1.55,0.16,24.12,1.45,-83.54,4.03,35.75,360.0,5.555,228.921,-99.0,-99.0,0.0,0.0,0.621,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
4924,SB58245_island_1208,SB58245_component_1208a,J170425-861235,17:04:25.9,-86:12:35,256.108061,-86.20975,0.79,0.89,943.5,7.358,0.65,8.292,1.224,27.86,16.55,143.91,2.32,1.55,0.12,15.64,0.0,-57.37,5.12,0.0,360.0,13.739,378.302,-99.0,-99.0,0.0,0.0,0.759,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
3518,SB58245_island_52,SB58245_component_52b,J170427-872252,17:04:27.1,-87:22:52,256.112906,-87.381123,0.21,0.21,943.5,4.915,0.049,29.593,0.354,78.11,31.55,151.01,0.5,0.48,0.01,74.19,26.54,-29.89,0.8,1.13,29.23,1095.489,1523.467,-99.0,-99.0,0.0,0.0,0.803,1,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
3517,SB58245_island_52,SB58245_component_52a,J170451-872245,17:04:51.2,-87:22:45,256.213541,-87.379286,0.04,0.04,943.5,163.961,0.656,191.883,1.265,25.65,18.67,147.94,0.11,0.07,0.01,12.28,0.0,-74.14,0.14,0.0,32.87,1095.489,1523.467,-0.76,-99.0,0.0,0.0,0.803,1,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5300,SB58245_island_1550,SB58245_component_1550a,J170525-861545,17:05:25.4,-86:15:45,256.355704,-86.262645,0.61,0.74,943.5,5.163,0.307,8.78,0.811,41.37,16.82,156.81,1.81,1.36,0.06,33.22,1.93,-25.39,3.39,26.18,89.2,27.521,514.422,-99.0,-99.0,0.0,0.0,0.656,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
6467,SB58245_island_2635,SB58245_component_2635a,J170620-863131,17:06:20.6,-86:31:31,256.585632,-86.525369,1.4,1.75,943.5,2.627,0.445,2.878,0.825,28.88,15.52,152.73,4.37,2.94,0.2,15.71,0.0,-39.91,11.35,0.0,360.0,0.16,63.194,-99.0,-99.0,0.0,0.0,0.503,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
5221,SB58245_island_1477,SB58245_component_1477a,J170639-870758,17:06:39.2,-87:07:58,256.663214,-87.133054,0.71,0.69,943.5,5.777,0.365,8.615,0.849,25.88,23.58,133.37,1.97,1.23,0.4,17.93,4.12,83.48,1.44,8.63,360.0,4.353,188.887,-99.0,-99.0,0.0,0.0,0.63,0,0,1,0,,selavy-image.i.RACS_1933-84.SB58245.cont.taylor.0.restored.conv.components.xml
