,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4967,SB56760_island_1256,SB56760_component_1256a,J024907-143222,02:49:07.4,-14:32:22,42.280945,-14.539664,0.71,0.64,943.5,5.935,0.911,5.239,1.454,10.9,9.84,73.09,1.7,1.49,1.04,0.0,0.0,-20.6,0.0,0.0,37.29,0.267,129.154,-99.0,-99.0,0.0,0.0,0.782,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
3875,SB56760_island_345,SB56760_component_345b,J024907-144007,02:49:07.9,-14:40:07,42.282822,-14.668637,0.12,0.11,943.5,10.071,0.201,15.13,0.462,15.3,11.93,117.99,0.29,0.25,0.06,10.72,4.03,-52.21,0.6,1.19,65.76,178.838,1298.905,-99.0,-99.0,0.0,0.0,0.345,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
3874,SB56760_island_345,SB56760_component_345a,J024908-144020,02:49:08.8,-14:40:20,42.286745,-14.672422,0.05,0.05,943.5,26.859,0.275,32.024,0.538,13.2,10.98,55.57,0.13,0.12,0.04,6.36,3.01,38.23,0.37,0.59,47.98,178.838,1298.905,-2.03,-99.0,0.0,0.0,0.345,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
3382,SB56760_island_15,SB56760_component_15b,J024916-123535,02:49:16.3,-12:35:35,42.318099,-12.593165,0.02,0.01,943.5,232.41,0.716,264.698,1.355,12.82,10.8,74.36,0.04,0.03,0.01,5.03,3.21,79.96,0.15,0.18,1.17,203.564,1138.678,-1.83,-99.0,0.0,0.0,0.846,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
3381,SB56760_island_15,SB56760_component_15a,J024917-123527,02:49:17.0,-12:35:27,42.320735,-12.590937,0.01,0.01,943.5,296.568,0.736,330.739,1.372,12.67,10.7,75.51,0.03,0.03,0.01,4.65,2.82,84.5,0.13,0.16,1.41,203.564,1138.678,-1.48,-99.0,0.0,0.0,0.846,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
4853,SB56760_island_1151,SB56760_component_1151a,J024917-123507,02:49:17.7,-12:35:07,42.323822,-12.585339,0.68,0.6,943.5,6.591,0.923,6.312,1.553,11.55,10.08,76.21,1.62,1.41,0.72,0.0,0.0,-53.31,0.0,0.0,360.0,0.099,90.683,-99.0,-99.0,0.0,0.0,0.874,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
4405,SB56760_island_770,SB56760_component_770a,J024919-141627,02:49:19.4,-14:16:27,42.33096,-14.274192,0.31,0.28,943.5,10.798,0.62,12.85,1.215,14.08,10.27,70.71,0.73,0.65,0.14,7.69,0.0,70.08,2.06,0.0,4.22,1.689,210.807,-99.0,-99.0,0.0,0.0,0.78,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
4280,SB56760_island_659,SB56760_component_659b,J024924-161417,02:49:24.7,-16:14:17,42.35283,-16.238086,0.21,0.22,943.5,6.336,0.168,19.414,0.679,24.56,15.17,112.88,0.5,0.52,0.05,21.88,10.43,-64.57,0.86,1.28,19.4,13.446,388.682,-99.0,-99.0,0.0,0.0,0.865,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
4237,SB56760_island_624,SB56760_component_624a,J024926-141830,02:49:26.0,-14:18:30,42.358261,-14.308412,0.21,0.2,943.5,13.824,0.549,17.081,1.118,15.34,9.79,64.87,0.51,0.46,0.07,9.83,0.0,62.73,1.22,0.0,11.01,17.045,572.529,-99.0,-99.0,0.0,0.0,0.734,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
4279,SB56760_island_659,SB56760_component_659a,J024926-161414,02:49:26.1,-16:14:14,42.358629,-16.23725,0.32,0.28,943.5,12.257,0.738,13.815,1.394,13.79,9.93,105.28,0.75,0.66,0.14,7.99,0.0,-64.11,1.89,0.0,65.78,13.446,388.682,-99.0,-99.0,0.0,0.0,0.865,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
5338,SB56760_island_1580,SB56760_component_1580a,J024939-124538,02:49:39.8,-12:45:38,42.415732,-12.760751,0.71,0.64,943.5,4.462,0.599,5.127,1.139,12.67,11.03,68.89,1.7,1.48,0.68,4.66,3.86,53.89,6.43,6.13,360.0,0.364,138.436,-99.0,-99.0,0.0,0.0,0.715,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
4246,SB56760_island_633,SB56760_component_633a,J024947-131616,02:49:47.6,-13:16:16,42.448294,-13.271325,0.24,0.22,943.5,13.208,0.544,18.384,1.181,13.98,12.1,69.74,0.57,0.5,0.2,7.51,6.33,65.46,1.64,1.55,21.07,5.489,315.92,-99.0,-99.0,0.0,0.0,0.839,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
5279,SB56760_island_1527,SB56760_component_1527a,J024948-131655,02:49:48.6,-13:16:55,42.452629,-13.282093,0.47,0.46,943.5,4.614,0.333,8.664,0.952,20.96,10.89,148.6,1.08,1.1,0.1,18.21,0.0,-30.19,1.89,0.0,22.66,0.5,144.321,-99.0,-99.0,0.0,0.0,0.825,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
3386,SB56760_island_17,SB56760_component_17a,J024951-160003,02:49:51.6,-16:00:03,42.464805,-16.000955,0.01,0.01,943.5,292.19,0.644,338.029,1.232,13.12,10.72,61.54,0.03,0.02,0.01,5.93,2.54,49.54,0.09,0.16,10.66,297.203,1215.986,-1.36,-99.0,0.0,0.0,0.777,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
3387,SB56760_island_17,SB56760_component_17b,J024952-155945,02:49:52.0,-15:59:45,42.466873,-15.995907,0.06,0.05,943.5,58.109,0.58,72.75,1.172,13.64,11.15,79.32,0.13,0.12,0.04,6.93,4.14,87.35,0.39,0.5,5.64,297.203,1215.986,-1.14,-99.0,0.0,0.0,0.777,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
5378,SB56760_island_1620,SB56760_component_1620a,J024957-144024,02:49:57.3,-14:40:24,42.488762,-14.673393,0.55,0.51,943.5,4.368,0.441,5.567,0.908,14.72,10.53,114.06,1.33,1.19,0.23,9.74,0.0,-57.02,2.97,0.0,160.21,0.49,142.886,-99.0,-99.0,0.0,0.0,0.608,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
3893,SB56760_island_360,SB56760_component_360a,J024958-140540,02:49:58.1,-14:05:40,42.491934,-14.094714,0.12,0.1,943.5,25.583,0.558,28.907,1.051,13.24,10.37,80.06,0.27,0.24,0.07,6.1,0.52,87.4,0.89,7.74,10.24,9.007,375.137,-99.0,-99.0,0.0,0.0,0.653,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
5552,SB56760_island_1779,SB56760_component_1779a,J024958-122500,02:49:58.2,-12:25:00,42.492418,-12.416622,0.55,0.53,943.5,3.82,0.344,6.227,0.861,18.11,10.94,107.21,1.3,1.24,0.15,14.18,1.14,-68.28,2.51,20.34,54.14,0.598,164.853,-99.0,-99.0,0.0,0.0,0.679,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
5287,SB56760_island_1535,SB56760_component_1535a,J025001-144908,02:50:01.3,-14:49:08,42.505342,-14.819085,0.5,0.48,943.5,4.412,0.376,6.703,0.897,17.74,10.41,81.94,1.19,1.13,0.14,13.29,1.0,83.8,2.42,20.37,15.44,4.316,407.411,-99.0,-99.0,0.0,0.0,0.673,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
3585,SB56760_island_137,SB56760_component_137a,J025003-123737,02:50:03.3,-12:37:37,42.513688,-12.627221,0.03,0.03,943.5,66.771,0.365,97.851,0.822,14.27,12.48,112.33,0.08,0.07,0.03,9.16,5.49,-48.95,0.16,0.21,56.81,414.703,1721.093,-1.32,-99.0,0.0,0.0,0.604,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
4413,SB56760_island_777,SB56760_component_777a,J025005-140333,02:50:05.1,-14:03:33,42.521158,-14.059369,0.17,0.16,943.5,10.256,0.263,19.862,0.727,17.06,13.8,114.95,0.42,0.37,0.09,13.04,8.13,-55.77,0.81,0.99,69.65,28.882,608.505,-99.0,-99.0,0.0,0.0,0.651,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
4414,SB56760_island_777,SB56760_component_777b,J025005-140317,02:50:05.5,-14:03:17,42.522736,-14.054872,2.36,2.52,943.5,2.386,2.171,0.726,1.839,8.34,4.43,39.74,6.75,4.54,1.07,0.0,0.0,19.67,0.0,0.0,360.0,28.882,608.505,-99.0,-99.0,0.0,0.0,0.651,1,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
4498,SB56760_island_843,SB56760_component_843a,J025006-125849,02:50:06.6,-12:58:49,42.527512,-12.980309,0.25,0.22,943.5,9.738,0.421,12.925,0.885,13.71,11.77,72.33,0.59,0.51,0.2,6.98,5.69,73.32,1.78,1.74,4.25,4.854,314.744,-99.0,-99.0,0.0,0.0,0.609,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
3457,SB56760_island_57,SB56760_component_57a,J025006-142347,02:50:06.8,-14:23:47,42.528338,-14.396463,0.02,0.02,943.5,157.26,0.535,168.634,0.971,12.46,10.46,72.48,0.04,0.04,0.01,4.02,1.8,74.11,0.2,0.35,0.41,209.45,1426.005,-0.44,-99.0,0.0,0.0,0.584,0,0,1,0,,selavy-image.i.RACS_0305-14.SB56760.cont.taylor.0.restored.conv.components.xml
