,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
6648,SB55770_island_648,SB55770_component_648a,J050547+291012,05:05:47.2,+29:10:12,76.446611,29.170175,0.04,0.07,943.5,14.57,0.103,17.117,0.2,23.69,12.33,165.96,0.17,0.09,0.01,9.63,3.88,-29.78,0.56,0.52,38.88,347.185,2123.416,-1.65,-99.0,0.0,0.0,0.127,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
6959,SB55770_island_916,SB55770_component_916a,J050604+292300,05:06:04.7,+29:23:00,76.51979,29.383419,0.38,0.48,943.5,8.764,0.324,19.47,1.047,25.34,21.79,144.73,1.32,0.57,0.12,19.74,11.04,-86.57,0.66,2.19,321.06,63.935,816.079,-99.0,-99.0,0.0,0.0,1.027,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
7438,SB55770_island_1357,SB55770_component_1357a,J050621+283844,05:06:21.6,+28:38:44,76.590202,28.64572,0.62,1.19,943.5,5.918,0.688,7.12,1.358,21.8,13.71,3.61,2.8,1.44,0.15,10.58,0.0,51.36,2.58,0.0,360.0,0.258,94.305,-99.0,-99.0,0.0,0.0,0.877,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
7397,SB55770_island_1317,SB55770_component_1317a,J050623+283836,05:06:23.5,+28:38:36,76.598094,28.643573,0.46,0.85,943.5,5.826,0.369,11.658,1.065,26.57,18.72,165.35,2.05,0.97,0.1,15.82,14.17,-51.8,2.67,1.33,360.0,6.181,383.618,-99.0,-99.0,0.0,0.0,0.974,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
6324,SB55770_island_388,SB55770_component_388a,J050624+272908,05:06:24.7,+27:29:08,76.603009,27.485675,0.16,0.29,943.5,26.111,0.8,27.667,1.444,21.32,12.35,170.2,0.69,0.36,0.04,4.82,0.0,73.42,1.98,0.0,39.42,18.579,416.694,-99.0,-99.0,0.0,0.0,0.863,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
6936,SB55770_island_895,SB55770_component_895a,J050625+273406,05:06:25.6,+27:34:06,76.606646,27.56855,0.34,0.64,943.5,9.69,0.584,12.748,1.221,24.51,13.34,173.28,1.51,0.79,0.06,11.55,6.32,8.53,4.38,3.1,187.47,7.22,296.728,-99.0,-99.0,0.0,0.0,0.835,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
6275,SB55770_island_347,SB55770_component_347a,J050627+272638,05:06:27.0,+27:26:38,76.612441,27.444149,0.13,0.23,943.5,30.113,0.739,32.032,1.337,21.2,12.47,171.69,0.55,0.29,0.03,5.36,0.0,66.99,1.23,0.0,79.44,19.367,406.853,-99.0,-99.0,0.0,0.0,0.801,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
7748,SB55770_island_1630,SB55770_component_1630a,J050637+285243,05:06:37.5,+28:52:43,76.656146,28.878665,0.48,0.95,943.5,4.632,0.336,8.913,0.929,28.15,16.99,177.09,2.25,1.12,0.09,18.3,11.86,11.28,4.78,3.0,311.88,1.141,151.086,-99.0,-99.0,0.0,0.0,0.828,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
7492,SB55770_island_1404,SB55770_component_1404a,J050638+293629,05:06:38.5,+29:36:29,76.660287,29.608288,0.8,1.41,943.5,5.64,0.853,5.962,1.534,22.23,11.82,166.97,3.39,1.77,0.16,5.43,0.0,-47.95,11.75,0.0,360.0,0.181,69.905,-99.0,-99.0,0.0,0.0,0.915,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
7437,SB55770_island_1356,SB55770_component_1356a,J050642+274609,05:06:42.0,+27:46:09,76.675109,27.76927,0.46,0.88,943.5,5.65,0.393,10.445,1.048,29.11,15.78,2.6,2.07,1.07,0.07,20.24,9.04,16.63,4.13,3.64,323.28,5.03,299.708,-99.0,-99.0,0.0,0.0,0.909,0,0,1,0,,selavy-image.i.RACS_0524+28.SB55770.cont.taylor.0.restored.conv.components.xml
