,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4787,SB56736_island_1019,SB56736_component_1019a,J110823-234908,11:08:23.5,-23:49:08,167.098089,-23.819078,0.38,0.36,943.5,8.479,0.669,8.802,1.191,12.68,9.69,60.68,0.93,0.82,0.22,5.21,0.0,54.68,3.43,0.0,82.05,1.323,217.355,-99.0,-99.0,0.0,0.0,0.703,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
4979,SB56736_island_1177,SB56736_component_1177a,J110825-232645,11:08:25.7,-23:26:45,167.107068,-23.446014,0.14,0.12,943.5,7.083,0.181,8.578,0.357,12.77,11.22,88.03,0.33,0.29,0.14,6.08,3.65,-64.34,0.73,0.95,63.53,44.768,1287.655,-99.0,-99.0,0.0,0.0,0.232,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
4708,SB56736_island_954,SB56736_component_954a,J110834-232352,11:08:34.3,-23:23:52,167.142728,-23.397903,0.3,0.3,943.5,8.811,0.508,11.182,1.034,13.26,11.32,40.23,0.75,0.66,0.26,7.25,3.59,20.4,1.77,2.76,96.48,4.938,392.836,-99.0,-99.0,0.0,0.0,0.691,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
4925,SB56736_island_1134,SB56736_component_1134a,J110841-231923,11:08:41.3,-23:19:23,167.172178,-23.323245,0.35,0.32,943.5,7.159,0.431,10.142,0.954,15.12,11.08,84.98,0.82,0.74,0.15,9.88,3.93,-89.1,1.89,3.45,28.05,2.35,275.304,-99.0,-99.0,0.0,0.0,0.685,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
3872,SB56736_island_271,SB56736_component_271a,J110851-254509,11:08:51.1,-25:45:09,167.213044,-25.752535,0.14,0.15,943.5,35.182,0.862,58.313,2.123,14.88,13.18,142.8,0.37,0.32,0.14,10.77,6.36,-31.21,0.77,1.07,28.44,26.244,520.15,-99.0,-99.0,0.0,0.0,1.701,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
4579,SB56736_island_837,SB56736_component_837a,J110852-223119,11:08:52.0,-22:31:19,167.216551,-22.522138,0.15,0.13,943.5,10.787,0.32,11.411,0.576,11.91,10.51,78.39,0.35,0.31,0.17,3.52,1.17,-64.45,0.95,2.32,75.1,7.334,502.89,-99.0,-99.0,0.0,0.0,0.344,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
5503,SB56736_island_1648,SB56736_component_1648a,J110852-234253,11:08:52.7,-23:42:53,167.219469,-23.714956,0.7,0.65,943.5,4.498,0.654,4.494,1.152,13.59,8.7,64.88,1.69,1.48,0.26,7.1,0.0,63.58,4.93,0.0,19.57,0.142,91.337,-99.0,-99.0,0.0,0.0,0.666,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
4133,SB56736_island_480,SB56736_component_480a,J110853-254607,11:08:53.6,-25:46:07,167.223282,-25.768829,0.32,0.3,943.5,20.284,1.232,24.179,2.419,13.87,10.17,66.76,0.76,0.68,0.15,7.61,0.0,65.98,2.13,0.0,5.66,4.007,298.408,-99.0,-99.0,0.0,0.0,1.553,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
4427,SB56736_island_712,SB56736_component_712a,J110854-220608,11:08:54.0,-22:06:08,167.225029,-22.102333,0.22,0.22,943.5,12.978,0.492,20.087,1.175,16.83,10.88,50.1,0.53,0.5,0.07,12.33,3.3,46.43,1.1,2.78,248.48,6.095,332.894,-99.0,-99.0,0.0,0.0,0.895,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
5024,SB56736_island_1210,SB56736_component_1210a,J110855-245305,11:08:55.2,-24:53:05,167.230052,-24.884845,0.94,0.99,943.5,6.544,1.13,9.523,2.544,15.01,11.47,150.64,2.38,2.15,0.49,11.0,0.0,-27.5,5.0,0.0,46.78,0.6,158.174,-99.0,-99.0,0.0,0.0,1.861,0,0,1,0,,selavy-image.i.RACS_1125-23.SB56736.cont.taylor.0.restored.conv.components.xml
