,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5991,SB58086_island_55,SB58086_component_55a,J182319-530155,18:23:19.5,-53:01:55,275.831288,-53.032141,0.04,0.04,943.5,127.582,0.971,139.141,1.782,12.96,11.66,38.48,0.1,0.09,0.05,4.54,1.91,86.56,0.18,0.46,15.15,189.546,1236.364,-1.14,-99.0,0.0,0.0,1.083,0,0,1,0,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
6908,SB58086_island_725,SB58086_component_725a,J182326-532332,18:23:26.1,-53:23:32,275.858735,-53.392338,0.1,0.11,943.5,10.685,0.203,13.277,0.408,14.15,12.17,31.48,0.27,0.23,0.09,6.56,5.06,45.54,0.81,0.83,360.0,88.577,1418.841,-99.0,-99.0,0.0,0.0,0.269,0,0,1,0,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
7499,SB58086_island_1228,SB58086_component_1228a,J182334-525740,18:23:34.3,-52:57:40,275.892964,-52.961118,0.57,0.51,943.5,5.89,0.546,7.951,1.161,15.17,12.34,76.14,1.35,1.19,0.33,9.89,2.15,87.82,3.0,10.46,91.86,1.862,245.098,-99.0,-99.0,0.0,0.0,0.808,0,0,1,0,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
7366,SB58086_island_1115,SB58086_component_1115a,J182338-531704,18:23:38.7,-53:17:04,275.911424,-53.284701,0.53,0.55,943.5,6.55,0.682,7.001,1.236,13.32,11.12,39.02,1.36,1.18,0.41,4.91,0.0,59.29,4.68,0.0,278.51,2.141,271.707,-99.0,-99.0,0.0,0.0,0.742,0,0,1,0,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
5934,SB58086_island_17,SB58086_component_17d,J182342-533213,18:23:42.6,-53:32:13,275.927296,-53.537068,0.01,0.01,943.5,7.751,0.005,56.418,0.047,52.48,19.22,173.62,0.02,0.03,0.0,51.05,15.43,-6.79,0.02,0.06,0.35,2261.667,3658.23,0.49,-99.0,0.0,0.0,0.12,1,0,1,1,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
5931,SB58086_island_17,SB58086_component_17a,J182343-533206,18:23:43.0,-53:32:06,275.929015,-53.535095,0.0,0.0,943.5,193.762,0.089,245.181,0.18,13.98,12.54,20.68,0.01,0.01,0.0,6.29,5.79,-19.61,0.01,0.01,1.34,2261.667,3658.23,-1.43,-99.0,0.0,0.0,0.12,1,0,1,1,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
5932,SB58086_island_17,SB58086_component_17b,J182343-533201,18:23:43.1,-53:32:01,275.929429,-53.533657,0.01,0.01,943.5,54.911,0.123,53.608,0.211,13.3,10.17,28.87,0.03,0.02,0.01,4.3,0.0,32.68,0.13,0.0,1.31,2261.667,3658.23,0.62,-99.0,0.01,0.0,0.12,1,0,1,1,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
5933,SB58086_island_17,SB58086_component_17c,J182343-533206,18:23:43.8,-53:32:06,275.932479,-53.535013,0.04,0.04,943.5,12.497,0.086,15.959,0.179,16.47,10.75,122.26,0.1,0.09,0.01,12.24,0.0,-59.11,0.2,0.0,1.84,2261.667,3658.23,-0.72,-99.0,0.01,0.0,0.12,1,0,1,1,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
6184,SB58086_island_173,SB58086_component_173a,J182400-510932,18:24:00.1,-51:09:32,276.00054,-51.15906,0.08,0.08,943.5,45.17,0.691,50.584,1.292,13.28,11.69,42.75,0.2,0.18,0.08,5.32,2.21,76.73,0.45,0.84,32.47,35.727,637.173,-0.97,-99.0,0.0,0.0,0.798,0,0,1,0,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
8112,SB58086_island_1779,SB58086_component_1779a,J182402-514413,18:24:02.3,-51:44:13,276.00975,-51.737062,0.49,0.42,943.5,3.713,0.235,7.603,0.815,29.03,9.77,168.08,0.98,1.16,0.06,26.43,0.0,-13.33,1.63,0.0,17.67,0.559,155.86,-99.0,-99.0,0.0,0.0,0.733,0,0,1,0,,selavy-image.i.RACS_1849-51.SB58086.cont.taylor.0.restored.conv.components.xml
