,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4552,SB57918_island_1095,SB57918_component_1095b,J151700+193251,15:17:00.7,+19:32:51,229.253118,19.547677,1.13,1.25,943.5,3.892,0.879,2.814,1.241,16.14,8.84,142.46,3.32,2.19,0.27,2.93,0.0,-66.45,18.89,0.0,360.0,0.432,95.885,-99.0,-99.0,0.0,0.0,0.603,1,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
4743,SB57918_island_1265,SB57918_component_1265a,J151701+194319,15:17:01.6,+19:43:19,229.256738,19.722012,0.97,0.96,943.5,6.49,0.998,6.727,1.782,15.71,13.01,134.41,2.67,1.81,0.52,7.52,0.0,84.32,2.79,0.0,360.0,0.203,88.338,-99.0,-99.0,0.0,0.0,1.052,0,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
4551,SB57918_island_1095,SB57918_component_1095a,J151702+193248,15:17:02.0,+19:32:48,229.258541,19.546821,0.47,0.36,943.5,7.904,0.491,9.28,0.948,18.11,12.79,113.03,1.15,0.78,0.12,12.23,0.0,-87.89,2.12,0.0,141.16,0.432,95.885,-99.0,-99.0,0.0,0.0,0.603,1,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
3484,SB57918_island_217,SB57918_component_217a,J151703+194856,15:17:03.0,+19:48:56,229.262601,19.815611,0.11,0.13,943.5,49.788,0.935,55.404,1.743,17.09,12.84,146.51,0.34,0.23,0.04,7.14,0.0,-83.42,0.38,0.0,60.07,205.989,1304.754,-99.0,-99.0,0.0,0.0,1.073,0,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
4094,SB57918_island_703,SB57918_component_703a,J151707+200945,15:17:07.6,+20:09:45,229.281844,20.162601,0.37,0.43,943.5,13.249,0.803,15.243,1.529,18.12,12.52,145.92,1.11,0.75,0.11,8.37,0.0,-66.08,2.25,0.0,271.88,5.895,316.091,-99.0,-99.0,0.0,0.0,0.96,0,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
4176,SB57918_island_773,SB57918_component_773a,J151718+181755,15:17:18.3,+18:17:55,229.326271,18.298781,0.39,0.54,943.5,11.411,0.74,16.167,1.632,21.42,13.04,166.75,1.3,0.9,0.09,13.22,5.52,-5.48,3.11,3.9,75.76,15.964,495.584,-99.0,-99.0,0.0,0.0,1.173,0,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
3670,SB57918_island_360,SB57918_component_360a,J151718+200301,15:17:18.8,+20:03:01,229.328478,20.050381,0.08,0.1,943.5,24.041,0.207,72.249,0.808,32.33,18.33,30.68,0.24,0.18,0.01,29.29,10.0,36.43,0.4,0.62,52.81,1043.849,2098.672,-99.0,-99.0,0.0,0.0,1.021,0,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
4093,SB57918_island_702,SB57918_component_702a,J151720+180916,15:17:20.4,+18:09:16,229.335026,18.154494,0.3,0.31,943.5,12.973,0.503,20.886,1.214,20.91,15.18,139.45,0.84,0.57,0.08,13.73,7.45,-64.73,1.5,1.4,211.48,11.042,352.23,-99.0,-99.0,0.0,0.0,0.953,0,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
3971,SB57918_island_598,SB57918_component_598a,J151721+200338,15:17:21.1,+20:03:38,229.33809,20.060567,0.14,0.21,943.5,14.891,0.256,39.16,0.914,23.52,22.05,164.33,0.51,0.3,0.15,18.77,16.23,65.87,0.59,1.09,54.93,301.981,1365.312,-99.0,-99.0,0.0,0.0,1.031,0,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
4776,SB57918_island_1296,SB57918_component_1296a,J151729+202109,15:17:29.0,+20:21:09,229.370779,20.352761,0.92,1.31,943.5,6.321,1.267,5.336,1.984,13.71,12.15,176.06,3.1,2.16,1.04,4.15,0.0,64.33,8.08,0.0,360.0,0.147,85.696,-99.0,-99.0,0.0,0.0,1.044,0,0,1,0,,selavy-image.i.RACS_1533+18.SB57918.cont.taylor.0.restored.conv.components.xml
