,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5647,SB56576_island_1614,SB56576_component_1614a,J033240-141405,03:32:40.4,-14:14:05,53.168366,-14.234807,0.26,0.28,943.5,4.282,0.24,4.404,0.424,12.34,10.23,29.43,0.67,0.59,0.22,5.64,0.0,11.98,1.97,0.0,58.88,0.22,141.368,-99.0,-99.0,0.0,0.0,0.249,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
4366,SB56576_island_551,SB56576_component_551a,J033241-143328,03:32:41.3,-14:33:28,53.171953,-14.55792,0.11,0.1,943.5,16.199,0.34,17.02,0.611,12.91,9.99,69.61,0.25,0.22,0.06,5.24,0.0,68.03,0.96,0.0,2.93,24.675,766.491,-99.0,-99.0,0.0,0.0,0.363,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
4581,SB56576_island_716,SB56576_component_716a,J033245-142218,03:32:45.5,-14:22:18,53.189382,-14.37167,0.27,0.25,943.5,11.961,0.59,14.96,1.192,14.04,10.94,71.77,0.65,0.58,0.15,7.6,3.38,72.0,1.84,3.11,2.48,3.855,295.989,-99.0,-99.0,0.0,0.0,0.789,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
5056,SB56576_island_1101,SB56576_component_1101a,J033251-125836,03:32:51.7,-12:58:36,53.215327,-12.976881,0.19,0.18,943.5,6.878,0.212,11.233,0.52,16.46,12.17,77.86,0.46,0.42,0.08,11.5,6.29,80.0,1.0,1.35,6.79,15.885,664.267,-99.0,-99.0,0.0,0.0,0.412,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
5777,SB56576_island_1735,SB56576_component_1735a,J033253-142900,03:32:53.7,-14:29:00,53.223588,-14.48307,0.81,0.72,943.5,3.953,0.586,4.685,1.14,13.02,11.17,80.0,1.9,1.68,0.69,5.67,3.83,-84.24,6.02,7.01,152.17,0.054,61.85,-99.0,-99.0,0.0,0.0,0.729,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
4183,SB56576_island_411,SB56576_component_411a,J033256-123029,03:32:56.4,-12:30:29,53.234912,-12.508064,0.08,0.07,943.5,19.812,0.306,19.675,0.529,11.52,10.58,86.43,0.18,0.16,0.13,2.64,0.0,-37.66,0.57,0.0,90.48,45.928,767.347,-0.9,-99.0,0.01,0.0,0.304,1,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
5111,SB56576_island_1144,SB56576_component_1144a,J033256-160840,03:32:56.9,-16:08:40,53.236933,-16.144489,0.09,0.06,943.5,5.756,0.034,42.173,0.305,44.96,20.0,4.51,0.15,0.22,0.01,43.69,16.29,4.12,0.23,0.44,2.43,21.35,507.172,-99.0,-99.0,0.0,0.0,0.814,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
4184,SB56576_island_411,SB56576_component_411b,J033256-123020,03:32:56.9,-12:30:20,53.236949,-12.505796,0.07,0.06,943.5,4.284,0.028,20.327,0.167,33.77,17.24,16.53,0.14,0.17,0.01,31.98,12.96,15.55,0.23,0.39,2.58,45.928,767.347,-99.0,-99.0,0.0,0.0,0.304,1,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
4215,SB56576_island_436,SB56576_component_436b,J033256-154853,03:32:56.9,-15:48:53,53.237092,-15.814839,0.42,0.38,943.5,20.859,1.634,24.645,3.172,13.39,10.82,84.2,1.0,0.89,0.27,6.55,2.5,-85.11,2.99,5.98,56.04,2.086,146.637,-99.0,-99.0,0.0,0.0,2.026,1,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
4834,SB56576_island_921,SB56576_component_921a,J033257-123305,03:32:57.7,-12:33:05,53.240623,-12.551508,0.33,0.31,943.5,8.573,0.524,10.209,1.022,12.8,11.42,59.9,0.79,0.69,0.38,5.47,4.1,25.83,1.62,1.71,175.95,3.411,321.485,-99.0,-99.0,0.0,0.0,0.656,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
4214,SB56576_island_436,SB56576_component_436a,J033258-154855,03:32:58.1,-15:48:55,53.242195,-15.815447,0.4,0.36,943.5,20.999,1.533,25.9,3.087,14.53,10.42,93.24,0.95,0.85,0.17,8.81,0.0,-79.28,2.34,0.0,41.74,2.086,146.637,-99.0,-99.0,0.0,0.0,2.026,1,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
3848,SB56576_island_174,SB56576_component_174a,J033259-122927,03:32:59.2,-12:29:27,53.246466,-12.490842,0.04,0.04,943.5,49.255,0.358,63.162,0.734,13.67,11.51,70.82,0.1,0.09,0.03,6.9,4.94,70.0,0.3,0.33,0.66,156.186,1324.725,-1.47,-99.0,0.0,0.0,0.494,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
5450,SB56576_island_1439,SB56576_component_1439a,J033304-124336,03:33:04.0,-12:43:36,53.266855,-12.726687,0.76,0.8,943.5,5.005,0.872,4.49,1.405,11.26,9.78,145.67,1.95,1.71,0.88,4.17,0.0,-26.45,7.91,0.0,114.14,0.078,72.012,-99.0,-99.0,0.0,0.0,0.763,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
4860,SB56576_island_944,SB56576_component_944a,J033305-162234,03:33:05.1,-16:22:34,53.271334,-16.376208,0.22,0.23,943.5,7.938,0.311,11.725,0.707,15.25,11.89,139.9,0.56,0.5,0.12,11.0,2.3,-34.82,1.17,4.23,50.25,19.123,785.401,-99.0,-99.0,0.0,0.0,0.523,0,0,1,0,,selavy-image.i.RACS_0349-14.SB56576.cont.taylor.0.restored.conv.components.xml
