,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
3852,SB57258_island_85,SB57258_component_85b,J064559-711227,06:45:59.1,-71:12:27,101.496127,-71.207619,0.23,0.22,943.5,5.209,0.149,8.824,0.387,27.73,12.16,130.5,0.61,0.45,0.03,23.0,0.0,-57.21,1.09,0.0,105.46,1126.556,2566.719,-99.0,-99.0,0.0,0.0,0.313,1,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
3851,SB57258_island_85,SB57258_component_85a,J064600-711211,06:46:00.6,-71:12:11,101.502469,-71.20317,0.01,0.02,943.5,105.138,0.241,128.724,0.48,18.51,13.16,155.99,0.04,0.03,0.0,7.99,4.51,-63.73,0.07,0.08,13.35,1126.556,2566.719,-0.47,-99.0,0.0,0.0,0.313,1,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
4574,SB57258_island_633,SB57258_component_633a,J064609-711841,06:46:09.4,-71:18:41,101.53924,-71.31163,0.21,0.26,943.5,14.985,0.436,25.881,1.122,25.82,13.31,150.81,0.64,0.45,0.03,19.47,5.76,-35.13,1.26,2.07,98.5,71.584,945.938,-99.0,-99.0,0.0,0.0,0.923,0,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
5441,SB57258_island_1347,SB57258_component_1347a,J064616-705408,06:46:16.5,-70:54:08,101.568839,-70.90234,0.38,0.36,943.5,5.738,0.193,17.963,0.774,29.5,21.11,48.36,1.05,0.67,0.07,26.75,12.99,55.14,1.72,1.96,211.21,15.495,574.183,-99.0,-99.0,0.0,0.0,1.013,0,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
4588,SB57258_island_645,SB57258_component_645a,J064622-704522,06:46:22.6,-70:45:22,101.594286,-70.756245,0.24,0.18,943.5,14.476,0.329,31.785,0.999,25.4,17.2,114.31,0.59,0.39,0.04,21.42,7.12,-77.64,0.99,1.58,66.62,179.501,1289.205,-99.0,-99.0,0.0,0.0,0.986,0,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
4702,SB57258_island_735,SB57258_component_735a,J064644-711146,06:46:44.9,-71:11:46,101.687118,-71.196272,0.37,0.48,943.5,13.651,0.843,16.865,1.688,20.02,12.28,154.75,1.18,0.79,0.09,10.57,2.88,-39.62,3.1,5.59,360.0,4.813,272.119,-99.0,-99.0,0.0,0.0,1.109,0,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
5434,SB57258_island_1341,SB57258_component_1341a,J064653-701810,06:46:53.6,-70:18:10,101.72341,-70.302973,0.62,0.75,943.5,6.222,0.589,8.671,1.328,25.38,10.92,153.57,1.87,1.33,0.09,18.76,0.0,-30.79,3.78,0.0,145.18,1.366,187.155,-99.0,-99.0,0.0,0.0,0.941,0,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
3991,SB57258_island_177,SB57258_component_177a,J064714-700255,06:47:14.7,-70:02:55,101.811422,-70.048701,0.05,0.05,943.5,52.179,0.332,96.664,0.899,26.75,13.78,138.47,0.14,0.1,0.01,21.34,4.29,-50.03,0.26,0.63,63.15,1403.319,2848.099,-0.47,-99.0,0.0,0.0,0.778,0,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
4809,SB57258_island_815,SB57258_component_815b,J064715-700501,06:47:15.4,-70:05:01,101.814215,-70.08375,3.59,2.59,943.5,3.992,2.924,1.932,3.221,10.68,9.01,90.28,8.46,6.11,2.8,0.0,0.0,76.1,0.0,0.0,360.0,42.778,657.341,-99.0,-99.0,0.0,0.0,1.312,1,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
4808,SB57258_island_815,SB57258_component_815a,J064718-700527,06:47:18.2,-70:05:27,101.82603,-70.090941,0.31,0.3,943.5,10.926,0.351,26.895,1.242,35.75,13.7,131.16,0.78,0.65,0.03,32.12,1.51,-53.05,1.3,12.52,142.43,42.778,657.341,-99.0,-99.0,0.0,0.0,1.312,1,0,1,0,,selavy-image.i.RACS_0734-72.SB57258.cont.taylor.0.restored.conv.components.xml
