,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
328,SB20306_island_236,SB20306_component_236a,J143241+383440,14:32:41.8,+38:34:40,218.174017,38.577998,0.16,0.38,1367.5,22.816,0.854,24.435,1.551,23.29,8.68,14.15,0.92,0.31,0.02,3.99,0.0,82.35,71.72,0.0,24.34,39.364,568.03,-99.0,-99.0,0.0,0.0,0.933,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
966,SB20306_island_783,SB20306_component_783a,J143247+384545,14:32:47.3,+38:45:45,218.197253,38.762684,0.86,1.85,1367.5,6.104,1.276,5.271,2.03,19.01,8.58,17.47,4.53,1.57,0.15,3.76,0.0,-83.61,32.23,0.0,8.8,0.035,34.662,-99.0,-99.0,0.0,0.0,1.082,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
454,SB20306_island_344,SB20306_component_344b,J143248+381348,14:32:48.5,+38:13:48,218.202253,38.230128,0.19,0.43,1367.5,12.281,0.402,22.173,1.055,30.75,11.08,16.97,1.05,0.35,0.02,19.88,7.23,23.06,0.46,4.74,1.14,187.358,714.501,-99.0,-99.0,0.0,0.0,0.899,1,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
453,SB20306_island_344,SB20306_component_344a,J143249+381330,14:32:49.3,+38:13:30,218.205437,38.225156,0.08,0.25,1367.5,13.16,0.183,39.413,0.714,36.92,15.31,6.79,0.6,0.18,0.01,28.56,12.7,2.31,0.08,0.68,0.3,187.358,714.501,-99.0,-99.0,0.0,0.0,0.899,1,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
715,SB20306_island_559,SB20306_component_559a,J143252+380223,14:32:52.8,+38:02:23,218.219975,38.039827,0.14,0.54,1367.5,9.227,0.289,20.85,1.009,24.54,17.39,0.78,1.28,0.33,0.04,16.34,4.05,-62.73,0.48,11.61,5.81,22.551,426.45,-99.0,-99.0,0.0,0.0,0.986,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
580,SB20306_island_450,SB20306_component_450b,J143302+384946,14:33:02.1,+38:49:46,218.258819,38.829656,0.33,0.92,1367.5,10.481,0.852,13.2,1.765,22.33,10.65,8.76,2.2,0.72,0.06,7.57,0.0,-64.42,10.51,0.0,12.75,6.996,213.838,-99.0,-99.0,0.0,0.0,1.173,1,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
579,SB20306_island_450,SB20306_component_450a,J143303+384951,14:33:03.3,+38:49:51,218.263751,38.830849,0.45,0.92,1367.5,11.58,1.088,12.233,1.966,22.13,9.01,19.4,2.28,0.77,0.06,6.48,0.0,80.45,13.71,0.0,18.51,6.996,213.838,-99.0,-99.0,0.0,0.0,1.173,1,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
258,SB20306_island_176,SB20306_component_176b,J143307+362029,14:33:07.2,+36:20:29,218.279879,36.341466,0.19,0.42,1367.5,21.527,0.93,22.071,1.638,24.1,8.03,17.3,1.03,0.35,0.02,7.35,0.0,51.84,10.22,0.0,16.06,26.349,355.916,-99.0,-99.0,0.0,0.0,0.96,1,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
752,SB20306_island_590,SB20306_component_590a,J143307+381147,14:33:07.7,+38:11:47,218.282213,38.196664,0.33,0.73,1367.5,8.742,0.69,8.14,1.141,23.69,7.42,16.94,1.8,0.61,0.04,5.89,0.0,54.79,30.58,0.0,32.06,2.174,170.269,-99.0,-99.0,0.0,0.0,0.632,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
257,SB20306_island_176,SB20306_component_176a,J143307+362020,14:33:07.8,+36:20:20,218.282527,36.339089,0.14,0.33,1367.5,28.256,0.946,28.59,1.651,23.41,8.16,15.55,0.79,0.27,0.02,4.63,0.0,65.82,33.03,0.0,21.55,26.349,355.916,-99.0,-99.0,0.0,0.0,0.96,1,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
396,SB20306_island_297,SB20306_component_297a,J143309+351518,14:33:09.8,+35:15:18,218.291027,35.255215,0.13,0.39,1367.5,17.745,0.496,30.77,1.311,25.15,13.02,8.21,0.92,0.28,0.02,11.45,7.06,-45.24,3.81,10.96,15.77,112.473,874.712,-99.0,-99.0,0.0,0.0,1.077,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
946,SB20306_island_767,SB20306_component_767a,J143310+380117,14:33:10.2,+38:01:17,218.292337,38.021497,0.56,1.08,1367.5,6.118,0.65,7.238,1.268,27.74,8.05,21.56,2.71,0.93,0.05,15.67,0.0,37.77,1.98,0.0,8.35,3.818,256.559,-99.0,-99.0,0.0,0.0,0.81,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
134,SB20306_island_88,SB20306_component_88a,J143315+345140,14:33:15.3,+34:51:40,218.313624,34.861222,0.06,0.16,1367.5,50.075,0.644,79.32,1.55,26.61,11.24,13.05,0.39,0.13,0.01,12.3,7.89,14.73,1.54,4.08,0.4,347.032,1182.93,-99.0,-99.0,0.0,0.0,1.201,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
820,SB20306_island_655,SB20306_component_655a,J143319+362417,14:33:19.6,+36:24:17,218.33169,36.404998,0.31,0.63,1367.5,7.741,0.363,14.694,0.993,29.99,11.95,20.28,1.56,0.5,0.03,19.1,7.51,32.54,0.78,6.7,3.64,7.717,271.098,-99.0,-99.0,0.0,0.0,0.876,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
162,SB20306_island_111,SB20306_component_111a,J143320+345035,14:33:20.5,+34:50:35,218.335458,34.843242,0.04,0.15,1367.5,40.842,0.387,85.015,1.209,25.6,15.35,5.94,0.36,0.1,0.01,14.15,8.36,-52.6,0.54,1.82,3.61,1395.949,2244.889,-99.0,-99.0,0.0,0.0,1.125,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
474,SB20306_island_361,SB20306_component_361a,J143325+364517,14:33:25.6,+36:45:17,218.356641,36.754921,0.18,0.39,1367.5,14.413,0.507,18.461,1.056,23.19,10.43,18.0,0.96,0.31,0.02,8.1,0.0,78.93,5.22,0.0,10.31,28.218,453.84,-99.0,-99.0,0.0,0.0,0.71,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
879,SB20306_island_711,SB20306_component_711a,J143329+375425,14:33:29.3,+37:54:25,218.372242,37.907152,0.22,0.62,1367.5,6.986,0.303,14.068,0.863,32.78,11.6,6.28,1.47,0.49,0.02,23.03,7.6,-0.46,0.37,5.04,1.37,8.089,268.75,-99.0,-99.0,0.0,0.0,0.797,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
653,SB20306_island_504,SB20306_component_504b,J143335+385620,14:33:35.1,+38:56:20,218.396283,38.939036,0.29,0.8,1367.5,8.253,0.526,13.281,1.268,30.7,9.9,7.81,1.9,0.65,0.03,19.85,5.04,1.19,0.77,16.65,2.09,40.45,466.339,-99.0,-99.0,0.0,0.0,0.994,1,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
652,SB20306_island_504,SB20306_component_504a,J143335+385602,14:33:35.8,+38:56:02,218.399096,38.934026,0.34,0.75,1367.5,9.952,0.664,13.556,1.421,27.27,9.43,16.52,1.84,0.62,0.04,13.96,4.09,27.16,2.81,38.75,5.9,40.45,466.339,-99.0,-99.0,0.0,0.0,0.994,1,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
495,SB20306_island_380,SB20306_component_380a,J143337+361439,14:33:37.5,+36:14:39,218.406166,36.244226,0.28,0.65,1367.5,13.648,0.905,13.849,1.583,24.43,7.84,15.0,1.58,0.53,0.03,6.93,0.0,35.65,26.66,0.0,25.0,17.188,449.68,-99.0,-99.0,0.0,0.0,0.922,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
690,SB20306_island_539,SB20306_component_539a,J143340+381148,14:33:40.7,+38:11:48,218.419568,38.19672,0.22,0.52,1367.5,9.685,0.515,9.773,0.898,23.86,7.98,14.86,1.26,0.43,0.03,5.05,0.0,49.21,58.53,0.0,41.63,14.532,381.206,-99.0,-99.0,0.0,0.0,0.521,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
1350,SB20306_island_1122,SB20306_component_1122a,J143351+345518,14:33:51.6,+34:55:18,218.465012,34.921889,0.67,1.67,1367.5,3.931,0.649,4.131,1.167,22.33,8.88,12.19,4.0,1.35,0.1,3.9,0.0,-74.04,134.73,0.0,9.21,0.531,125.016,-99.0,-99.0,0.0,0.0,0.694,0,0,1,0,,selavy-image.i.RACS_1450+37.SB20306.cont.taylor.0.restored.conv.components.xml
