,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4968,SB56850_island_1137,SB56850_component_1137a,J065140-482653,06:51:40.6,-48:26:53,102.918976,-48.44829,0.56,0.57,943.5,6.878,0.713,8.765,1.489,16.5,9.88,37.76,1.41,1.24,0.17,11.05,0.0,35.03,3.2,0.0,68.72,2.454,307.209,-99.0,-99.0,0.0,0.0,0.998,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
4582,SB56850_island_807,SB56850_component_807a,J065142-465532,06:51:42.1,-46:55:32,102.92524,-46.925832,0.14,0.16,943.5,11.018,0.315,12.649,0.599,13.05,11.26,179.26,0.38,0.32,0.13,7.1,0.0,-22.06,0.86,0.0,52.65,7.926,469.213,-99.0,-99.0,0.0,0.0,0.376,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
5445,SB56850_island_1560,SB56850_component_1560a,J065144-481115,06:51:44.6,-48:11:15,102.935978,-48.18768,4.09,4.3,943.5,4.801,4.052,5.07,7.318,13.79,9.79,35.95,10.64,9.04,1.87,6.44,0.0,28.01,33.94,0.0,360.0,0.001,10.674,-99.0,-99.0,0.0,0.0,4.365,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
3883,SB56850_island_244,SB56850_component_244a,J065145-465331,06:51:45.8,-46:53:31,102.940921,-46.892106,0.08,0.08,943.5,38.967,0.591,42.913,1.092,13.22,10.65,50.92,0.2,0.17,0.05,4.94,2.12,60.92,0.77,1.31,18.63,25.697,610.266,-1.68,-99.0,0.0,0.0,0.668,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
3894,SB56850_island_252,SB56850_component_252a,J065149-470456,06:51:49.1,-47:04:56,102.954744,-47.082497,0.03,0.03,943.5,35.973,0.2,41.29,0.38,14.02,10.47,45.45,0.07,0.06,0.01,6.73,1.23,44.55,0.23,0.89,25.36,315.658,2220.846,-1.87,-99.0,0.0,0.0,0.239,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
5403,SB56850_island_1523,SB56850_component_1523a,J065149-481410,06:51:49.4,-48:14:10,102.955724,-48.236231,1.11,1.07,943.5,4.956,1.126,4.831,1.945,14.08,8.86,51.23,2.76,2.33,0.39,6.88,0.0,53.93,8.59,0.0,126.04,0.16,110.777,-99.0,-99.0,0.0,0.0,1.109,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
4082,SB56850_island_393,SB56850_component_393a,J065152-470407,06:51:52.3,-47:04:07,102.968112,-47.068633,0.11,0.11,943.5,22.758,0.448,28.758,0.91,14.14,11.44,48.75,0.27,0.23,0.07,6.98,4.73,52.65,0.84,0.92,22.13,34.247,743.217,-99.0,-99.0,0.0,0.0,0.606,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
3747,SB56850_island_147,SB56850_component_147a,J065200-480901,06:52:00.5,-48:09:01,103.00211,-48.150522,0.07,0.07,943.5,59.729,0.772,70.72,1.5,13.17,11.5,57.17,0.17,0.15,0.07,5.58,3.9,-80.04,0.27,0.35,27.56,92.793,1004.302,-1.23,-99.0,0.0,0.0,0.959,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
4350,SB56850_island_613,SB56850_component_613a,J065210-464640,06:52:10.4,-46:46:40,103.043279,-46.777989,0.26,0.25,943.5,14.609,0.726,16.549,1.367,12.93,11.21,47.45,0.65,0.55,0.24,4.22,3.94,-65.25,1.8,2.59,104.77,7.046,395.712,-99.0,-99.0,0.0,0.0,0.851,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
4338,SB56850_island_603,SB56850_component_603a,J065210-482139,06:52:10.6,-48:21:39,103.04436,-48.360837,0.14,0.14,943.5,14.97,0.326,27.925,0.933,22.08,10.81,51.17,0.34,0.34,0.03,18.34,2.88,51.8,0.62,2.29,10.05,59.481,896.544,-99.0,-99.0,0.0,0.0,0.803,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
4662,SB56850_island_870,SB56850_component_870a,J065215-485503,06:52:15.4,-48:55:03,103.064103,-48.917738,0.38,0.42,943.5,10.049,0.77,11.613,1.471,13.03,11.34,27.7,1.01,0.86,0.38,5.75,2.45,-9.94,1.78,3.27,154.69,1.812,227.534,-99.0,-99.0,0.0,0.0,0.927,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
4844,SB56850_island_1027,SB56850_component_1027a,J065221-480353,06:52:21.0,-48:03:53,103.087453,-48.064813,0.54,0.57,943.5,8.035,0.939,7.797,1.595,12.07,10.28,34.42,1.42,1.2,0.51,2.18,0.0,-9.66,4.95,0.0,204.62,0.399,126.344,-99.0,-99.0,0.0,0.0,0.905,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
4942,SB56850_island_1115,SB56850_component_1115a,J065229-481324,06:52:29.0,-48:13:24,103.120995,-48.223555,0.5,0.44,943.5,7.457,0.687,8.313,1.282,12.43,11.47,110.29,1.2,1.01,0.77,6.59,0.0,-52.46,3.05,0.0,360.0,2.357,285.1,-99.0,-99.0,0.0,0.0,0.79,0,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
5307,SB56850_island_1437,SB56850_component_1437a,J065232-465211,06:52:32.7,-46:52:11,103.136268,-46.869833,0.61,0.62,943.5,3.362,0.336,5.525,0.884,21.21,9.91,141.7,1.47,1.43,0.12,18.47,0.0,-38.88,2.56,0.0,44.13,1.587,216.067,-99.0,-99.0,0.0,0.0,0.696,1,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
3545,SB56850_island_24,SB56850_component_24b,J065232-462552,06:52:32.9,-46:25:52,103.136924,-46.431326,0.08,0.07,943.5,39.721,0.409,85.05,1.231,19.98,13.71,88.04,0.18,0.16,0.02,16.41,7.65,-86.1,0.33,0.49,7.95,1433.434,2375.593,-99.0,-99.0,0.0,0.0,1.187,1,0,1,0,,selavy-image.i.RACS_0714-46.SB56850.cont.taylor.0.restored.conv.components.xml
