,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4672,SB56109_island_1214,SB56109_component_1214a,J023156+200439,02:31:56.1,+20:04:39,37.983735,20.077718,0.1,0.09,943.5,6.357,0.074,11.706,0.199,25.1,14.42,128.02,0.26,0.19,0.02,19.9,4.21,-63.09,0.48,1.13,42.17,92.509,1308.869,-99.0,-99.0,0.0,0.0,0.171,0,0,1,0,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
5169,SB56109_island_1655,SB56109_component_1655a,J023206+194629,02:32:06.8,+19:46:29,38.02819,19.774829,0.8,1.01,943.5,4.311,0.564,5.501,1.168,21.97,11.42,155.66,2.49,1.73,0.15,13.85,0.0,-27.61,5.94,0.0,107.33,0.619,148.693,-99.0,-99.0,0.0,0.0,0.783,0,0,1,0,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
5070,SB56109_island_1569,SB56109_component_1569a,J023208+181804,02:32:08.1,+18:18:04,38.033816,18.301327,0.8,1.09,943.5,4.591,0.615,5.999,1.294,17.22,14.92,158.78,2.66,1.73,0.57,9.5,2.05,70.38,4.73,34.12,35.88,0.302,109.941,-99.0,-99.0,0.0,0.0,0.881,0,0,1,0,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
3957,SB56109_island_593,SB56109_component_593a,J023209+201627,02:32:09.3,+20:16:27,38.038603,20.274174,0.04,0.04,943.5,14.833,0.088,16.401,0.163,16.52,13.16,138.57,0.11,0.07,0.02,8.08,0.0,88.52,0.11,0.0,18.02,861.343,3697.582,-0.19,-99.0,0.0,0.0,0.1,0,0,1,1,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
3410,SB56109_island_156,SB56109_component_156a,J023211+181118,02:32:11.8,+18:11:18,38.049334,18.188466,0.07,0.1,943.5,54.418,0.701,61.533,1.321,17.27,12.88,155.96,0.23,0.16,0.03,6.03,1.73,84.9,0.47,3.04,25.92,29.474,483.657,-1.52,-99.0,0.0,0.0,0.821,0,0,1,0,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
3415,SB56109_island_161,SB56109_component_161a,J023217+175757,02:32:17.2,+17:57:57,38.071852,17.965849,0.08,0.11,943.5,52.795,0.814,56.381,1.477,16.59,12.66,156.86,0.27,0.18,0.04,5.38,0.0,76.49,0.73,0.0,17.28,45.196,624.199,-1.73,-99.0,0.0,0.0,0.887,0,0,1,0,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
3269,SB56109_island_56,SB56109_component_56a,J023218+192334,02:32:18.5,+19:23:34,38.077029,19.392915,0.04,0.05,943.5,110.977,0.806,127.57,1.533,18.04,12.53,158.67,0.13,0.09,0.01,5.83,4.89,-37.44,0.56,0.35,49.74,1278.134,1595.645,-0.8,-99.0,0.0,0.0,0.963,1,0,1,0,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
3270,SB56109_island_56,SB56109_component_56b,J023219+192321,02:32:19.2,+19:23:21,38.08008,19.389397,0.04,0.05,943.5,78.38,0.451,136.913,1.159,20.98,16.37,150.3,0.13,0.09,0.01,13.01,10.69,-63.9,0.19,0.12,43.34,1278.134,1595.645,-2.72,-99.0,0.0,0.0,0.963,1,0,1,0,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
4367,SB56109_island_941,SB56109_component_941a,J023219+201201,02:32:19.8,+20:12:01,38.082335,20.200417,0.5,0.63,943.5,8.53,0.737,9.581,1.381,18.51,11.93,154.43,1.56,1.05,0.14,7.48,2.09,-42.64,5.17,9.19,360.0,1.287,163.74,-99.0,-99.0,0.0,0.0,0.855,0,0,1,0,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
3271,SB56109_island_56,SB56109_component_56c,J023221+192245,02:32:21.8,+19:22:45,38.090657,19.379343,0.1,0.09,943.5,27.262,0.268,67.163,0.894,29.35,16.51,127.99,0.25,0.18,0.01,24.96,9.29,-59.75,0.44,0.61,40.05,1278.134,1595.645,-99.0,-99.0,0.0,0.0,0.963,1,0,1,0,,selavy-image.i.RACS_0248+18.SB56109.cont.taylor.0.restored.conv.components.xml
