,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5097,SB56112_island_1501,SB56112_component_1501a,J033944+180632,03:39:44.0,+18:06:32,54.933476,18.108915,0.79,1.11,943.5,5.224,0.838,4.987,1.419,18.33,10.15,167.73,2.64,1.81,0.2,7.43,0.0,-6.26,9.71,0.0,101.56,0.069,51.629,-99.0,-99.0,0.0,0.0,0.799,0,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
3874,SB56112_island_473,SB56112_component_473a,J033947+180120,03:39:47.8,+18:01:20,54.94905,18.022324,0.15,0.23,943.5,20.503,0.566,26.075,1.174,16.31,15.19,178.27,0.53,0.35,0.23,9.95,0.0,70.09,0.76,0.0,72.28,31.905,592.122,-99.0,-99.0,0.0,0.0,0.785,0,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
4608,SB56112_island_1071,SB56112_component_1071a,J033948+201208,03:39:48.2,+20:12:08,54.950992,20.202245,0.23,0.36,943.5,5.909,0.159,19.064,0.661,27.22,23.09,6.09,0.86,0.53,0.1,22.38,18.89,28.73,1.26,0.82,320.26,29.71,430.917,-99.0,-99.0,0.0,0.0,0.885,1,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
4609,SB56112_island_1071,SB56112_component_1071b,J033949+201218,03:39:49.1,+20:12:18,54.954787,20.205177,0.4,0.4,943.5,5.222,0.226,12.445,0.886,42.03,11.05,156.7,0.93,0.93,0.03,38.56,0.0,-24.02,1.53,0.0,19.32,29.71,430.917,-99.0,-99.0,0.0,0.0,0.885,1,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
4183,SB56112_island_711,SB56112_component_711a,J033950+194905,03:39:50.5,+19:49:05,54.960606,19.818221,0.23,0.31,943.5,12.185,0.45,17.149,0.994,17.86,15.36,160.29,0.75,0.5,0.15,10.11,5.99,79.02,1.25,3.3,45.75,63.817,806.965,-99.0,-99.0,0.0,0.0,0.711,0,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
4297,SB56112_island_808,SB56112_component_808b,J033950+201207,03:39:50.9,+20:12:07,54.962168,20.201978,0.26,0.25,943.5,3.369,0.059,19.285,0.392,40.68,27.42,131.16,0.7,0.49,0.03,37.71,23.83,-53.39,1.13,1.02,158.3,23.965,348.781,-99.0,-99.0,0.0,0.0,0.87,1,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
4296,SB56112_island_808,SB56112_component_808a,J033951+201233,03:39:51.7,+20:12:33,54.965365,20.209417,0.21,0.16,943.5,10.328,0.183,30.37,0.701,31.56,18.16,98.31,0.49,0.37,0.02,29.0,8.26,-85.79,0.8,1.51,22.31,23.965,348.781,-99.0,-99.0,0.0,0.0,0.87,1,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
4575,SB56112_island_1042,SB56112_component_1042a,J033953+192709,03:39:53.4,+19:27:09,54.97242,19.452574,0.51,0.61,943.5,7.782,0.662,8.953,1.263,17.23,13.02,149.91,1.54,1.06,0.2,7.74,0.0,-76.09,1.85,0.0,309.19,6.181,358.838,-99.0,-99.0,0.0,0.0,0.793,0,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
3514,SB56112_island_190,SB56112_component_190b,J033958+163426,03:39:58.6,+16:34:26,54.99433,16.574054,0.08,0.09,943.5,15.0,0.206,13.937,0.344,18.28,9.91,146.87,0.22,0.15,0.02,8.87,0.0,-51.25,0.61,0.0,109.29,239.524,1503.216,-3.35,-99.0,0.02,0.0,0.191,1,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
3513,SB56112_island_190,SB56112_component_190a,J033958+163431,03:39:58.9,+16:34:31,54.995346,16.575472,0.02,0.03,943.5,45.192,0.222,39.891,0.354,16.06,10.71,160.05,0.08,0.05,0.01,0.0,0.0,-69.22,0.0,0.0,16.62,239.524,1503.216,-1.54,-99.0,0.0,0.0,0.191,1,0,1,0,,selavy-image.i.RACS_0356+18.SB56112.cont.taylor.0.restored.conv.components.xml
