,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
7477,SB58146_island_265,SB58146_component_265a,J143024-390311,14:30:24.3,-39:03:11,217.60108,-39.053221,0.16,0.16,943.5,35.394,1.202,37.647,2.178,12.2,10.27,96.99,0.38,0.38,0.15,5.64,0.0,-78.92,1.28,0.0,8.62,8.569,418.173,-99.0,-99.0,0.0,0.0,1.305,0,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
8220,SB58146_island_850,SB58146_component_850a,J143025-393058,14:30:25.2,-39:30:58,217.60489,-39.51623,0.65,0.64,943.5,10.242,1.451,9.953,2.482,11.99,9.54,72.48,1.54,1.49,0.48,4.91,0.0,75.47,5.8,0.0,25.87,0.356,136.955,-99.0,-99.0,0.0,0.0,1.411,0,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
8536,SB58146_island_1120,SB58146_component_1120a,J143025-375010,14:30:25.6,-37:50:10,217.606864,-37.836253,0.49,0.49,943.5,7.437,0.7,9.35,1.418,12.96,11.41,39.59,1.15,1.14,0.55,6.87,3.96,38.13,3.4,5.25,41.29,2.654,325.811,-99.0,-99.0,0.0,0.0,0.942,0,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
8350,SB58146_island_958,SB58146_component_958a,J143026-372028,14:30:26.9,-37:20:28,217.611884,-37.341166,0.37,0.37,943.5,8.93,0.617,12.184,1.324,13.35,12.03,33.73,0.88,0.87,0.49,7.59,5.46,30.78,2.42,3.05,31.6,2.835,297.638,-99.0,-99.0,0.0,0.0,0.928,0,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
7387,SB58146_island_199,SB58146_component_199b,J143034-392030,14:30:34.0,-39:20:30,217.641543,-39.341745,0.21,0.21,943.5,25.248,1.077,27.966,1.999,11.58,11.26,52.72,0.49,0.48,1.09,3.67,3.45,81.83,1.6,1.61,63.95,26.9,516.08,-99.0,-99.0,0.0,0.0,1.227,1,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
7386,SB58146_island_199,SB58146_component_199a,J143034-392044,14:30:34.0,-39:20:44,217.641664,-39.345807,0.12,0.11,943.5,44.322,1.015,51.38,1.944,12.04,11.34,97.68,0.27,0.26,0.27,5.33,3.08,-72.45,0.92,1.48,16.78,26.9,516.08,-99.0,-99.0,0.0,0.0,1.227,1,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
8235,SB58146_island_863,SB58146_component_863a,J143034-384929,14:30:34.7,-38:49:29,217.644578,-38.824923,0.8,0.8,943.5,10.131,1.607,12.06,3.188,14.03,9.98,40.55,1.88,1.88,0.38,8.72,0.0,40.12,4.66,0.0,44.14,0.188,92.536,-99.0,-99.0,0.0,0.0,2.046,0,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
8670,SB58146_island_1241,SB58146_component_1241a,J143038-375928,14:30:38.8,-37:59:28,217.661502,-37.991242,0.43,0.42,943.5,6.458,0.462,10.731,1.147,15.61,12.53,155.09,0.99,1.01,0.26,11.34,6.04,-26.12,2.12,3.39,13.91,4.614,413.38,-99.0,-99.0,0.0,0.0,0.919,0,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
8249,SB58146_island_873,SB58146_component_873a,J143039-380527,14:30:39.1,-38:05:27,217.662945,-38.091052,0.98,0.98,943.5,9.613,1.916,11.004,3.665,13.1,10.28,41.7,2.33,2.3,0.64,7.13,0.0,41.16,6.63,0.0,71.6,0.389,117.866,-99.0,-99.0,0.0,0.0,2.296,0,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
8434,SB58146_island_1032,SB58146_component_1032b,J143039-355952,14:30:39.7,-35:59:52,217.66544,-35.997806,0.4,0.33,943.5,5.916,0.307,13.53,1.054,23.08,11.66,167.98,0.76,0.95,0.08,20.41,4.09,-12.44,1.32,4.6,6.26,7.254,324.239,-99.0,-99.0,0.0,0.0,1.046,1,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
8433,SB58146_island_1032,SB58146_component_1032a,J143040-360008,14:30:40.0,-36:00:08,217.666621,-36.002483,0.33,0.37,943.5,6.379,0.323,14.119,1.079,22.61,11.52,57.99,0.74,0.91,0.08,19.77,4.24,58.18,1.29,4.19,10.8,7.254,324.239,-99.0,-99.0,0.0,0.0,1.046,1,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
8892,SB58146_island_1440,SB58146_component_1440a,J143048-372201,14:30:48.2,-37:22:01,217.700718,-37.3672,0.48,0.48,943.5,5.414,0.445,8.527,1.066,15.27,12.14,130.55,1.11,1.13,0.29,10.88,5.15,-49.02,2.42,4.32,35.34,0.691,159.925,-99.0,-99.0,0.0,0.0,0.823,0,0,1,0,,selavy-image.i.RACS_1450-37.SB58146.cont.taylor.0.restored.conv.components.xml
