,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
3426,SB58238_island_42,SB58238_component_42a,J161621-141933,16:16:21.7,-14:19:33,244.090272,-14.326069,0.02,0.02,943.5,220.481,0.88,290.789,1.86,15.21,10.64,78.55,0.05,0.05,0.01,9.62,2.15,80.6,0.13,0.4,0.69,305.004,1309.01,-1.54,-99.0,0.0,0.0,1.274,1,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
3427,SB58238_island_42,SB58238_component_42b,J161622-141932,16:16:22.9,-14:19:32,244.095551,-14.325609,0.02,0.02,943.5,210.854,0.941,265.145,1.918,14.6,10.57,77.29,0.06,0.05,0.01,8.62,1.81,79.28,0.15,0.52,0.72,305.004,1309.01,-1.36,-99.0,0.0,0.0,1.274,1,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
4511,SB58238_island_890,SB58238_component_890a,J161634-130236,16:16:34.3,-13:02:36,244.142785,-13.043465,0.26,0.23,943.5,8.992,0.416,11.373,0.859,15.32,10.13,77.48,0.6,0.55,0.09,9.79,0.0,78.92,1.45,0.0,5.78,10.869,565.393,-99.0,-99.0,0.0,0.0,0.573,0,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
3386,SB58238_island_23,SB58238_component_23a,J161638-123304,16:16:38.7,-12:33:04,244.161353,-12.551174,0.02,0.01,943.5,324.259,0.986,369.961,1.867,12.9,10.86,80.92,0.04,0.03,0.01,5.36,2.84,-86.51,0.13,0.19,2.42,510.857,2089.57,-0.82,-99.0,0.0,0.0,1.167,0,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
4164,SB58238_island_596,SB58238_component_596a,J161638-143554,16:16:38.9,-14:35:54,244.162131,-14.598398,0.23,0.21,943.5,14.806,0.642,17.328,1.236,12.86,11.17,67.59,0.55,0.49,0.22,5.21,3.94,53.34,1.92,2.02,136.6,11.444,493.449,-99.0,-99.0,0.0,0.0,0.785,0,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
5228,SB58238_island_1523,SB58238_component_1523a,J161650-160012,16:16:50.0,-16:00:12,244.208397,-16.003548,0.9,0.79,943.5,4.812,0.874,4.678,1.512,13.73,8.69,88.38,2.12,1.86,0.32,7.23,0.0,-86.32,6.06,0.0,56.73,0.033,55.171,-99.0,-99.0,0.0,0.0,0.861,0,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
4342,SB58238_island_749,SB58238_component_749a,J161650-123630,16:16:50.7,-12:36:30,244.211286,-12.608608,0.27,0.27,943.5,10.875,0.489,17.409,1.18,16.26,12.08,41.57,0.66,0.6,0.12,11.63,5.26,34.16,1.38,2.24,82.34,12.713,344.689,-99.0,-99.0,0.0,0.0,0.921,1,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
4343,SB58238_island_749,SB58238_component_749b,J161651-123610,16:16:51.3,-12:36:10,244.213593,-12.602947,0.23,0.24,943.5,7.557,0.234,19.673,0.821,21.59,14.8,13.57,0.56,0.55,0.07,18.72,9.34,10.58,0.98,1.45,15.12,12.713,344.689,-99.0,-99.0,0.0,0.0,0.921,1,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
5069,SB58238_island_1387,SB58238_component_1387a,J161651-143254,16:16:51.9,-14:32:54,244.216396,-14.548473,0.52,0.47,943.5,5.376,0.503,6.832,1.034,14.75,10.57,86.06,1.23,1.11,0.22,8.98,1.17,-88.87,3.06,16.68,35.11,2.995,339.424,-99.0,-99.0,0.0,0.0,0.691,0,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
5033,SB58238_island_1355,SB58238_component_1355a,J161652-122958,16:16:52.1,-12:29:58,244.21691,-12.499485,0.25,0.3,943.5,4.846,0.158,14.86,0.72,31.11,12.1,110.81,0.55,0.73,0.04,29.0,5.1,-68.13,0.9,3.08,11.5,6.657,479.103,-99.0,-99.0,0.0,0.0,0.881,0,0,1,0,,selavy-image.i.RACS_1632-14.SB58238.cont.taylor.0.restored.conv.components.xml
