,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
3923,SB56829_island_333,SB56829_component_333a,J010203-172700,01:02:03.6,-17:27:00,15.514994,-17.450264,0.0,0.0,943.5,27.672,0.008,31.742,0.015,13.4,10.48,78.65,0.0,0.0,0.0,6.16,1.84,89.9,0.01,0.03,0.21,6809.288,15065.731,-0.62,-99.0,0.01,0.0,0.01,0,0,1,1,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
4281,SB56829_island_605,SB56829_component_605a,J010208-190811,01:02:08.8,-19:08:11,15.536778,-19.136482,0.26,0.22,943.5,14.832,0.667,18.779,1.357,14.03,11.05,79.04,0.6,0.52,0.14,7.43,3.95,89.19,1.67,2.29,32.58,7.873,413.718,-99.0,-99.0,0.0,0.0,0.906,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
5017,SB56829_island_1202,SB56829_component_1202a,J010213-191400,01:02:13.2,-19:14:00,15.554921,-19.23325,0.58,0.53,943.5,6.301,0.657,7.983,1.336,13.5,11.48,116.61,1.41,1.2,0.45,8.17,0.0,-45.23,3.08,0.0,360.0,0.153,83.415,-99.0,-99.0,0.0,0.0,0.892,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
5216,SB56829_island_1373,SB56829_component_1373a,J010215-192343,01:02:15.4,-19:23:43,15.564267,-19.39543,1.03,0.9,943.5,5.45,1.213,4.587,1.878,11.47,8.98,69.41,2.46,2.08,0.66,0.0,0.0,70.94,0.0,0.0,22.09,0.044,66.017,-99.0,-99.0,0.0,0.0,0.985,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
4076,SB56829_island_447,SB56829_component_447a,J010216-192325,01:02:16.5,-19:23:25,15.568872,-19.390501,0.16,0.15,943.5,17.447,0.411,33.055,1.142,19.4,11.95,98.13,0.37,0.35,0.04,15.59,5.3,-77.32,0.7,1.34,13.41,239.078,1822.23,-99.0,-99.0,0.0,0.0,1.002,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
4611,SB56829_island_862,SB56829_component_862a,J010217-205228,01:02:17.5,-20:52:28,15.572778,-20.874715,0.44,0.42,943.5,9.439,0.785,11.441,1.55,12.95,11.46,53.7,1.1,0.93,0.47,5.97,3.9,11.63,1.6,2.2,176.89,1.958,243.572,-99.0,-99.0,0.0,0.0,1.006,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
4162,SB56829_island_512,SB56829_component_512a,J010223-171907,01:02:23.1,-17:19:07,15.596105,-17.318766,0.19,0.19,943.5,16.092,0.525,24.262,1.214,16.01,11.53,45.32,0.47,0.42,0.08,11.0,4.49,36.84,1.02,1.73,85.4,55.742,919.01,-99.0,-99.0,0.0,0.0,0.91,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
5341,SB56829_island_1480,SB56829_component_1480a,J010224-173208,01:02:24.8,-17:32:08,15.603319,-17.535718,0.7,0.7,943.5,4.902,0.634,6.478,1.334,14.91,10.85,134.97,1.77,1.53,0.31,10.64,0.0,-38.65,3.72,0.0,287.61,0.041,49.119,-99.0,-99.0,0.0,0.0,0.915,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
3740,SB56829_island_204,SB56829_component_204a,J010225-210426,01:02:25.7,-21:04:26,15.606881,-21.074032,0.16,0.14,943.5,47.574,1.445,53.006,2.694,13.17,10.35,68.51,0.38,0.33,0.09,5.44,1.77,67.77,1.43,3.21,2.42,8.528,356.759,-99.0,-99.0,0.0,0.0,1.659,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
5442,SB56829_island_1566,SB56829_component_1566a,J010234-174914,01:02:34.4,-17:49:14,15.643536,-17.820676,0.98,0.9,943.5,4.586,0.924,4.462,1.597,13.85,8.6,59.15,2.39,2.02,0.34,7.05,0.0,54.41,7.08,0.0,176.37,0.099,99.524,-99.0,-99.0,0.0,0.0,0.909,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
4182,SB56829_island_526,SB56829_component_526a,J010237-183251,01:02:37.7,-18:32:51,15.657059,-18.547618,0.24,0.26,943.5,16.391,0.775,20.283,1.558,12.41,12.2,25.6,0.64,0.53,1.84,6.89,2.73,-17.37,0.77,1.84,113.83,4.046,299.846,-99.0,-99.0,0.0,0.0,1.025,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
4301,SB56829_island_621,SB56829_component_621a,J010242-200849,01:02:42.7,-20:08:49,15.67803,-20.147129,0.69,0.59,943.5,14.025,1.784,15.931,3.369,12.49,11.13,95.38,1.63,1.38,0.76,5.68,0.0,-46.51,2.74,0.0,360.0,0.197,75.023,-99.0,-99.0,0.0,0.0,2.1,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
5667,SB56829_island_1764,SB56829_component_1764a,J010243-191241,01:02:43.4,-19:12:41,15.681018,-19.211571,0.69,0.65,943.5,3.825,0.454,5.489,1.018,16.1,10.91,62.33,1.67,1.48,0.24,10.76,3.78,59.73,3.81,7.3,54.1,0.083,74.231,-99.0,-99.0,0.0,0.0,0.737,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
5352,SB56829_island_1488,SB56829_component_1488a,J010243-191726,01:02:43.9,-19:17:26,15.682996,-19.290635,0.31,0.31,943.5,4.69,0.187,12.576,0.669,21.74,15.1,133.42,0.75,0.7,0.09,19.03,9.51,-43.29,1.31,1.86,345.76,4.998,357.978,-99.0,-99.0,0.0,0.0,0.77,0,0,1,0,,selavy-image.i.RACS_0118-18.SB56829.cont.taylor.0.restored.conv.components.xml
