,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
7248,SB56113_island_1247,SB56113_component_1247a,J040201+200051,04:02:01.8,+20:00:51,60.507699,20.014266,0.6,0.77,943.5,6.349,0.643,7.92,1.299,19.93,12.23,157.78,1.88,1.33,0.15,11.18,2.46,-32.24,4.86,11.63,297.81,2.542,255.3,-99.0,-99.0,0.0,0.0,0.858,0,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
5988,SB56113_island_220,SB56113_component_220a,J040209+175551,04:02:09.9,+17:55:51,60.541358,17.930936,0.03,0.04,943.5,46.198,0.254,54.115,0.49,17.16,13.34,0.75,0.1,0.07,0.01,7.95,0.0,48.73,0.11,0.0,136.32,395.335,1571.892,-1.44,-99.0,0.0,0.0,0.311,1,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
5989,SB56113_island_220,SB56113_component_220b,J040210+175520,04:02:10.1,+17:55:20,60.542124,17.922487,0.18,0.21,943.5,4.598,0.097,10.534,0.305,24.63,18.17,31.51,0.54,0.37,0.05,20.42,10.21,45.02,0.92,1.05,360.0,395.335,1571.892,-99.0,-99.0,0.0,0.0,0.311,1,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
5823,SB56113_island_99,SB56113_component_99b,J040211+192940,04:02:11.8,+19:29:40,60.549286,19.494525,0.04,0.04,943.5,43.295,0.119,222.817,0.749,47.61,21.12,7.14,0.09,0.08,0.0,44.8,17.02,8.73,0.14,0.2,2.63,9928.967,2677.485,-99.0,-99.0,0.0,0.0,1.48,1,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
5824,SB56113_island_99,SB56113_component_99c,J040212+193016,04:02:12.6,+19:30:16,60.552493,19.504697,0.03,0.04,943.5,37.467,0.091,227.032,0.635,38.45,30.8,165.34,0.1,0.07,0.01,34.63,28.49,-14.94,0.18,0.13,0.82,9928.967,2677.485,-99.0,-99.0,0.0,0.0,1.48,1,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
5822,SB56113_island_99,SB56113_component_99a,J040214+192853,04:02:14.5,+19:28:53,60.560229,19.481637,0.01,0.01,943.5,75.279,0.052,620.286,0.479,53.74,29.96,128.08,0.03,0.03,0.0,51.63,26.54,-53.93,0.05,0.05,3.88,9928.967,2677.485,-1.28,-99.0,0.0,0.0,1.48,1,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
7653,SB56113_island_1617,SB56113_component_1617a,J040218+180016,04:02:18.3,+18:00:16,60.576256,18.004551,1.44,1.23,943.5,4.713,1.175,3.679,1.744,13.07,11.67,120.09,3.62,2.61,1.39,4.39,0.0,82.94,8.46,0.0,360.0,0.015,32.103,-99.0,-99.0,0.0,0.0,0.881,0,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
5854,SB56113_island_122,SB56113_component_122a,J040218+175947,04:02:18.6,+17:59:47,60.577508,17.996459,0.07,0.09,943.5,66.667,0.828,69.849,1.483,16.2,12.64,162.91,0.21,0.15,0.03,4.9,0.0,84.13,0.62,0.0,14.03,104.2,920.408,-1.46,-99.0,0.0,0.0,0.88,0,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
6188,SB56113_island_369,SB56113_component_369a,J040226+200821,04:02:26.0,+20:08:21,60.608299,20.139179,0.12,0.16,943.5,26.728,0.568,31.48,1.1,18.17,12.67,164.14,0.39,0.27,0.04,7.23,4.75,-25.51,1.41,1.23,37.57,34.435,569.965,-99.0,-99.0,0.0,0.0,0.701,0,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
5942,SB56113_island_190,SB56113_component_190a,J040227+192902,04:02:27.5,+19:29:02,60.614645,19.484028,0.06,0.07,943.5,51.111,0.374,99.647,1.038,23.52,16.2,28.94,0.17,0.12,0.01,18.89,6.55,42.35,0.3,0.48,198.97,592.911,1771.185,-1.23,-99.0,0.0,0.0,0.935,0,0,1,0,,selavy-image.i.RACS_0418+18.SB56113.cont.taylor.0.restored.conv.components.xml
