,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5620,SB58232_island_1621,SB58232_component_1621a,J151106-140200,15:11:06.8,-14:02:00,227.778393,-14.033356,0.41,0.41,943.5,4.582,0.391,4.827,0.704,12.71,9.91,43.35,1.01,0.91,0.26,6.01,0.0,32.53,3.11,0.0,125.67,0.084,83.564,-99.0,-99.0,0.0,0.0,0.419,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
4354,SB58232_island_526,SB58232_component_526a,J151119-140204,15:11:19.7,-14:02:04,227.832026,-14.034694,0.17,0.16,943.5,17.469,0.569,21.827,1.147,12.99,11.51,62.96,0.42,0.38,0.19,6.12,4.81,50.21,1.28,1.35,152.06,7.91,379.224,-99.0,-99.0,0.0,0.0,0.759,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
5469,SB58232_island_1488,SB58232_component_1488a,J151120-141929,15:11:20.2,-14:19:29,227.834142,-14.324997,0.42,0.39,943.5,5.033,0.317,9.501,0.86,16.66,13.55,88.37,0.98,0.91,0.23,12.18,8.51,-86.26,2.04,2.35,35.47,1.472,211.17,-99.0,-99.0,0.0,0.0,0.757,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
5504,SB58232_island_1521,SB58232_component_1521a,J151120-143100,15:11:20.3,-14:31:00,227.834562,-14.516498,0.63,0.6,943.5,4.966,0.624,5.557,1.195,14.67,9.12,63.13,1.51,1.4,0.22,9.14,0.0,61.54,3.7,0.0,25.3,0.426,145.996,-99.0,-99.0,0.0,0.0,0.739,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
5857,SB58232_island_1846,SB58232_component_1846a,J151120-141907,15:11:20.3,-14:19:07,227.834653,-14.318799,0.35,0.39,943.5,3.919,0.2,9.581,0.713,24.32,12.02,71.97,0.81,0.94,0.07,21.43,6.03,72.06,1.4,3.25,6.42,0.841,179.89,-99.0,-99.0,0.0,0.0,0.746,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
5732,SB58232_island_1733,SB58232_component_1733a,J151125-140745,15:11:25.3,-14:07:45,227.855588,-14.129379,0.75,0.81,943.5,4.268,0.692,4.563,1.256,12.42,10.3,162.01,1.93,1.75,0.64,6.78,0.0,-18.53,5.45,0.0,8.94,0.039,50.892,-99.0,-99.0,0.0,0.0,0.754,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
5179,SB58232_island_1227,SB58232_component_1227a,J151125-130834,15:11:25.7,-13:08:34,227.857175,-13.142953,0.57,0.53,943.5,6.613,0.734,7.517,1.388,12.81,10.61,67.25,1.36,1.23,0.43,5.66,2.08,64.51,4.74,10.28,30.76,0.54,156.654,-99.0,-99.0,0.0,0.0,0.866,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
5180,SB58232_island_1228,SB58232_component_1228a,J151128-161642,15:11:28.3,-16:16:42,227.867987,-16.278593,0.57,0.52,943.5,6.465,0.699,7.626,1.36,13.5,10.45,96.71,1.34,1.23,0.32,7.5,0.0,-74.2,3.59,0.0,74.68,0.304,117.595,-99.0,-99.0,0.0,0.0,0.868,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
4862,SB58232_island_938,SB58232_component_938a,J151133-155550,15:11:33.5,-15:55:50,227.889585,-15.930779,0.21,0.21,943.5,9.429,0.29,20.279,0.924,22.22,11.58,46.29,0.47,0.52,0.05,19.12,4.65,44.79,0.83,2.23,360.0,7.044,361.168,-99.0,-99.0,0.0,0.0,0.882,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
4649,SB58232_island_761,SB58232_component_761a,J151134-140328,15:11:34.9,-14:03:28,227.895375,-14.058044,0.23,0.22,943.5,11.186,0.468,14.965,0.989,13.51,11.84,53.33,0.56,0.5,0.23,7.36,5.31,37.74,1.41,1.61,181.65,17.558,604.8,-99.0,-99.0,0.0,0.0,0.684,0,0,1,0,,selavy-image.i.RACS_1527-14.SB58232.cont.taylor.0.restored.conv.components.xml
