,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5166,SB57255_island_1408,SB57255_component_1408a,J034050-804330,03:40:50.6,-80:43:30,55.210907,-80.725243,1.27,2.13,943.5,6.038,1.458,5.943,2.498,21.08,12.16,174.22,5.03,2.97,0.3,10.17,0.0,-39.09,9.36,0.0,360.0,0.095,51.97,-99.0,-99.0,0.0,0.0,1.429,0,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
5141,SB57255_island_1386,SB57255_component_1386a,J034111-800946,03:41:11.4,-80:09:46,55.297696,-80.162997,0.07,0.08,943.5,4.082,0.026,12.617,0.108,46.01,17.49,146.38,0.21,0.16,0.01,43.0,0.0,-37.99,0.34,0.0,58.5,358.883,1782.122,-99.0,-99.0,0.0,0.0,0.138,1,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
5142,SB57255_island_1386,SB57255_component_1386b,J034115-800917,03:41:15.8,-80:09:17,55.315967,-80.154814,0.07,0.08,943.5,4.068,0.028,11.457,0.121,55.88,13.12,7.59,0.19,0.17,0.0,51.84,3.59,6.78,0.31,1.78,3.71,358.883,1782.122,-99.0,-99.0,0.0,0.0,0.138,1,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
4480,SB57255_island_816,SB57255_component_816a,J034231-803452,03:42:31.7,-80:34:52,55.632117,-80.581304,0.34,0.57,943.5,12.258,0.755,13.462,1.392,22.02,12.99,6.13,1.35,0.8,0.08,8.89,0.0,-25.97,3.14,0.0,360.0,7.641,252.332,-99.0,-99.0,0.0,0.0,0.85,1,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
5452,SB57255_island_1665,SB57255_component_1665a,J034234-803543,03:42:34.8,-80:35:43,55.644803,-80.595339,0.61,1.08,943.5,4.398,0.387,7.888,1.02,25.21,18.53,174.03,2.55,1.42,0.17,17.22,9.34,-39.75,3.3,2.61,360.0,4.165,322.686,-99.0,-99.0,0.0,0.0,0.862,0,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
4481,SB57255_island_816,SB57255_component_816b,J034240-803422,03:42:40.2,-80:34:22,55.667546,-80.572999,0.79,1.0,943.5,3.166,0.289,6.319,0.957,46.1,11.27,171.82,2.36,1.84,0.06,41.66,0.0,-11.49,3.9,0.0,128.8,7.641,252.332,-99.0,-99.0,0.0,0.0,0.85,1,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
5872,SB57255_island_2045,SB57255_component_2045a,J034323-803947,03:43:23.1,-80:39:47,55.846162,-80.6632,0.59,0.73,943.5,3.553,0.235,7.357,0.8,46.89,11.5,167.78,1.73,1.36,0.04,42.73,0.0,-15.74,2.83,0.0,110.01,2.221,235.621,-99.0,-99.0,0.0,0.0,0.728,0,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
4383,SB57255_island_738,SB57255_component_738a,J034516-805706,03:45:16.8,-80:57:06,56.319947,-80.951935,0.3,0.4,943.5,12.906,0.486,20.669,1.176,24.1,17.3,27.64,1.02,0.58,0.07,14.29,9.02,67.75,1.18,1.17,336.98,48.355,640.147,-99.0,-99.0,0.0,0.0,0.918,0,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
5217,SB57255_island_1453,SB57255_component_1453a,J034517-804339,03:45:17.6,-80:43:39,56.323481,-80.727743,0.54,0.9,943.5,5.558,0.534,6.19,1.009,25.64,11.31,0.47,2.11,1.27,0.09,15.87,0.0,-12.93,4.77,0.0,257.49,4.037,263.84,-99.0,-99.0,0.0,0.0,0.622,0,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
4599,SB57255_island_914,SB57255_component_914a,J034525-800158,03:45:25.9,-80:01:58,56.357938,-80.032947,0.27,0.45,943.5,10.472,0.425,16.215,0.997,25.96,15.53,6.2,1.06,0.63,0.05,15.85,8.3,-8.37,2.4,2.03,136.3,7.062,226.222,-99.0,-99.0,0.0,0.0,0.761,1,0,1,0,,selavy-image.i.RACS_0510-79.SB57255.cont.taylor.0.restored.conv.components.xml
