,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
4285,SB56455_island_906,SB56455_component_906a,J153713+320223,15:37:13.9,+32:02:23,234.308105,32.039994,0.34,0.76,943.5,9.606,0.573,13.657,1.264,30.28,13.37,0.52,1.79,0.8,0.05,18.02,2.9,17.46,4.01,7.91,344.54,30.267,564.443,-99.0,-99.0,0.0,0.0,0.91,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
4138,SB56455_island_778,SB56455_component_778a,J153714+320335,15:37:14.2,+32:03:35,234.309092,32.059731,0.31,0.67,943.5,12.049,0.688,14.767,1.368,28.78,12.13,175.82,1.59,0.72,0.04,14.48,1.7,9.68,4.38,12.57,210.2,45.623,685.81,-99.0,-99.0,0.0,0.0,0.894,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
5150,SB56455_island_1669,SB56455_component_1669a,J153716+340617,15:37:16.8,+34:06:17,234.319958,34.104861,1.03,2.27,943.5,4.441,1.061,3.54,1.586,21.26,10.68,0.99,5.34,2.42,0.22,3.96,0.0,64.09,7.6,0.0,360.0,0.113,67.33,-99.0,-99.0,0.0,0.0,0.808,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
4839,SB56455_island_1386,SB56455_component_1386a,J153731+341126,15:37:31.0,+34:11:26,234.378996,34.190696,0.59,1.21,943.5,5.768,0.621,6.61,1.184,28.93,11.28,170.14,2.89,1.31,0.08,14.2,0.0,-10.39,8.85,0.0,17.93,1.358,155.729,-99.0,-99.0,0.0,0.0,0.742,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
3994,SB56455_island_659,SB56455_component_659a,J153731+335833,15:37:31.1,+33:58:33,234.379466,33.976069,0.23,0.46,943.5,15.119,0.628,16.823,1.17,27.46,11.54,167.35,1.1,0.5,0.03,11.23,0.0,-24.91,3.8,0.0,181.67,6.617,243.059,-99.0,-99.0,0.0,0.0,0.72,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
4355,SB56455_island_966,SB56455_component_966a,J153733+322751,15:37:33.7,+32:27:51,234.390608,32.46423,0.44,0.86,943.5,9.162,0.72,9.98,1.347,22.28,13.92,165.96,2.08,0.92,0.1,8.39,0.0,86.59,3.24,0.0,161.23,7.224,321.248,-99.0,-99.0,0.0,0.0,0.819,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
4204,SB56455_island_835,SB56455_component_835a,J153737+340139,15:37:37.1,+34:01:39,234.404443,34.02772,0.17,0.36,943.5,11.16,0.267,23.405,0.783,37.97,15.73,176.37,0.86,0.4,0.02,28.56,10.5,0.68,1.7,1.76,45.8,112.44,806.191,-99.0,-99.0,0.0,0.0,0.745,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
3272,SB56455_island_86,SB56455_component_86a,J153745+333855,15:37:45.2,+33:38:55,234.438312,33.648647,0.03,0.07,943.5,111.566,0.671,115.421,1.19,24.59,11.98,172.09,0.15,0.07,0.01,4.48,0.0,64.93,0.37,0.0,31.3,311.42,1223.605,-1.31,-99.0,0.0,0.0,0.701,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
5218,SB56455_island_1731,SB56455_component_1731a,J153745+333935,15:37:45.9,+33:39:35,234.4414,33.659929,1.01,1.72,943.5,4.311,0.773,3.933,1.292,19.74,13.16,158.85,4.28,1.95,0.25,7.73,0.0,88.03,5.28,0.0,360.0,0.15,73.226,-99.0,-99.0,0.0,0.0,0.711,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
3741,SB56455_island_452,SB56455_component_452a,J153746+302624,15:37:46.9,+30:26:24,234.445354,30.440271,0.06,0.12,943.5,21.926,0.228,26.495,0.45,29.16,11.8,173.57,0.29,0.13,0.01,14.85,2.48,1.27,0.83,1.81,20.74,918.774,2722.033,-2.01,-99.0,0.0,0.0,0.292,0,0,1,0,,selavy-image.i.RACS_1555+32.SB56455.cont.taylor.0.restored.conv.components.xml
