,island_id,component_id,component_name,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,ra_err,dec_err,freq,flux_peak,flux_peak_err,flux_int,flux_int_err,maj_axis,min_axis,pos_ang,maj_axis_err,min_axis_err,pos_ang_err,maj_axis_deconv,min_axis_deconv,pos_ang_deconv,maj_axis_deconv_err,min_axis_deconv_err,pos_ang_deconv_err,chi_squared_fit,rms_fit_gauss,spectral_index,spectral_curvature,spectral_index_err,spectral_curvature_err,rms_image,has_siblings,fit_is_estimate,spectral_index_from_TT,flag_c4,comment,source_filename
5280,SB57075_island_1649,SB57075_component_1649a,J132433+194137,13:24:33.1,+19:41:37,201.137917,19.693652,0.99,1.34,943.5,4.55,0.955,4.193,1.567,15.07,11.14,177.36,3.16,2.34,0.48,0.0,0.0,-61.33,0.0,0.0,360.0,0.074,70.241,-99.0,-99.0,0.0,0.0,0.863,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
4726,SB57075_island_1148,SB57075_component_1148a,J132433+195127,13:24:33.6,+19:51:27,201.139943,19.85762,0.36,0.39,943.5,7.1,0.327,14.191,0.974,28.4,12.82,156.34,0.94,0.82,0.05,24.15,2.59,-27.93,1.66,7.88,70.35,3.217,222.462,-99.0,-99.0,0.0,0.0,0.883,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
3762,SB57075_island_327,SB57075_component_327a,J132445+182337,13:24:45.7,+18:23:37,201.190314,18.393653,0.15,0.19,943.5,29.855,0.868,31.55,1.564,15.12,12.73,18.43,0.47,0.35,0.11,6.24,0.0,74.63,0.64,0.0,82.43,15.556,435.559,-99.0,-99.0,0.0,0.0,0.933,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
5290,SB57075_island_1658,SB57075_component_1658a,J132448+201819,13:24:48.4,+20:18:19,201.201772,20.305352,0.85,1.14,943.5,4.487,0.778,4.399,1.331,14.96,11.94,3.57,2.69,1.99,0.52,2.9,0.0,85.33,13.55,0.0,123.43,0.335,140.332,-99.0,-99.0,0.0,0.0,0.76,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
4575,SB57075_island_1011,SB57075_component_1011a,J132449+183557,13:24:49.2,+18:35:57,201.204838,18.599308,0.32,0.43,943.5,7.832,0.384,13.743,0.987,21.58,14.81,6.37,1.01,0.76,0.09,14.86,9.12,10.5,2.21,2.18,34.84,8.525,376.932,-99.0,-99.0,0.0,0.0,0.823,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
3756,SB57075_island_323,SB57075_component_323a,J132449+194402,13:24:49.7,+19:44:02,201.207046,19.734012,0.12,0.1,943.5,30.735,0.46,47.563,1.083,17.95,15.7,124.28,0.3,0.21,0.07,13.15,3.83,-75.83,0.52,1.16,42.32,34.404,528.875,-99.0,-99.0,0.0,0.0,0.826,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
4061,SB57075_island_562,SB57075_component_562a,J132450+175813,13:24:50.6,+17:58:13,201.21099,17.970453,0.24,0.32,943.5,16.781,0.754,19.589,1.453,16.09,13.21,7.41,0.77,0.56,0.15,6.6,2.99,75.64,1.44,5.08,103.49,4.553,253.23,-99.0,-99.0,0.0,0.0,0.921,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
4858,SB57075_island_1264,SB57075_component_1264a,J132456+201323,13:24:56.8,+20:13:23,201.236686,20.223178,0.7,0.95,943.5,6.37,0.979,5.483,1.537,14.05,11.16,179.66,2.23,1.66,0.45,0.0,0.0,-85.77,0.0,0.0,53.81,0.189,83.629,-99.0,-99.0,0.0,0.0,0.815,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
4916,SB57075_island_1314,SB57075_component_1314a,J132457+192615,13:24:57.7,+19:26:15,201.24029,19.437615,0.59,0.44,943.5,5.133,0.326,10.002,0.905,21.66,16.38,92.7,1.4,1.02,0.16,18.29,4.68,-87.81,2.52,6.27,7.6,19.198,676.089,-99.0,-99.0,0.0,0.0,0.815,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
4922,SB57075_island_1320,SB57075_component_1320a,J132457+192407,13:24:57.8,+19:24:07,201.240678,19.40204,0.56,0.77,943.5,5.927,0.594,7.671,1.231,16.77,14.06,5.58,1.81,1.31,0.37,8.05,5.74,79.68,3.36,7.21,183.07,1.15,186.718,-99.0,-99.0,0.0,0.0,0.833,0,0,1,0,,selavy-image.i.RACS_1341+18.SB57075.cont.taylor.0.restored.conv.components.xml
